DATASET = ORTEC Early VeRoLog 2019
NAME = Instance 18

DAYS = 35
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1125

TRUCK_DISTANCE_COST = 10000
TRUCK_DAY_COST = 100000
TRUCK_COST = 10000
TECHNICIAN_DISTANCE_COST = 100000
TECHNICIAN_DAY_COST = 100000
TECHNICIAN_COST = 1000

MACHINES = 5
    1     5   525
    2     5   335
    3     4   910
    4     8   890
    5     6    90

LOCATIONS = 317
    1   266   476
    2   624   608
    3   590   591
    4   255   338
    5   369   447
    6   298   469
    7   465   417
    8   352   229
    9   659   438
   10   540   350
   11   254   324
   12    99   291
   13   271   369
   14    42   205
   15   478   361
   16   229   335
   17   713   444
   18   504   714
   19   478   406
   20   740   634
   21   460   627
   22   243   326
   23   506   721
   24   547   419
   25   359   234
   26   550   520
   27   682   712
   28   121   208
   29   728   750
   30   404   178
   31   156   313
   32   144   324
   33   503   353
   34   257   469
   35   153   289
   36   280   549
   37   351   559
   38   581   798
   39   491   301
   40    45   203
   41   187   388
   42   265   401
   43   180   381
   44   277   301
   45   446   676
   46   578   444
   47   366   214
   48   436   236
   49   307   347
   50   428   173
   51   633   713
   52   297   568
   53   176   382
   54   195   393
   55   236   340
   56   374   470
   57   261   294
   58   329   462
   59   622   520
   60   268   524
   61   580   799
   62   420   324
   63   466   439
   64   284   626
   65   476   207
   66   369   446
   67   188   370
   68   499   320
   69   268   450
   70   178   377
   71   178   376
   72   581   229
   73   440   194
   74    14   168
   75   380   558
   76   269   318
   77   738   484
   78   389   388
   79   257   267
   80   477   363
   81   497   320
   82   460   150
   83   333   558
   84   465   668
   85   553   743
   86   321   464
   87   191   380
   88   636   757
   89   488    24
   90   256   402
   91   611   695
   92   180   377
   93   456   370
   94   261   545
   95   260   333
   96   544    33
   97   640   724
   98   276   453
   99   693   516
  100   323   471
  101   534   130
  102   600   351
  103   100   290
  104   300   326
  105   468   198
  106   347   402
  107   267   301
  108   426   306
  109   734   583
  110   263   401
  111   730   714
  112   420   409
  113   389   569
  114   579   318
  115    60   157
  116   432   632
  117   291   546
  118   457   145
  119   404   319
  120   400   159
  121   182   377
  122   328   513
  123   314   464
  124   419   410
  125   531   329
  126   294   508
  127   313   237
  128   358   359
  129   410   354
  130   362   382
  131   640   399
  132   316   284
  133   263   423
  134   529   720
  135   311   447
  136   240   328
  137   542   166
  138   246   299
  139   754   700
  140   653   576
  141   701   486
  142   693   738
  143   748   679
  144   707   434
  145   563   686
  146   372   369
  147   331   506
  148   537   685
  149   287   446
  150   276   365
  151   230   319
  152   671   369
  153   524   358
  154   536   694
  155   730   686
  156   443   503
  157   727   752
  158   426   402
  159   231   339
  160   421   414
  161   432   711
  162   627   614
  163   402   410
  164   357   330
  165   515   720
  166   572   594
  167   261   475
  168   301   495
  169   620   422
  170   553   438
  171   397   479
  172   458   401
  173   233   335
  174   728   567
  175   467   210
  176   547   429
  177   577   732
  178   421   338
  179   258   481
  180   299   523
  181   629   606
  182   590   582
  183   374   366
  184   446   283
  185   641   478
  186   613   735
  187   433   170
  188   564   341
  189   296   310
  190   590   582
  191   293   515
  192   254   325
  193   369   248
  194   672   431
  195   321   490
  196   572   178
  197   222   334
  198   728   696
  199   355   327
  200   196   386
  201   673   708
  202   148   287
  203   511    58
  204   370   247
  205    60   215
  206   225   342
  207   481   662
  208   599   735
  209   386   477
  210   423   336
  211    92   224
  212   242   474
  213   647   575
  214   634   409
  215   288   509
  216   757   437
  217   323   464
  218   308   346
  219   219   345
  220   371   388
  221   496   310
  222   429   703
  223   362   389
  224   757   473
  225   451   384
  226   520   246
  227   346   368
  228   542    20
  229   584   183
  230   429   442
  231   593   399
  232   338   430
  233   310   572
  234   554   760
  235   260   478
  236   264   375
  237   418   360
  238   347   262
  239   117   222
  240   541   411
  241   401   271
  242   277   312
  243   264   331
  244   394   572
  245   540   428
  246   496   304
  247   737   436
  248   195   387
  249   350   228
  250   232   379
  251   651   454
  252   265   371
  253   604   472
  254   225   219
  255   576   441
  256   302   493
  257   734   591
  258   311   452
  259   497   311
  260   302   463
  261   365   291
  262   194   338
  263   316   388
  264   501   428
  265   522   350
  266   233   340
  267   303   431
  268   313   453
  269   384   403
  270   239   338
  271   376   293
  272   275   370
  273   338   336
  274   289   642
  275   390   400
  276   274   454
  277   418   435
  278   300   446
  279   523   109
  280   289   453
  281   310   451
  282   358   385
  283   686   467
  284   419   409
  285   276   276
  286   501   721
  287   239   352
  288   367   240
