DATASET = ORTEC Early VeRoLog 2019
NAME = Instance 3

DAYS = 35
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1370

TRUCK_DISTANCE_COST = 1000
TRUCK_DAY_COST = 10
TRUCK_COST = 10
TECHNICIAN_DISTANCE_COST = 1000
TECHNICIAN_DAY_COST = 10
TECHNICIAN_COST = 1000

MACHINES = 5
    1     6   725
    2     4   995
    3     4   780
    4     3   405
    5     4   100

LOCATIONS = 157
    1   537   639
    2   546   738
    3   385   347
    4   306   451
    5   237   329
    6   689   772
    7   409   242
    8   190   368
    9   326   478
   10   487   235
   11   482    21
   12   279   370
   13   304   510
   14   616   586
   15   626   468
   16   329   511
   17   630   696
   18   423   386
   19   550   114
   20   470   467
   21   523   261
   22   337   467
   23   434   234
   24   344   321
   25   354   370
   26   267   454
   27   275   363
   28   505    13
   29   291   239
   30   480   629
   31   541   355
   32   226   416
   33   773   613
   34   336   456
   35   314   459
   36   530   523
   37   430   329
   38   367   284
   39   151   195
   40   587   439
   41   376   473
   42   427   404
   43   464   713
   44   358   556
   45   310   572
   46   414   276
   47   518   307
   48   449   711
   49   160   316
   50   308   324
   51   442   386
   52   561   683
   53    60   157
   54   246   214
   55   208   386
   56   346   393
   57   493   215
   58   198   184
   59   426   329
   60   315   470
   61   726   466
   62   182   383
   63   490   572
   64   577   730
   65   376   373
   66   430   651
   67   687   470
   68   464   458
   69   663   726
   70   345   430
   71   240   351
   72   325   300
   73   246   329
   74   631   408
   75   359   382
   76    23   214
   77   640   642
   78   404   410
   79   555   389
   80   247   239
   81   521   352
   82   307   393
   83   677   375
   84   346   317
   85   392   470
   86   684   454
   87   193   394
   88   287   466
   89   242   319
   90   530   245
   91   524   358
   92   304   465
   93   191   382
   94   269   454
   95   150   158
   96   474   337
   97   264   467
   98   704   705
   99   324   198
  100   191   384
  101   535   426
  102   537   427
  103   327   375
  104   409   294
  105   707   658
  106   289   445
  107   135   306
  108   333   561
  109   645   345
  110   287   431
  111   675   718
  112   455   191
  113   335   572
  114   252   348
  115   276   364
  116   317   532
  117   463   395
  118   445   197
  119   299   467
  120   483   309
  121   552   364
  122   252   311
  123   464   328
  124   310   471
  125   445   508
  126   235   347
  127   521   317
  128   586   168
  129   210   305
  130   514    35
  131   566   700
  132   628   334
  133   523    51
  134   240   473
  135   645   339
  136   350   507
  137   286   511
  138   439   260
  139   428   506
  140   713   643
  141   302   493
  142   162   364
  143   474   370
  144   396   484
  145   764   644
  146   316   580
  147   517   308
  148   619   365
  149   724   467
  150   108   270
  151   238   407
  152   309   466
  153   204   382
  154   593   415
  155   240   367
  156   227   360
  157   431   246

REQUESTS = 450
    1   121     1     4     5     1
    2   139     1     4     1     1
    3    30     1     3     4     3
    4    73     1     6     2     3
    5    92     1     4     2     1
    6    26     1     2     3     3
    7   111     1     4     1     2
    8   130     1     3     3     2
    9    37     1     4     3     3
   10    88     1     2     3     1
   11   139     1     5     5     2
   12   105     1     6     4     3
   13    20     2     4     4     3
   14     7     2     3     2     3
   15    72     2     5     1     1
   16    97     2     6     3     2
   17   130     2     6     2     3
   18    83     2     5     3     3
   19   128     2     3     5     1
   20    88     2     6     5     2
   21   128     2     6     4     1
   22    62     2     3     3     1
   23    19     3     4     5     1
   24    84     3     5     2     2
   25   150     3     4     5     2
   26    81     3     5     2     3
   27   104     3     4     1     3
   28    41     3     6     1     1
   29    59     3     8     1     1
   30   105     3     5     5     2
   31   115     3     7     5     2
   32   108     3     4     3     1
   33    27     3     8     5     2
   34   100     3     6     4     3
   35   145     3     8     3     1
   36   149     3     4     2     1
   37   126     3     7     1     2
   38    99     3     8     4     2
   39   111     3     7     1     1
   40   137     3     5     4     1
   41    36     4     8     3     3
   42    73     4     8     2     2
   43    24     4     8     2     2
   44   102     4     6     3     2
   45    72     4     8     1     1
   46    31     4     9     1     2
   47   105     4     6     5     3
   48   104     4     5     2     2
   49    56     4     5     5     2
   50    89     4     7     2     1
   51    53     4     9     3     2
   52    13     4     8     3     2
   53   105     4     6     1     3
