DATASET = ORTEC Early VeRoLog 2019
NAME = Instance 10

DAYS = 55
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1275

TRUCK_DISTANCE_COST = 100000
TRUCK_DAY_COST = 1000
TRUCK_COST = 10000
TECHNICIAN_DISTANCE_COST = 10000
TECHNICIAN_DAY_COST = 100
TECHNICIAN_COST = 100000

MACHINES = 7
    1     3   700
    2     3   260
    3     7   850
    4     6   400
    5     6   320
    6     4   610
    7     6   570

LOCATIONS = 225
    1   178   377
    2   225   241
    3   541   426
    4   747   611
    5   452   436
    6   364   298
    7   544   220
    8   516   338
    9   227   406
   10   697   353
   11   520   227
   12   274   315
   13   478   205
   14   478   375
   15   180   377
   16   534   298
   17   523   289
   18   452   459
   19   715   590
   20   230   337
   21   324   249
   22   370   399
   23   300   465
   24   293   310
   25   356   555
   26   323   199
   27   471   388
   28   365   569
   29   634   496
   30   557   131
   31   465   558
   32   363   255
   33   678   727
   34   568   430
   35   475   670
   36   666   448
   37   386   580
   38   670   337
   39   454   248
   40   301   467
   41   698   354
   42   563   691
   43   332   455
   44   749   583
   45   296   467
   46   314   476
   47   160   314
   48   196   193
   49   186   392
   50   302   444
   51   338   339
   52   349   221
   53   187   220
   54   309   347
   55   123   164
   56   418   360
   57   336   325
   58   383   450
   59   543   463
   60   573   730
   61   582   684
   62   221   339
   63   659   576
   64   299   311
   65   308   472
   66   340   523
   67   258   477
   68   519   347
   69   230   334
   70   642   579
   71   534   342
   72   330   267
   73   278   519
   74   686   550
   75   483   146
   76   159   356
   77   314   475
   78   180   333
   79   258   474
   80   332   454
   81   483    24
   82   326   463
   83   486   327
   84   731   667
   85   346   388
   86   183   375
   87   230   331
   88   436   327
   89   498   181
   90   695   357
   91   414   276
   92   271   573
   93   329   389
   94   293   594
   95   435   413
   96   196   386
   97   324   193
   98   307   386
   99   195   302
  100   303   489
  101   640   389
  102   383   472
  103   338   474
  104   629   331
  105   601   515
  106   329   390
  107   190   369
  108   457   369
  109   221   418
  110   516    71
  111   289   317
  112   718   590
  113   358   570
  114   259   441
  115   356   391
  116   564   686
  117   331   509
  118   248   401
  119   643   439
  120   209   377
  121   232   360
  122   531    44
  123   378   229
  124   244   331
  125   444   514
  126   702   360
  127   639   575
  128   561    24
  129   310   465
  130   277   314
  131   514   318
  132   185   382
  133   732   423
  134   339   308
  135   668   665
  136   445   201
  137   476   739
  138   309   257
  139   301   475
  140   228   221
  141   238   379
  142   542   743
  143   302   493
  144   470   464
  145   382   199
  146   412   410
  147   244   331
  148   644   760
  149   466   330
  150   492   323
  151   577   345
  152   568   376
  153   560   684
  154   189   382
  155   318   471
  156   265   516
  157   339   540
  158   380   238
  159   465   245
  160   664   722
  161   327   459
  162   433   514
  163   242   474
  164   214   374
  165   195   240
  166   363   385
  167   467   461
  168   163   317
  169   376   415
  170   307   478
  171   516   746
  172   279   243
  173   557   367
  174   750   426
  175   503     4
  176   476   364
  177   381   287
  178   185   376
  179   497   734
  180   227   328
  181   245   348
  182   333   349
  183   555   218
