DATASET = ORTEC Early VeRoLog 2019
NAME = Instance 8

DAYS = 35
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1130

TRUCK_DISTANCE_COST = 1000
TRUCK_DAY_COST = 100000
TRUCK_COST = 10
TECHNICIAN_DISTANCE_COST = 10
TECHNICIAN_DAY_COST = 10
TECHNICIAN_COST = 1000

MACHINES = 5
    1     3   625
    2     4   520
    3     4   125
    4     7   345
    5     8   215

LOCATIONS = 119
    1   596   347
    2   681   462
    3   320   489
    4   480   363
    5   293   467
    6   696   357
    7   293   593
    8   700   354
    9   278   419
   10   549   425
   11   180   381
   12   521    99
   13   205   367
   14   490   310
   15   699   596
   16   577   396
   17   601   351
   18   268   398
   19   251   367
   20   301   420
   21   713   440
   22   263   473
   23   281   375
   24   457   145
   25   578   170
   26   286   251
   27   537   639
   28   288   438
   29   200   375
   30   413   382
   31   467   716
   32   540   648
   33   476    28
   34   398   424
   35   288   454
   36   216   308
   37   473   356
   38   530   353
   39   645   576
   40   216   338
   41   306   446
   42   550    24
   43   328   454
   44   629   606
   45   221   397
   46   258   444
   47   473   356
   48   668   342
   49   343   222
   50   372   566
   51   386   580
   52   215   424
   53   364   373
   54   306   328
   55   343   484
   56   653   636
   57   516   339
   58   534   359
   59    48   216
   60   608   654
   61   391   567
   62   300   492
   63   188   387
   64   276   372
   65   507   710
   66   233   352
   67   475   375
   68   542    35
   69   286   249
   70   480   133
   71   466   265
   72   557   515
   73   579   620
   74   517   357
   75   623   771
   76   217   345
   77   315   470
   78   414   279
   79   270   358
   80   199   363
   81   661   513
   82   245   318
   83   485   498
   84   527   766
   85   482    20
   86   552   150
   87   483   360
   88   378   329
   89   728   424
   90   305   491
   91   421   189
   92   276   321
   93   255   470
   94   676   726
   95   397   377
   96   246   339
   97   206   367
   98   681   581
   99   305   500
  100   467   198
  101   667   670
  102   354   222
  103   479   376
  104   549   743
  105   177   361
  106   190   321
  107   403   346
  108   243   350
  109   431   400
  110   513   710
  111   301   494
  112   185   390
  113   720   446
  114   239   411
  115   271   329
  116   671   468
  117   386   386
  118   348   559
  119   559   137

REQUESTS = 300
