DATASET = ORTEC Early VeRoLog 2019
NAME = Instance 6

DAYS = 15
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1005

TRUCK_DISTANCE_COST = 100000
TRUCK_DAY_COST = 10
TRUCK_COST = 1000
TECHNICIAN_DISTANCE_COST = 100000
TECHNICIAN_DAY_COST = 10
TECHNICIAN_COST = 10

MACHINES = 3
    1     8   815
    2     4   945
    3     5   695

LOCATIONS = 307
    1   317   464
    2   366   427
    3   273   306
    4   602   353
    5   676   532
    6   320   270
    7   353   253
    8   198   378
    9   493   151
   10   418   279
   11   319   450
   12   352   507
   13   370   448
   14   368   391
   15   499   715
   16   305   492
   17   729   685
   18   316   464
   19   401   423
   20   335   450
   21   340   282
   22   354   576
   23   392   386
   24   604   355
   25   416   402
   26   311   456
   27   718   641
   28   193   387
   29   260   403
   30   334   449
   31   435   363
   32   379   400
   33   316   473
   34   534   291
   35   522   360
   36   296   495
   37   276   450
   38   502   692
   39   466   416
   40   231   324
   41   320   467
   42   489   610
   43   674   616
   44   346   365
   45   468   453
   46   183   310
   47   423   331
   48   545   425
   49   246   339
   50   547   638
   51   536   644
   52   229   226
   53   239   340
   54   227   351
   55   620   345
   56   297   464
   57   536   363
   58   427   331
   59   265   456
   60   247   336
   61   473   205
   62   772   619
   63   517   340
   64   477   669
   65   569   480
   66   548   713
   67    26   219
   68   312   492
   69   299   502
   70   305   560
   71   566   213
   72   224   342
   73   457   369
   74   358   570
   75   752   706
   76   377   432
   77   519    64
   78   216   343
   79   372   359
   80   395   448
   81   466   197
   82   266   210
   83   709   439
   84   501    76
   85   583   353
   86   277   489
   87   368   451
   88   207   365
   89   577   384
   90   547   121
   91   594   404
   92   671   711
   93   499   319
   94   310   452
   95   468   198
   96   304   470
   97   212   323
   98   547    29
   99   251   374
  100   208   363
  101   264   308
  102   530   523
  103   376   409
  104   350   232
  105   367   387
  106   280   369
  107   338   411
  108   324   469
  109   546    54
  110   273   453
  111   248   352
  112   300   448
  113   527   357
  114   264   467
  115   372   445
  116   351   267
  117   530   132
  118   205   364
  119   265   505
  120   586   565
  121   289   356
  122   398   410
  123   435   206
  124   473   259
  125   285   473
  126   243   441
  127   285   212
  128   343   613
  129   308   527
  130   284   549
  131   511   550
  132   357   367
  133   387   255
  134   344   368
  135   264   377
  136   257   232
  137   232   342
  138   398   414
  139   202   358
  140   591   727
  141   578   170
  142   285   645
  143   506   207
  144    46   179
  145   356   357
  146   489   645
  147   508    62
  148   282   251
  149   222   327
  150   328   513
  151   234   357
  152   298   341
  153   694   352
  154   543   363
  155   509    16
  156   370   425
  157   206   357
  158   690   471
  159   546   728
  160   205   364
  161   419   403
  162   550   421
  163   487   346
  164   493   324
  165   108   220
  166   341   404
  167   278   541
  168   633   686
  169   202   382
  170   143   325
  171   262   440
  172   232   318
  173   182   340
  174   218   320
  175   266   306
  176   270   523
  177   366   281
  178   564    27
  179   228   407
  180   314   319
  181   518   761
  182   752   624
  183   366   270
  184   539   437
  185   527   364
  186   580   799
  187   177   342
  188   327   307
  189   575   476
  190   163   292
  191   546    34
  192   397   479
  193   541   759
  194   645   328
  195   425   263
  196   451   369
  197   285   554
  198   669   678
  199   265   299
  200   361   397
  201   449   285
  202   432   510
  203   261   481
  204   520   313
  205   422   324
  206   506   202
  207   222   364
  208   703   755
  209   726   647
  210   395   567
  211   679   707
  212   349   451
  213   603   565
  214    50   228
  215   312   465
  216   273   449
  217   575   416
  218   195   373
  219   189   376
  220   186   343
  221   221   424
  222   217   345
  223   561    28
  224   504   311
  225   275   301
  226   431   193
  227   203   363
  228   674   708
  229   436   156
  230   478   375
  231   230   339
  232   220   398
  233   306   494
  234   457   344
  235   268   468
  236   192   384
  237   517   297
  238   475   662
  239   302   466
  240   410   307
  241   490   572
  242   288   256
  243   301   420
  244   535   342
  245   461   402
  246   504   645
  247   572   516
  248   577   596
  249   308   468
  250   622   358
  251   187   394
  252   391   390
  253   270   369
  254   166   335
  255   297   674
  256   268   404
  257   438   511
  258   425   410
  259   520   289
  260   300   326
  261   269   359
  262   263   454
  263   291   310
  264   683   390
  265   573   593
  266   389   443
  267   578   427
  268   285   442
  269   423   408
  270   287   241
  271   434   285
  272   263   473
  273   312   313
  274   435   200
  275   298   410
  276   495   358
  277   589   364
  278   308   470
  279   317   370
  280   442   340
  281   319   524
  282   335   316
  283   499   660
  284   300   247
  285   271   526
  286   479   467
  287   301   493
  288   278   419
  289   208   195
  290   606   701
  291   372   444
  292   547   190
  293   346   387
  294   233   398
  295   330   515
  296   508    63
  297   241   471
  298   695   500
  299   348   232
  300   303   431
  301   436   413
  302   634   695
  303   183   322
  304   258   351
  305   340   420
  306   380   303
  307   239   411

REQUESTS = 900
    1    49     1     3     3     1
    2   288     1     2     2     3
    3    90     1     6     2     1
    4    66     1     2     1     1
    5   131     1     5     2     2
    6    84     1     4     3     1
    7   158     1     3     3     3
    8    14     1     6     1     2
    9   145     1     6     1     1
   10    52     1     3     2     1
   11   238     1     2     3     3
   12   150     1     5     3     1
   13   238     1     6     2     2
   14   236     1     4     3     1
   15    32     1     3     1     2
   16   258     1     4     1     1
   17   209     1     6     3     1
   18    90     1     6     1     1
   19   243     1     2     2     3
   20   299     1     5     1     1
   21    44     1     5     3     3
   22    93     1     2     2     1
   23   250     1     2     2     1
   24   185     1     2     1     1
   25    80     1     3     1     2
   26   298     1     3     3     3
   27   234     1     3     3     1
   28   204     1     3     1     1
   29     2     1     5     2     2
   30   195     1     4     3     3
   31   301     1     6     1     1
   32   146     1     4     3     1
   33   153     1     3     1     1
   34   148     1     5     3     1
   35     4     1     4     1     2
   36   169     1     2     3     2
   37   175     1     3     2     2
   38   130     1     5     1     1
   39    63     1     3     3     2
   40   186     1     3     2     1
   41    77     1     5     2     1
   42   167     1     4     3     2
   43    32     1     2     3     2
   44   185     1     2     3     3
   45    30     1     3     3     2
   46   252     1     6     3     2
   47    45     1     2     3     1
   48   154     1     5     2     3
   49    78     1     3     2     2
   50     6     1     6     2     1
   51    39     1     6     3     1
   52    81     1     3     1     2
   53   170     1     6     1     1
   54   231     1     3     1     1
   55   213     1     3     1     2
   56   140     1     3     3     1
   57   115     1     2     1     2
   58   144     1     4     3     3
   59    82     1     5     1     1
   60    23     1     6     3     3
   61    70     1     3     1     1
   62   153     1     6     3     1
   63    13     1     2     1     2
   64   209     1     4     3     3
   65   183     1     3     2     3
   66    25     1     2     3     3
   67   222     1     4     3     2
   68   176     1     2     3     1
   69   256     1     6     1     2
   70   145     1     5     2     1
   71   190     1     5     1     2
   72     2     1     4     3     2
   73    81     1     2     3     1
   74    74     1     6     3     3
   75   142     1     2     2     1
   76   283     1     4     1     1
   77   181     1     2     1     2
   78   245     1     6     3     1
   79   281     1     6     1     2
   80    65     1     4     1     2
   81   108     1     3     1     2
   82   127     1     2     1     2
   83   138     1     3     2     3
   84   169     1     6     3     3
   85   167     1     3     3     3
   86   219     1     5     3     2
   87    57     1     3     3     1
   88   133     1     5     3     2
   89   264     1     5     3     2
   90   286     1     5     2     2
   91   255     1     5     3     1
   92    84     1     3     1     1
   93    10     1     2     3     1
   94    42     2     7     3     2
   95   118     2     3     2     1
   96   203     2     6     2     1
   97    12     2     7     3     3
   98   262     2     5     1     2
   99    88     2     6     2     1
  100   190     2     4     2     3
  101   244     2     3     3     2
  102   140     2     7     3     1
  103   156     2     7     1     1
  104    20     2     7     2     1
  105   203     2     5     1     1
  106     9     2     3     3     3
  107    90     2     4     3     1
  108   274     2     3     1     2
  109    95     2     7     3     3
  110   184     2     7     1     2
  111    61     2     4     2     2
  112   214     2     7     1     1
  113   223     2     5     1     1
  114   182     2     4     2     1
  115   257     2     7     2     2
  116   214     2     4     3     3
  117     2     2     7     2     2
  118    43     2     6     1     2
  119    27     2     4     3     3
  120   255     2     5     3     3
  121   139     2     5     2     3
  122   190     2     7     2     2
  123   116     2     7     1     2
  124    88     2     4     3     2
  125    56     2     7     3     3
  126   279     2     6     3     2
  127   112     2     6     2     2
  128   194     2     5     1     2
  129   203     2     7     2     2
  130    29     2     7     1     1
  131    99     2     6     2     2
  132   148     2     7     3     1
  133   137     2     3     1     1
  134   238     2     7     3     2
  135   191     2     6     1     1
  136   230     2     7     3     1
  137   200     2     3     1     2
  138   263     2     5     3     2
  139     5     2     5     3     2
  140   251     2     4     2     3
  141    94     2     4     2     1
  142   297     2     4     2     3
  143   210     2     4     2     1
  144   147     2     7     1     2
  145   165     2     7     2     3
  146   261     2     6     3     2
  147   121     2     6     2     2
  148   287     2     7     2     3
  149   144     2     3     2     3
  150   220     2     6     2     2
  151   109     2     5     1     2
  152    44     2     6     1     1
  153   209     2     6     2     1
  154    17     2     5     1     1
  155   228     2     5     1     1
  156    79     2     5     1     2
  157   128     2     3     3     1
  158   153     2     6     3     3
  159     8     2     4     2     2
  160   288     2     4     1     1
  161    91     2     4     2     2
  162   223     2     3     1     2
  163   154     2     5     1     1
  164   169     2     7     1     1
  165   297     2     6     1     1
  166   164     2     3     3     3
  167   298     2     3     2     1
  168   146     2     7     1     1
  169   251     2     6     2     3
  170   288     2     4     1     1
  171    97     2     5     2     3
  172    30     2     6     3     2
  173    99     2     6     2     2
  174   248     2     6     3     3
  175   109     2     6     3     2
  176   119     2     5     3     1
  177   130     2     4     2     1
  178   146     2     5     3     3
  179   155     2     3     1     1
  180    13     2     4     3     1
  181    44     2     4     2     3
  182   248     2     6     2     1
  183   116     2     6     3     1
  184   270     2     7     1     1
  185    58     2     5     1     1
  186    87     2     5     1     1
  187    74     2     4     1     1
  188   221     2     4     3     3
  189    83     2     4     3     1
  190   236     2     7     3     3
  191    68     2     7     2     3
  192   214     2     7     1     1
  193   116     2     6     3     3
  194   195     2     7     2     1
  195    76     2     4     3     2
  196   254     2     4     3     2
  197   119     2     7     3     2
  198   152     3     6     2     3
  199   187     3     6     2     3
  200    78     3     4     1     1
  201   129     3     6     2     2
  202   238     3     4     2     3
  203   119     3     7     2     3
  204   101     3     7     1     1
  205   263     3     5     1     2
  206    86     3     4     1     1
  207   156     3     8     2     1
  208   259     3     6     1     2
  209   205     3     4     1     2
  210   263     3     8     2     2
  211    15     3     5     1     2
  212   134     3     6     3     2
  213    10     3     5     1     1
  214   173     3     8     2     2
  215   242     3     5     2     3
  216   179     3     8     2     1
  217   241     3     8     1     2
  218   142     3     5     1     1
  219    85     3     8     3     3
  220   122     3     7     1     1
  221    89     3     8     1     2
  222   253     3     8     3     1
  223    77     3     7     2     2
