DATASET = ORTEC Early VeRoLog 2019
NAME = Instance 22

DAYS = 25
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 2000

TRUCK_DISTANCE_COST = 100
TRUCK_DAY_COST = 10
TRUCK_COST = 1000
TECHNICIAN_DISTANCE_COST = 10000
TECHNICIAN_DAY_COST = 1000
TECHNICIAN_COST = 100

MACHINES = 4
    1     7   143
    2     7   653
    3     4    96
    4     4   528

LOCATIONS = 208
    1   213   335
    2   505   206
    3   183   372
    4   259   339
    5   241   346
    6   413   382
    7   325   466
    8   569   328
    9   262   482
   10   215   405
   11   238   324
   12   739   603
   13   164   363
   14   337   339
   15    45   211
   16   741   450
   17   426   329
   18   232   221
   19   295   344
   20   348   311
   21   303   489
   22   326   468
   23   310   455
   24   185   389
   25   544   467
   26   353   252
   27   253   508
   28   335   313
   29   506   311
   30   298   229
   31   333   523
   32   173   225
   33   627   614
   34     1   160
   35   326   473
   36   760   475
   37   670   713
   38   536   236
   39   507   721
   40   360   397
   41   268   401
   42   703   637
   43   212   374
   44   184   321
   45   311   416
   46   591   351
   47   366   391
   48   466   439
   49   268   308
   50   532    44
   51   548   622
   52   350   552
   53   374   366
   54   247   342
   55   433   426
   56   211   376
   57   440   190
   58   340   420
   59   702   451
   60   477   377
   61    67   236
   62   410   299
   63   312   462
   64   187   383
   65   264   342
   66   300   348
   67   441   208
   68   625   328
   69   669   353
   70   348   513
   71   346   455
   72   277   369
   73   671   747
   74   314   477
   75   511   713
   76   320   472
   77   329   364
   78   317   582
   79   653   651
   80   633   407
   81   232   321
   82   674   402
   83   299   467
   84   576   690
   85   539   769
   86   229   339
   87   669   550
   88   286   237
   89   593   488
   90   436   185
   91   249   438
   92   554    26
   93   277   517
   94   285   551
   95   302   472
   96   590   582
   97   518    68
   98   247   344
   99   237   339
  100   376   182
  101   636   409
  102   540   426
  103   711   482
  104   458   352
  105   204   396
  106   315   482
  107   233   440
  108   265   401
  109   295   344
  110   462   137
  111   594   402
  112   474   714
  113   225   337
  114   357   331
  115   242   346
  116   275   367
  117   190   386
  118   591   404
  119   282   496
  120   568   429
  121   489   677
  122   470   264
  123   194   312
  124   473   205
  125   508   241
  126   473   208
  127   424   215
  128   535   428
  129   519   341
  130   626   337
  131   210   339
  132   468   453
  133   377   236
  134   202   390
  135   792   693
  136   238   429
  137    49   220
  138   752   577
  139   224   323
  140   212   311
  141   735   424
  142   375   371
  143   533   619
  144   360   389
  145   330   459
  146   289   511
  147   328   480
  148   306   346
  149    34   238
  150   518    68
  151   228   413
  152   656   727
  153   177   335
  154   269   513
  155   260   487
  156   677   531
  157   471   388
  158   299   492
  159   540   429
  160   503   712
  161   195   240
  162   231   407
  163   734   583
  164   353   235
  165   285   557
  166   357   330
  167   304   531
  168   529   753
  169   364   396
  170   569   700
  171   347   402
  172    97   162
  173   450   369
  174   499   271
  175   518   271
  176   360   498
  177   215   323
  178   225   340
  179   347   365
  180   334   508
  181   270   466
  182   277   539
  183   213   388
  184   308   470
  185   518   335
  186   123   135
  187   518   348
  188   290   641
  189   261   424
  190   326   465
  191   369   256
  192   404   236
  193   501   313
  194   357   361
  195   269   305
  196   635   445
  197   672   661
  198   687   572
  199   292   465
  200   250   354
  201   213   389
  202   367   268
  203   670   468
  204   647   573
  205   503   712
  206   213   337
  207   404   275
  208   181   381

REQUESTS = 600
    1   195     1     3     3     1
    2   160     1     2     3     3
    3    66     1     5     4     1
    4    11     1     2     4     3
    5    43     1     3     2     2
    6    52     1     6     2     1
    7    80     1     5     2     1
    8   183     1     3     2     2
    9   106     1     6     1     1
   10   138     1     5     3     3
   11    77     1     5     1     1
   12    88     1     5     4     3
   13   139     1     6     1     2
   14    86     1     4     3     3
   15    61     1     4     3     3
   16    34     1     6     3     2
   17   169     1     3     1     1
   18   121     1     4     1     2
   19    49     1     3     2     2
   20   174     1     2     4     1
   21     6     1     3     4     2
   22     6     1     6     3     3
   23   119     1     3     3     1
   24    67     1     3     2     2
   25    42     1     2     3     1
   26   162     2     5     3     1
   27    39     2     7     1     2
   28   161     2     7     4     1
   29     9     2     5     3     3
   30    17     2     6     2     2
   31    30     2     3     1     1
   32     6     2     5     1     2
   33    89     2     6     3     2
   34   118     2     7     4     3
   35    16     2     5     4     1
   36   188     2     5     4     3
   37   156     2     7     4     1
   38    60     2     6     3     2
   39    86     2     3     2     2
   40    37     2     3     4     2
   41   111     2     4     2     2
   42   140     2     5     1     1
   43   151     2     3     3     3
   44    91     2     3     4     2
   45    90     2     6     4     2
   46   195     2     4     2     1
   47   135     2     5     4     3
   48   149     2     4     3     3
   49    33     2     6     3     3
   50   142     2     5     4     1
   51    48     2     3     3     2
   52    24     2     4     3     2
   53   137     2     6     4     3
   54    46     2     4     1     2
   55   185     2     5     1     1
   56    33     2     3     1     2
   57    58     2     4     3     1
   58    26     2     4     3     2
   59    50     2     4     1     1
   60    30     2     6     3     3
   61    17     2     7     2     1
   62    16     2     7     4     3
   63   177     2     6     1     2
   64    94     3     7     4     3
   65    94     3     8     3     2
   66    76     3     4     1     2
   67   108     3     8     2     2
   68   188     3     8     3     2
   69   198     3     8     1     2
   70    12     3     4     1     1
   71   129     3     6     2     2
   72   191     3     8     1     1
   73   176     3     8     1     2
   74   165     3     7     1     1
   75    27     3     6     3     2
   76   163     3     5     1     1
   77   122     3     6     3     2
   78    61     3     6     1     2
   79   163     3     5     3     1
   80   168     3     5     2     2
   81   121     3     5     2     1
   82   104     3     5     1     1
   83   174     3     8     1     2
   84   173     3     4     1     1
   85   102     3     7     2     2
   86    57     3     6     4     2
   87    49     3     8     2     1
   88   110     3     6     3     1
   89   181     3     4     1     1
   90    49     3     4     4     3
   91   149     3     6     3     1
   92   141     3     8     1     2
   93    97     3     4     3     3
   94   169     3     5     4     2
   95    56     4     7     2     2
   96    46     4     5     3     3
   97    95     4     9     3     1
   98    32     4     7     1     1
   99   165     4     9     1     1
  100   201     4     8     3     1
  101   126     4     9     4     2
  102   149     4     9     1     2
  103   197     4     9     1     1
  104   163     4     8     4     1
  105    13     4     7     1     1
  106   165     4     7     3     3
  107   192     4     8     3     3
  108   166     4     5     2     2
  109    55     4     7     3     1
  110    93     4     6     2     1
  111   188     4     6     1     1
  112    68     4     9     3     1
  113    43     4     9     4     2
  114   109     4     6     1     1
  115   183     4     8     4     3
  116    25     4     6     2     2
  117     7     4     5     2     2
  118   200     4     8     2     1
  119   123     4     9     4     2
  120    62     4     9     1     2
  121   170     5    10     2     1
  122   135     5     9     4     2
  123    55     5    10     4     1
  124   180     5     7     3     3
  125    40     5    10     4     1
  126    33     5    10     1     2
  127    18     5     6     1     1
  128   137     5     9     3     2
  129    24     5     9     2     2
  130    39     5    10     4     3
  131   168     5     6     1     1
  132   194     5     9     1     2
  133    75     5     7     3     2
  134    74     5     7     2     1
  135   105     5     7     1     1
  136   163     5     7     2     2
  137    25     5     9     1     1
  138   163     5     9     4     3
  139   193     5     8     2     2
  140   114     5     8     3     1
  141   109     5     6     2     2
  142   179     5     9     2     1
  143   133     5     7     2     2
  144    50     5     6     2     2
  145    50     5    10     2     1
  146   181     5     7     1     1
  147    84     5     8     4     1
  148    66     5     7     3     3
  149    77     5     8     4     2
  150   124     5     9     3     3
  151   136     5     7     3     3
  152   143     5    10     3     1
  153   123     5     9     4     1
  154   124     6    11     1     2
  155     7     6    10     4     2
  156    52     6    10     3     1
  157    92     6    11     2     2
  158    48     6     7     3     1
  159    96     6     9     2     1
  160    17     6    10     3     1
  161   160     6    10     3     1
  162    25     6     8     3     1
  163   121     6     7     2     2
  164   200     6     8     2     2
  165    84     6     8     2     1
  166    15     6     7     2     1
  167    40     6     7     1     2
  168    52     6    10     4     2
  169   159     6     7     4     3
  170    88     6    10     3     2
  171   152     6    11     4     1
  172    12     6     9     3     3
  173   130     6     7     3     2
  174    97     6    11     3     3
  175    67     6     8     3     1
  176   164     6    11     4     3
  177   121     6     7     1     1
  178    67     6     7     3     2
  179   171     6     8     3     2
  180    17     6     7     4     1
  181   186     6     7     3     3
  182    44     6     7     3     3
  183   118     6     8     4     3
  184    34     6     7     4     2
  185    91     6     9     3     1
  186    69     6    10     3     3
  187   122     6    11     2     2
  188    97     6    11     4     2
  189   133     6     9     3     3
  190    90     7     9     2     1
  191    39     7    12     3     2
  192   191     7    11     4     1
  193    66     7     9     4     1
  194    32     7    12     2     2
  195    41     7    10     3     3
  196   184     7     9     2     1
  197   189     7    11     3     1
  198    45     7     9     3     2
  199   160     7    10     4     3
  200   104     7    10     4     3
  201   147     7     8     3     1
  202    50     7    11     4     3
  203   151     7    10     2     2
  204   130     7     9     3     1
  205    75     7    10     2     1
  206     5     7     8     2     1
  207    60     7    11     4     2
  208    10     7    10     2     1
  209    77     7     8     4     2
  210    67     7     8     4     3
  211   126     7     9     1     1
  212    10     7    12     1     2
  213   154     7    10     1     2
  214    96     7    12     2     1
  215   148     7    11     1     1
  216   140     7    12     2     2
  217    42     7    12     2     1
  218    43     7    10     4     3
  219    12     7     9     3     2
  220     8     7    12     1     1
  221   188     7     8     1     1
  222   127     8    11     3     3
  223   167     8    13     1     2
  224    95     8    10     2     1
  225   104     8    10     3     3
  226   103     8    12     1     1
  227   198     8    13     2     1
  228   173     8    11     4     2
  229   121     8    10     1     1
  230   159     8     9     1     2
  231    17     8    12     4     3
  232   103     8    11     4     1
  233    26     8     9     2     1
  234   129     8    13     3     3
  235   143     8    10     2     2
  236   122     8    12     1     1
  237    19     8     9     3     1
  238   147     8    11     4     3
  239   106     8    10     4     2
  240    89     8    12     1     2
  241   163     8    11     3     1
  242    73     8    11     2     2
  243   201     8    12     1     2
  244   134     8    12     2     1
  245    70     8    13     4     3
  246    92     8    13     3     2
  247   145     8    10     1     2
  248   177     8    13     2     2
  249    45     8     9     4     1
  250     3     8    11     1     1
  251    81     8    13     2     2
  252   118     9    13     2     2
  253    77     9    12     4     2
  254   191     9    11     3     1
  255   101     9    14     2     1
  256    45     9    11     4     2
  257    97     9    10     4     3
  258   133     9    13     4     1
  259   151     9    12     3     1
  260   115     9    13     2     1
  261    42     9    14     3     1
  262   111     9    10     2     2
  263   151     9    10     4     3
  264   123     9    13     1     2
  265   161     9    14     2     1
  266    26     9    10     4     1
  267   132     9    11     3     3
  268    72     9    12     3     2
  269   135     9    12     1     2
  270    81     9    13     4     3
  271   184     9    11     3     2
  272   120     9    10     4     3
  273    14     9    10     4     2
  274    68     9    12     3     1
  275   115     9    10     1     1
  276   200     9    14     2     1
  277   143     9    14     4     2
  278     7     9    13     2     1
  279   161     9    11     3     3
  280   131    10    13     4     1
  281   158    10    15     4     2
  282   167    10    11     1     1
  283    48    10    14     3     3
  284   108    10    13     3     3
  285   118    10    13     1     2
  286    13    10    15     1     1
  287   170    10    15     4     2
  288   197    10    11     2     1
  289    58    10    11     4     2
  290   147    10    14     1     2
  291   114    10    14     4     3
  292    55    10    13     3     1
  293   190    10    12     4     1
  294   105    10    14     1     2
  295   121    10    15     3     3
  296     3    10    12     1     2
  297    92    10    15     4     3
  298   170    10    13     1     1
  299    63    10    12     1     2
  300    57    10    14     2     1
  301    13    10    13     4     2
  302    49    10    15     4     1
  303    39    10    12     4     1
  304   197    10    15     3     3
  305   118    10    14     1     1
  306   165    10    13     3     2
  307   130    10    11     3     3
  308    16    10    15     3     2
  309    90    10    12     3     3
  310     9    11    13     3     3
  311    64    11    12     2     1
  312   177    11    12     1     1
  313    94    11    15     2     1
  314    96    11    16     3     1
  315   118    11    15     3     2
  316   190    11    13     1     1
  317     4    11    12     3     2
  318    77    11    16     4     3
  319    93    11    14     3     3
  320   100    11    13     4     2
  321    27    11    12     1     1
  322    48    11    16     2     1
  323   198    11    12     2     2
  324   131    11    15     4     1
  325   112    11    13     2     2
  326    70    11    16     1     2
  327    78    11    16     4     1
  328    70    11    16     3     1
  329    90    11    14     4     1
  330   110    11    12     3     3
  331   177    11    15     1     2
  332   174    12    14     1     2
  333     2    12    17     2     1
  334   169    12    16     2     1
  335    38    12    15     1     2
  336   141    12    14     4     1
  337   102    12    16     4     1
  338    97    12    16     3     1
  339   136    12    13     2     2
  340    13    12    13     4     3
  341   115    12    13     1     1
  342    12    12    16     4     3
  343   128    12    15     2     1
  344   125    12    17     3     3
  345   103    12    16     4     2
  346   181    12    15     4     1
  347   101    12    15     1     2
  348   124    12    16     1     1
  349   147    12    13     2     2
  350   120    12    17     4     1
