DATASET = ORTEC Early VeRoLog 2019
NAME = Instance 16

DAYS = 15
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1100

TRUCK_DISTANCE_COST = 10000
TRUCK_DAY_COST = 10000
TRUCK_COST = 100000
TECHNICIAN_DISTANCE_COST = 100000
TECHNICIAN_DAY_COST = 100000
TECHNICIAN_COST = 10

MACHINES = 3
    1     3    35
    2     8   555
    3     8   275

LOCATIONS = 205
    1   355   373
    2   162   357
    3   209   338
    4   246   305
    5   450   295
    6   743   598
    7   184   380
    8   384   583
    9   515   494
   10   225   340
   11   242   409
   12   322   238
   13   730   687
   14   245   318
   15   551   347
   16   659   564
   17   314   310
   18   740   659
   19   585   404
   20   272   314
   21   510    82
   22   534   424
   23   238   242
   24   552   330
   25    97   244
   26   252   495
   27   482    31
   28   265   476
   29   620   341
   30   317   486
   31   236   326
   32   312   472
   33   452   364
   34   598   399
   35   414   220
   36   184   382
   37   636   695
   38   383   348
   39   375   395
   40   484   660
   41    42   205
   42   229   375
   43   548   724
   44   389   472
   45   142   267
   46   186   383
   47   263   315
   48   146   320
   49   670   620
   50   519   239
   51   307   580
   52   263   292
   53   231   380
   54   376   238
   55   451   205
   56   713   651
   57   327   464
   58   679   698
   59   508   201
   60   523   289
   61   522    45
   62   434   285
   63   259   544
   64   311   463
   65   325   511
   66   576   711
   67   182   376
   68   302   559
   69   661   513
   70   390   443
   71   583   179
   72   216   338
   73   310   446
   74   614   394
   75   237   412
   76   262   493
   77   698   408
   78   532   224
   79   229   382
   80   443   196
   81   373   372
   82   769   707
   83   297   672
   84   665   723
   85   476   209
   86   631   732
   87   413   256
   88   363   382
   89   518   271
   90   204   324
   91   471   342
   92   394   569
   93   523   164
   94   251   400
   95   538   186
   96   663   547
   97   186   222
   98   367   395
   99   480   745
  100   565   343
  101   183   380
  102   674   376
  103   477   666
  104   367   274
  105   550    30
  106   313   466
  107   533    34
  108   337   313
  109   495   576
  110   260   439
  111   389   347
  112   436   512
  113   522   350
  114   352   512
  115   267   476
  116   282   548
  117   540   418
  118   324   469
  119   313   460
  120   375   431
  121   361   589
  122   544   144
  123   436   169
  124   190   383
  125   265   469
  126   429   368
  127    46   207
  128   298   453
  129   622   392
  130   203   323
  131   345   301
  132   546   715
  133   356   559
  134   358   387
  135   426   400
  136   665   497
  137   538   591
  138   270   358
  139   535   263
  140   388   445
  141   270   524
  142   200   361
  143   673   343
  144   462   402
  145   563   693
  146   418   410
  147   500   392
  148   625   328
  149   265   454
  150   545    36
  151   229   372
  152   560   720
  153   159   314
  154   242   342
  155   202   315
  156   509    36
  157   579   730
  158   662   657
  159   697   353
  160   583   177
  161   555   405
  162   250   340
  163   349   580
  164   302   248
  165   240   324
  166   268   524
  167   378   271
  168   388   389
  169   158   355
  170   272   539
  171   288   237
  172   382   401
  173   196   321
  174   448   371
  175   434   415
  176   274   396
  177   338   339
  178   268   533
  179   219   308
  180   448   371
  181   271   526
  182   390   475
  183   581   711
  184   374   434
  185   730   689
  186   524   752
  187   594   411
  188   312   331
  189   318   468
  190   586   334
  191   329   315
  192   397   258
  193   658   716
  194   485   203
  195   363   387
  196   408   274
  197   511   359
  198   413   405
  199   595   385
  200   187   223
  201   665   727
  202   515   341
  203   396   572
  204   547   419
  205   365   396

REQUESTS = 600
    1   105     1     3     3     2
    2    66     1     4     1     2
    3    80     1     5     1     1
    4    22     1     4     2     1
    5    72     1     3     3     2
    6   132     1     6     2     1
    7    39     1     2     3     1
    8   185     1     3     2     2
    9    67     1     4     1     1
   10   102     1     6     2     2
   11    24     1     6     1     2
   12    53     1     2     3     1
   13   120     1     4     1     3
   14   201     1     4     3     1
   15   147     1     6     1     2
   16    51     1     5     2     2
   17   185     1     6     3     2
   18   192     1     5     3     2
   19   182     1     5     2     1
   20    61     1     4     2     2
   21    77     1     4     2     1
   22   188     1     3     1     2
   23   142     1     2     1     1
   24   165     1     4     2     2
   25   165     1     3     3     1
   26    78     1     6     2     2
   27    50     1     5     1     3
   28    96     1     5     1     3
   29   148     1     4     1     1
   30   163     1     2     2     2
   31    93     1     2     3     2
   32   170     1     4     3     2
   33    43     1     2     3     2
   34   110     1     6     3     1
   35    20     1     4     1     2
   36   187     1     5     3     2
   37   134     1     5     3     1
   38    71     1     4     1     2
   39    24     1     4     2     2
   40   116     1     3     3     1
   41   114     1     3     2     2
   42    33     1     5     1     2
   43    84     1     6     2     2
   44    52     1     5     3     1
   45   187     1     5     2     2
   46    50     1     4     1     2
   47   163     1     4     3     1
   48   166     1     3     2     1
   49    98     1     2     3     2
   50    87     1     2     1     3
   51    91     1     5     2     2
   52   102     1     4     1     3
   53   119     1     4     1     1
   54   160     1     3     2     2
   55    35     1     4     1     1
   56    28     1     6     2     1
   57   198     1     2     1     2
   58   130     1     2     3     1
   59    28     1     4     3     2
   60    25     1     3     2     2
   61    39     1     3     2     2
   62   173     1     5     2     1
   63    65     1     2     3     1
   64    61     1     2     3     1
   65    20     1     6     1     2
   66   169     1     5     2     1
   67   104     1     3     3     1
   68   116     1     4     1     2
   69    33     1     3     1     2
   70   109     2     5     3     1
   71    56     2     3     2     1
   72    30     2     6     2     1
   73    47     2     3     1     1
   74   101     2     7     1     1
   75    61     2     7     3     1
   76    79     2     5     3     1
   77   104     2     5     3     2
   78    83     2     5     2     1
   79   145     2     7     3     1
   80    40     2     5     2     2
   81    59     2     4     3     2
   82    36     2     6     3     1
   83   136     2     3     1     1
   84   198     2     3     3     1
   85    33     2     6     2     1
   86    26     2     7     1     2
   87   199     2     5     3     1
   88    44     2     7     1     1
   89   186     2     7     3     2
   90   184     2     4     3     1
   91   158     2     7     2     1
   92    70     2     5     1     1
   93   162     2     4     1     1
   94    34     2     6     1     2
   95    77     2     5     3     2
   96    63     2     4     2     1
   97   197     2     6     2     1
   98    52     2     3     2     1
   99   162     2     6     3     1
  100    68     2     6     1     2
  101   105     2     6     1     3
  102   173     2     4     2     2
  103   181     2     5     1     3
  104    10     2     6     3     1
