DATASET = ORTEC Early VeRoLog 2019
NAME = Instance 9

DAYS = 45
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1075

TRUCK_DISTANCE_COST = 10
TRUCK_DAY_COST = 100
TRUCK_COST = 100000
TECHNICIAN_DISTANCE_COST = 1000
TECHNICIAN_DAY_COST = 100
TECHNICIAN_COST = 10000

MACHINES = 6
    1     8   205
    2     3   510
    3     3   265
    4     8    60
    5     4   230
    6     8   420

LOCATIONS = 165
    1   457   296
    2   398   281
    3   258   471
    4   621   363
    5   539   518
    6   165   361
    7   240   367
    8   399   570
    9   682   712
   10   386   254
   11   264   314
   12   543   163
   13   550     1
   14   283   551
   15   542   358
   16   342   373
   17   501   651
   18   456   456
   19   161   333
   20   265   505
   21   574   345
   22   283   474
   23   206   323
   24   669   656
   25   253   498
   26   197   382
   27   634   417
   28   364   395
   29   558   391
   30   522   358
   31   698   355
   32   531   349
   33   305   495
   34   334   451
   35   452   461
   36   548   235
   37   258   340
   38   247   330
   39   234   321
   40   298   463
   41   547   498
   42   295   266
   43   337   449
   44   268   310
   45   186   385
   46   578   741
   47   336   414
   48   585   181
   49   545   341
   50   308   465
   51   735   596
   52   690   378
   53   198   379
   54   326   457
   55   665   359
   56   355   231
   57   561   683
   58   397   273
   59   314   483
   60   603   327
   61   454   373
   62   357   744
   63   541   426
   64   208   364
   65   252   342
   66   681   758
   67   187   387
   68   523   282
   69   555   702
   70   303   430
   71   309   466
   72   308   475
   73   545   499
   74   398   291
   75   345   497
   76   398   417
   77   381   174
   78   547   499
   79   301   554
   80   703   591
   81   610   702
   82   621   617
   83   189   310
   84   444   514
   85   468   199
   86   495   572
   87   247   346
   88   267   479
   89   634   348
   90   339   393
   91   261   235
   92   696   766
   93   627   705
   94   436   439
   95   301   554
   96   187   216
   97   568   379
   98   610   393
   99   369   289
  100   578   705
  101   360   331
  102   311   449
  103   755   672
  104   231   341
  105   350   227
  106   182   334
  107   480   361
  108   317   258
  109   315   483
  110   266   468
  111   548   498
  112   501    65
  113   408   272
  114   529   278
  115   235   352
  116   191   393
  117   646   540
  118   541    39
  119   542   326
  120   183   339
  121   288   256
  122   268   307
  123   736   424
  124   365   387
  125   261   372
  126   612   347
  127   585   179
  128   179   339
  129   585   385
  130   719   581
  131   244   352
  132   343   613
  133   471   205
  134   670   468
  135   529   358
  136   387   329
  137     0   170
  138   757   440
  139   597   591
  140   288   645
  141   279   538
  142   490   304
  143   546   741
  144   435   172
  145   301   449
  146   258   476
  147   788   641
  148   612   347
  149   533   619
  150   280   540
  151   199   378
  152   201   345
  153   511   311
  154   502   718
  155   268   207
  156   258   454
  157   384   391
  158   730   426
  159   478   319
  160   285   473
  161   537   337
  162   602   353
  163   267   457
  164   347   391
  165   446   676

REQUESTS = 450
    1     5     1     5     3     3
    2   113     1     2     6     2
    3    15     1     5     1     1
    4    41     1     3     6     2
    5   140     1     5     4     1
    6    68     1     3     2     3
    7    31     1     5     4     1
    8    67     1     5     4     2
    9    55     2     4     4     1
   10   136     2     5     3     3
   11    41     2     5     5     1
   12    23     2     4     5     2
   13     4     2     5     6     1
   14    52     2     3     5     1
   15    73     2     7     4     1
   16     4     2     3     2     3
   17    49     2     6     2     3
   18   110     2     6     1     2
   19    32     2     5     4     1
   20    10     2     4     6     1
   21    58     2     5     6     1
   22   114     2     6     2     1
   23    58     3     8     1     2
   24   132     3     5     2     2
   25    60     3     4     5     1
   26   127     3     8     6     1
   27    42     3     5     2     3
   28   108     3     5     3     1
   29    29     3     5     3     3
   30    21     3     7     2     3
   31    87     3     7     5     3
   32   102     3     4     1     1
   33   121     3     6     6     2
   34    57     3     5     6     1
   35    68     4     9     6     2
   36    22     4     9     6     1
   37     3     4     8     1     1
   38    65     4     9     3     3
   39   106     4     6     1     2
   40   144     4     5     5     2
   41    14     4     8     5     2
   42    93     5     8     6     2
   43    77     5     6     4     1
   44   109     5     7     1     1
   45   122     5     7     1     2
   46    47     5     7     5     3
   47    27     5     8     1     2
   48    67     5     8     2     2
   49    60     5     8     3     2
   50    38     5     7     2     1
   51    20     6     9     1     1
   52   105     6    11     4     2
   53    30     6     9     2     3
   54   144     6    11     5     3
   55    30     6    10     6     2
   56   113     6    10     2     1
   57    79     6     7     1     2
   58   144     6     9     2     1
   59     5     6    10     6     1
   60   117     6     7     4     2
   61   136     7     9     1     2
   62    54     7    11     4     2
   63    90     7    12     2     3
   64    16     7     9     5     2
   65   111     7    11     1     1
   66    58     7     8     4     2
   67    13     7    10     2     2
   68   120     7     9     4     1
   69   146     7    11     3     2
   70   146     7     9     4     2
   71   114     7    11     6     1
   72    10     7     8     6     1
   73    15     7    12     5     3
   74    40     7    10     4     1
   75    54     8    10     3     2
   76    34     8    13     3     3
   77   142     8    12     5     3
   78    37     8    11     2     1
   79    21     8    11     1     1
   80    79     8    13     3     1
   81   111     8    10     3     3
   82   115     8    13     6     1
   83    65     8    10     5     1
   84    10     8    10     4     1
   85     6     9    13     6     2
   86     6     9    11     1     2
   87   131     9    12     6     1
   88    22     9    10     6     2
   89    83     9    12     5     3
   90    47     9    10     5     3
   91   137     9    14     6     1
   92   128     9    12     1     2
   93    50    10    13     1     2
   94    53    10    13     4     1
   95    68    10    13     1     2
   96    61    10    13     3     2
   97   141    10    14     1     2
   98    36    10    12     2     1
   99   103    10    15     2     2
  100    61    10    14     1     2
  101    36    11    12     6     1
  102    88    11    12     5     1
  103    80    11    15     5     2
  104   106    11    16     4     2
  105   136    11    16     3     2
  106    53    11    12     5     1
  107    72    11    15     1     2
  108    30    11    15     1     1
  109    21    11    12     2     3
  110    94    11    13     3     2
  111    28    11    13     2     2
  112    70    11    15     4     2
  113   134    11    15     4     1
  114   134    11    16     3     3
  115    32    12    16     1     1
  116   134    12    15     1     2
  117    94    12    15     1     2
  118   104    12    16     2     1
  119   121    12    14     5     2
  120    30    12    15     2     1
  121   103    12    16     3     1
  122    15    12    13     1     2
  123    10    12    15     3     3
  124    48    12    17     5     1
  125   111    12    17     3     2
  126   101    12    13     2     2
  127   116    12    14     3     3
  128    37    12    14     2     2
  129   122    13    17     3     1
  130    57    13    15     4     1
  131    13    13    18     3     2
  132     8    13    15     6     1
  133    20    13    18     5     2
  134   130    13    14     3     1
  135    72    13    16     5     2
  136    18    13    17     2     3
  137   102    13    14     4     1
  138   117    13    18     6     2
  139    55    13    14     6     2
  140    29    13    18     4     1
  141   109    14    17     5     3
  142    22    14    16     6     1
  143    64    14    16     6     1
  144    65    14    16     4     1
  145   139    14    15     5     1
  146    43    14    19     5     2
  147    50    14    16     1     1
  148    53    14    15     2     2
  149    99    14    17     4     2
  150    68    14    15     4     1
  151    73    14    19     3     2
  152     5    15    19     2     1
  153    93    15    20     1     1
  154    75    15    17     5     1
  155    51    15    17     5     2
  156    78    15    18     2     1
  157   108    15    18     2     1
  158    84    15    17     3     3
  159    42    15    20     6     1
  160    10    15    18     6     2
  161   123    15    16     6     1
  162    82    15    20     4     1
  163    39    15    20     5     3
  164    65    15    19     5     2
  165   116    16    18     6     1
  166     3    16    17     4     1
  167   124    16    21     1     2
  168   127    16    17     6     1
  169    27    16    20     3     2
  170    52    16    20     6     2
  171   113    16    20     2     3
  172   125    16    19     1     1
  173   120    16    21     1     2
  174    99    16    18     2     3
  175   107    17    22     5     1
  176    15    17    22     4     2
  177   117    17    18     5     2
  178    76    17    18     4     1
