DATASET = ORTEC Early VeRoLog 2019
NAME = Instance 21

DAYS = 15
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1280

TRUCK_DISTANCE_COST = 1000
TRUCK_DAY_COST = 10
TRUCK_COST = 100
TECHNICIAN_DISTANCE_COST = 100000
TECHNICIAN_DAY_COST = 1000
TECHNICIAN_COST = 10

MACHINES = 3
    1     6   170
    2     7   700
    3     5   600

LOCATIONS = 155
    1   422   212
    2   604   746
    3   534   320
    4   695   357
    5   513   710
    6   343   387
    7   156   314
    8   354   357
    9   557   464
   10   668   431
   11   527   363
   12   424   196
   13   258   480
   14   514   360
   15   308   251
   16   454   374
   17   244   329
   18   595   399
   19   347   451
   20   254   333
   21   506   701
   22   581   614
   23   699   357
   24   447   344
   25   389   403
   26   262   374
   27   716   449
   28   478   302
   29   123   164
   30   713   440
   31   523   135
   32   199   381
   33   636   691
   34   356   229
   35   727   680
   36   271   317
   37   472   530
   38   751   635
   39   463   557
   40   202   362
   41   555   769
   42   476   671
   43   559   519
   44   377   469
   45   550   346
   46   451   247
   47   720   698
   48   246   305
   49   226   342
   50   477   353
   51   255   325
   52   469   748
   53   236   414
   54   424   329
   55   256   470
   56   609   353
   57   432   174
   58   555   197
   59   230   337
   60   486   513
   61   522   350
   62   270   307
   63   182   382
   64   748   639
   65   313   468
   66   201   333
   67   237   412
   68   544   144
   69   297   473
   70   313   460
   71   765   699
   72   588   405
   73   456   318
   74   486   206
   75   451   368
   76   224   221
   77   244   351
   78   211   365
   79   230   333
   80   704   755
   81   678   402
   82   225   357
   83   556   744
   84   207   387
   85   301   473
   86   206   366
   87   309   262
   88   313   485
   89   534   259
   90   418   412
   91   533   534
   92   366   380
   93   477   374
   94   311   463
   95   680   761
   96   231   331
   97   387   450
   98   640   572
   99   164   364
  100   246   343
  101   534   298
  102   603   349
  103   299   491
  104   740   430
  105   671   735
  106   604   472
  107   287   512
  108   510    82
  109    73   192
  110   368   391
  111   410   275
  112   294   445
  113   492   703
  114   302   472
  115   483   233
  116   315   422
  117   261   442
  118   319   469
  119   696   475
  120   319   470
  121   273   451
  122   524   721
  123   229   302
  124   492   142
  125   232   406
  126   264   440
  127   439   222
  128   521    32
  129   169   373
  130   630   704
  131   408   376
  132   287   440
  133   666   448
  134   494   165
  135   497   734
  136   298   495
  137   659   564
  138   431   156
  139   401   271
  140   695   788
  141    42   204
  142   697   450
  143   497   349
  144   492   569
