DATASET = ORTEC Early VeRoLog 2019
NAME = Instance 17

DAYS = 25
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1335

TRUCK_DISTANCE_COST = 10000
TRUCK_DAY_COST = 10
TRUCK_COST = 1000
TECHNICIAN_DISTANCE_COST = 100
TECHNICIAN_DAY_COST = 1000
TECHNICIAN_COST = 100

MACHINES = 4
    1     8   135
    2     8   850
    3     3   195
    4     8   495

LOCATIONS = 253
    1   414   163
    2   269   305
    3   451   205
    4   242   327
    5   577   345
    6   536   216
    7   348   366
    8   559   682
    9   544   433
   10   188   394
   11   371   273
   12   285   240
   13   619   365
   14   683   392
   15   383   461
   16   241   319
   17   425   708
   18   308   203
   19   307   471
   20   298   367
   21   519   356
   22   293   466
   23   499    50
   24   545    28
   25   180   322
   26   637   445
   27   319   477
   28   196   389
   29   293   309
   30   518   761
   31   375   567
   32   212   311
   33   469   450
   34   228   407
   35   536   429
   36   231   331
   37   264   472
   38   340   282
   39   283   312
   40   441   426
   41   389   392
   42   543   363
   43   296   463
   44   580   448
   45   567   692
   46   267   488
   47   250   365
   48   476   685
   49   629   539
   50   339   555
   51   399   569
   52   566   213
   53   323   467
   54   658   625
   55   442   374
   56   223   336
   57   518   125
   58   206   290
   59   326   514
   60   556   323
   61   378   429
   62   246   299
   63   604   444
   64   510   176
   65   261   234
   66   579   437
   67   220   309
   68   508   267
   69   591   406
   70   267   523
   71   266   485
   72   386   377
   73   509    92
   74   264   485
   75   303   478
   76   358   394
   77   758   438
   78   505   356
   79   679   602
   80   285   549
   81   233   224
   82   296   235
   83   651   546
   84   248   303
   85   560   511
   86   294   465
   87   533   367
   88   287   677
   89   499   715
   90   260   502
   91   753   570
   92   475    19
   93   535   640
   94   299   475
   95   787   641
   96   467   418
   97   341   357
   98   343   347
   99   735   589
  100   307   257
  101   316   476
  102   294   469
  103   588   535
  104   325   470
  105   364   386
  106   360   382
  107   311   463
  108   369   578
  109   293   343
  110   508   639
  111   525   350
  112   572   502
  113   620   422
  114   170   319
  115   394   451
  116   376   426
  117   269   453
  118   334   460
  119   189   218
  120   545   430
  121   417   434
  122   517   347
  123   262   471
  124   499    60
  125   312   461
  126   420   366
  127   562   490
  128   233   337
  129   261   474
  130   366   385
  131   264   424
  132   325   460
  133   330   313
  134   434   622
  135   256   342
  136   434   362
  137   568   376
  138   675   482
  139   322   504
  140   327   456
  141   279   245
  142   264   376
  143   577   441
  144   218   343
  145   538   430
  146   188   227
  147   548   498
  148   404   319
  149   493   356
  150   314   460
  151   440   190
  152   300   543
  153   722   752
  154   366   212
  155   717   724
  156   542   416
  157   571   687
  158   334   536
  159   368   388
  160   408   373
  161   545   620
  162   434   363
  163   243   348
  164   634   408
  165   578   700
  166   703   591
  167   739   584
  168   714   443
  169   329   335
  170   523   313
  171   696   352
  172   140   153
  173   218   342
  174   276   372
  175   202   380
  176   669   469
  177   272   447
  178   389   399
  179   357   385
  180   666   382
  181   361   590
  182   207   256
  183   497   311
  184   559   359
  185   547   330
  186   341   334
  187   663   422
  188   487   145
  189   560   720
  190   561   342
  191   606   534
  192   357   229
  193   324   574
  194   262   440
  195   475   210
  196   312   460
  197   429   659
  198   703   591
  199   637   445
  200   291   583
  201   301   266
  202   214   376
  203   388   386
  204   271   369
  205   164   364
  206   705   612
  207   228   320
  208   515    63
  209   491   130
  210   164   368
  211   356   284
  212   623   340
  213   306   490
  214   533   619
  215   261   317
  216   389   206
  217   320   450
  218   277   367
  219    30   215
  220   290   638
  221   268   384
  222   481   668
  223   546   315
  224   542   447
  225   603   384
  226   675   776
  227   560    36
  228   543   359
  229   260   470
  230   304   438
  231   137   161
  232   631   572
  233   501   712
  234   423   409
  235   312   475
  236   601   325
  237   478   665
  238   356   364
  239   378   443
  240   572   516
  241   541    52
  242   628   334
  243   547   742
  244   181   371
  245   690   429
  246   558   395
  247   467   449
  248   225   331
  249   420   194
  250   252   357
  251   399   416
  252   544   421
  253   322   481

REQUESTS = 750
    1    85     1     6     2     2
    2    34     1     3     2     1
    3   101     1     5     3     2
    4   138     1     6     3     2
    5    88     1     4     4     1
    6    31     1     2     2     2
    7    34     1     3     1     1
    8    22     1     5     4     1
    9   146     1     4     3     1
   10    78     1     5     1     2
   11    41     1     3     1     2
   12    22     1     6     2     1
   13   182     1     2     4     1
   14   235     1     3     4     1
   15    11     1     2     2     2
   16   100     1     4     2     2
   17   150     1     6     3     1
   18   239     1     5     1     2
   19   242     1     5     2     2
   20   115     1     6     4     1
   21   222     1     3     2     2
   22   209     1     6     2     2
   23   134     1     3     1     2
   24   123     1     4     3     1
   25    61     1     5     4     2
   26   242     1     2     3     2
