DATASET = ORTEC Early VeRoLog 2019
NAME = Instance 23

DAYS = 35
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1565

TRUCK_DISTANCE_COST = 10
TRUCK_DAY_COST = 100000
TRUCK_COST = 100000
TECHNICIAN_DISTANCE_COST = 10
TECHNICIAN_DAY_COST = 100000
TECHNICIAN_COST = 1000

MACHINES = 5
    1     7   190
    2     5   130
    3     6   865
    4     7   740
    5     5   550

LOCATIONS = 257
    1   560    28
    2   539   140
    3   250   354
    4   319   437
    5   280   304
    6   315   464
    7   777   646
    8   641   551
    9   522   749
   10   737   482
   11   235   369
   12   714   355
   13   245   348
   14   463   372
   15   140   327
   16   514   738
   17   577   478
   18   516   359
   19   201   345
   20   248   349
   21   325   480
   22   281   404
   23   267   511
   24   199   315
   25   349   397
   26   501   729
   27   507   306
   28   188   368
   29   521   311
   30   309   370
   31   322   483
   32   450   384
   33   373   443
   34   209   401
   35   434   508
   36   507   304
   37   514   326
   38   242   339
   39   348   513
   40   221   325
   41   627   336
   42   282   550
   43   250   333
   44   268   303
   45    82   284
   46   516   493
   47   418   279
   48   547   426
   49   270   369
   50   276   537
   51   328   508
   52   541   359
   53   364   395
   54   384   391
   55   272   443
   56   547   742
   57   262   373
   58   252   341
   59   147   337
   60   512    28
   61   296   508
   62   376   428
   63   503   681
   64   666   649
   65   293   465
   66   304   489
   67   557    36
   68   471   327
   69   517    87
   70   325   480
   71   490   517
   72   545   430
   73   309   458
   74   450   676
   75   366   391
   76   283   244
   77   532   716
   78   411   403
   79   445   292
   80   364   373
   81   452   249
   82   184   338
   83   279   376
   84   425   412
   85   300   340
   86   304   470
   87   543    53
   88   234   335
   89   534   642
   90   292   462
   91   383   471
   92   540   764
   93   340   420
   94   193   314
   95   275   560
   96   276   438
   97   256   466
   98   252   336
   99   707   434
  100   480   361
  101   292   407
  102   736   431
  103   455   192
  104   333   450
  105   345   638
  106   513   317
  107   219   345
  108   312   462
  109   225   326
  110   590   670
  111   534   642
  112   332   442
  113   262   479
  114    87   232
  115   331   358
  116   272   304
  117   204   184
  118   236   416
  119   187   384
  120    30   215
  121   254   324
  122   580   576
  123   665   357
  124   575   416
  125   304   559
  126   484   137
  127   257   460
  128   386   431
  129   718   448
  130   465   699
  131   196   372
  132   338   391
  133   489    13
  134   383   348
  135   660   718
  136   256   327
  137   550   585
  138   509   261
  139   263   239
  140   295   433
  141   104   206
  142   702   556
  143   209   337
  144   262   506
  145   666   725
  146   590   728
  147    91   224
  148   239   384
  149   418   403
  150   440   190
  151   302   248
  152   314   461
  153   542   419
  154   365   384
  155   323   479
  156   700   737
  157   255   328
  158   309   458
  159   745   581
  160   560   395
  161   504   680
  162   245   470
  163   288   544
  164   461   338
  165   585   570
  166   534    45
  167   186   374
  168   600   692
  169   535   292
  170   193   374
  171   326   262
  172   351   555
  173   536   415
  174   302   435
  175   630   371
  176   334   312
  177   559    42
  178   543   431
  179   318   466
  180   428   709
  181   236   340
  182   640   323
  183   147   337
  184   491   141
  185   707   760
  186   255   497
  187   200   387
  188   341   564
  189   395   417
  190   322   295
  191   166   335
  192   227   256
  193   384   450
  194   296   463
  195   684   454
  196   375   428
  197   544   715
  198   515   356
  199   371   283
  200   202   377
  201   375   228
  202   398   481
  203   294   444
  204   351   559
  205   294   242
  206   689   772
  207   494   358
  208   667   542
  209   291   511
  210   518   337
  211   197   184
  212   506   475
  213   206   314
  214   672   470
  215   326   458
  216   543   347
  217   256   468
  218   249   345
  219   321   468
  220   175   383
  221   192   241
  222   503    27
  223   233   342
  224   318   481
  225   320   467
  226   620   445
  227   215   390
  228   360   327
  229   225   219
  230   308   324
  231   373   425
  232   524   398
  233   541   326
  234   521   317
  235   581   173
  236   245   350
  237   423   191
  238   290   555
  239   518   317
  240   430   197
  241   249   337
  242   357   285
  243   204   385
  244   481   662
  245   406   294
  246   536   416
  247   774   715
  248   470   263
  249   731   740
  250   247   442
  251   195   318
  252   583   441
  253   162   312
  254   283   545
  255   496   735
  256   487   613
  257   303   448

REQUESTS = 750
    1   145     1     3     2     1
    2   207     1     5     3     1
    3    42     1     2     3     2
    4   211     1     6     2     1
    5   100     1     5     3     3
    6    90     1     2     5     2
    7   225     1     4     5     1
    8   141     1     2     1     1
    9   132     1     6     3     1
   10    23     1     5     3     3
   11   142     1     3     4     1
   12   168     1     2     3     3
   13   139     1     2     5     3
   14    87     1     6     4     1
   15   211     1     2     5     3
   16   170     1     5     3     3
   17   250     1     5     3     3
   18   226     1     6     1     2
   19   141     1     2     3     3
   20    69     1     2     1     1
   21    58     1     6     5     3
   22    40     1     3     3     1
   23   239     1     6     4     1
   24    56     1     3     3     3
   25   192     2     7     4     2
   26    92     2     4     1     1
   27   206     2     4     2     3
   28   188     2     5     4     1
   29    80     2     3     1     2
   30   218     2     4     3     1
   31   150     2     7     5     2
   32   182     2     5     1     2
   33   158     2     5     1     2
   34   250     2     4     3     3
   35    53     2     4     5     2
   36   224     2     3     1     2
   37    34     2     4     5     2
   38   128     2     7     1     2
   39   181     2     4     1     2
   40   200     2     7     2     2
   41   162     2     4     1     1
   42   161     2     5     5     3
   43   214     2     3     3     1
   44   132     2     5     4     2
   45   219     2     5     3     1
   46   120     2     6     4     2
   47    50     2     3     4     2
   48    71     2     7     2     1
   49   206     2     5     3     2
   50    59     2     7     4     2
   51    99     2     3     3     1
   52    55     2     4     3     3
   53    94     2     3     4     1
   54    77     2     7     4     2
   55   138     2     4     2     1
   56   119     2     3     5     2
   57     2     3     5     4     2
   58   190     3     5     2     2
   59    89     3     7     4     2
   60   230     3     7     5     2
   61   193     3     8     2     2
   62    67     3     5     3     1
   63   124     3     8     1     1
   64   194     3     7     5     1
   65   166     3     5     2     1
   66   175     3     7     5     1
   67   142     3     6     2     3
   68   152     3     5     2     1
   69    93     3     8     4     2
   70   249     3     6     1     2
   71   113     3     7     5     2
   72   139     3     5     5     3
   73    57     3     5     3     2
   74   243     3     6     4     2
   75   193     3     4     1     2
   76    31     3     8     2     1
   77   234     3     8     2     2
   78   154     3     5     3     1
   79    98     4     9     5     3
   80    13     4     8     5     1
   81   196     4     8     5     3
   82   184     4     9     4     1
   83   189     4     8     5     1
   84    62     4     5     1     1
   85   216     4     6     2     1
   86   155     4     8     2     3
   87   163     4     8     5     3
   88   147     4     5     5     3
   89     7     4     7     2     1
   90   129     4     5     1     2
   91   174     4     5     4     1
   92   170     4     9     2     2
   93    75     4     8     5     3
   94   220     4     6     5     1
   95   156     4     6     3     3
   96   141     4     5     4     1
   97    61     4     7     3     3
   98   232     4     9     3     2
   99   233     4     6     3     3
  100   210     5     8     1     1
  101   114     5     9     5     2
  102   113     5     8     1     1
  103    62     5     6     4     2
  104   110     5    10     1     1
  105   204     5     7     1     2
  106   116     5     7     1     2
  107   246     5     8     2     1
  108   146     5     9     5     1
  109    15     5     7     5     2
  110    17     5     7     4     1
  111   179     5     7     2     1
  112   143     5     6     3     3
  113   195     5     9     4     1
  114    87     5     7     1     1
  115   169     5     8     4     2
  116   226     5     7     1     1
  117   158     6    10     5     3
  118   123     6    11     4     2
  119    67     6     7     3     3
  120    41     6    11     3     1
  121   202     6     7     5     1
  122    63     6     9     4     2
  123   183     6     9     5     3
  124    44     6    10     4     2
  125   240     6     9     2     3
  126   203     6    10     2     3
  127    23     6     9     1     1
  128   187     6    11     4     2
  129    79     6     7     4     2
  130   152     6    10     1     1
  131   251     6    11     4     2
  132   166     6    11     3     2
  133   204     6    11     5     1
  134   178     6     9     1     2
  135   206     6     7     3     1
  136   125     6     8     3     3
  137    30     6    11     1     1
  138    50     6    11     3     2
  139   144     6    11     2     3
  140   204     6    10     2     1
  141   191     7    12     1     2
  142   244     7     9     3     2
  143   186     7     8     1     1
  144   134     7     8     5     1
  145   155     7     9     3     3
  146    36     7    12     5     1
  147   232     7     9     5     2
  148   143     7    10     1     2
  149   203     7    10     1     1
  150   236     7    11     5     2
  151    80     7    12     2     1
  152    71     7    10     5     2
  153   137     7    12     2     3
  154    69     7    10     2     3
  155    14     7     8     2     3
  156   232     7     8     5     3
  157   207     7    11     1     1
  158   120     7     8     1     1
  159    89     7    12     5     2
  160   206     7    12     3     1
  161   204     7    11     4     2
  162    98     7    11     1     2
  163   223     7    12     5     2
  164   224     7     8     3     1
  165   235     7     8     3     3
  166   109     7     8     3     2
  167    72     7    12     5     2
  168   241     8    10     4     2
  169    72     8    10     1     2
  170   193     8    10     1     2
  171   123     8    10     5     2
  172   159     8    12     1     2
  173    87     8    10     2     3
  174   102     8    13     5     1
  175   209     8    10     1     2
  176    47     8    13     1     1
  177   214     8     9     3     2
  178   182     8    11     2     2
  179   117     8    10     4     1
  180   239     8    11     5     3
  181    15     8     9     3     3
  182    69     8    11     1     1
  183    17     8    13     2     3
  184   173     8    10     5     1
  185    48     8    10     5     1
  186   117     8     9     3     3
  187   173     8    12     2     3
  188   178     8    11     1     1
  189   104     8     9     1     1
  190   230     8    13     2     2
  191   115     8     9     2     2
  192   250     8     9     1     2
  193    23     8    12     2     2
  194   160     8    10     4     2
  195   128     8    12     4     1
  196    43     8    13     1     1
  197    93     8    13     4     1
  198   162     8    10     5     3
  199   122     8    10     2     1
  200    72     9    10     5     1
  201   218     9    10     4     2
  202   246     9    10     2     2
  203   141     9    13     3     3
  204   215     9    10     2     3
  205    10     9    13     4     1
  206   136     9    14     1     1
  207    92     9    14     2     3
  208   115     9    14     4     2
  209    33     9    12     2     3
  210   124     9    12     4     2
  211   170     9    10     3     2
  212   132     9    12     2     1
  213   230     9    10     3     3
  214    96     9    11     4     1
  215   132     9    10     4     2
  216   160     9    10     5     1
  217   246     9    12     3     2
  218    43     9    11     3     2
  219    98     9    11     4     1
  220   109     9    12     4     2
  221   191     9    12     5     1
  222   120    10    11     5     3
  223    28    10    14     5     3
  224    84    10    14     2     1
  225    42    10    14     5     2
  226    10    10    11     1     2
  227   162    10    13     5     2
  228   132    10    15     1     2
  229    77    10    15     1     2
  230   146    10    12     1     2
  231   247    10    12     4     2
  232   200    10    13     2     3
  233   191    10    14     2     2
  234   106    10    15     5     2
  235   241    10    15     1     1
  236    12    10    12     3     1
  237   159    10    15     3     1
  238   124    10    11     5     3
  239   188    10    15     1     1
  240   121    10    12     2     2
  241    60    10    13     2     2
  242   176    10    11     2     1
  243     2    10    15     2     3
  244    71    10    15     3     2
  245   108    10    14     1     2
  246   225    10    11     4     1
  247   175    10    14     3     3
  248     5    10    11     1     1
  249   186    10    11     1     1
  250    75    10    12     2     2
  251   237    10    14     4     2
  252    57    10    13     5     2
  253   131    10    11     2     2
  254    11    10    12     4     1
  255   170    10    14     1     2
  256   141    10    15     3     2
  257   132    11    16     2     1
  258    51    11    13     3     3
  259    85    11    16     5     1
  260    76    11    14     2     2
  261    54    11    13     4     1
  262   116    11    12     1     2
  263   199    11    15     1     2
  264   125    11    12     2     2
  265   249    11    16     2     2
  266    23    11    12     4     2
  267   187    11    16     3     1
  268   231    11    15     3     3
  269    93    11    14     1     2
  270    86    11    16     2     1
  271    25    11    14     1     2
  272   204    11    15     1     2
  273   153    11    16     1     1
  274   167    11    15     3     3
  275    52    11    16     1     2
  276    84    11    12     4     2
  277   134    11    14     1     2
  278   191    11    15     1     1
  279     7    11    13     1     2
  280   170    11    16     3     2
  281    40    12    16     3     2
  282    35    12    13     5     2
