DATASET = ORTEC Early VeRoLog 2019
NAME = Instance 14

DAYS = 45
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1265

TRUCK_DISTANCE_COST = 10
TRUCK_DAY_COST = 10000
TRUCK_COST = 100
TECHNICIAN_DISTANCE_COST = 10000
TECHNICIAN_DAY_COST = 1000
TECHNICIAN_COST = 10000

MACHINES = 6
    1     3   880
    2     6   535
    3     8   950
    4     6    90
    5     4   450
    6     7   145

LOCATIONS = 120
    1   181   377
    2   173   369
    3   396   413
    4   282   496
    5   495   572
    6   263   484
    7   387   347
    8   370   432
    9   536   236
   10   681   421
   11   340   282
   12   239   411
   13   319   489
   14   582   686
   15   335   239
   16   563   386
   17   493   216
   18   352   512
   19   288   643
   20    40   198
   21   705   650
   22   675   653
   23   459   372
   24   310   460
   25   514   711
   26   596   405
   27   279   367
   28   113   259
   29   205   221
   30   512   685
   31   550    37
   32   313   386
   33   197   374
   34   360   399
   35   372   449
   36   190   382
   37   521   346
   38   437   195
   39   231   428
   40    97   139
   41   279   571
   42   445   432
   43   391   568
   44   352   325
   45   376   373
   46   309   580
   47   254   457
   48   426   194
   49   308   274
   50   209   340
   51   343   613
   52   441   191
   53   287   609
   54   414   410
   55   211   380
   56   497   319
   57   391   398
   58   531   299
   59   308   455
   60   192   384
   61   159   356
   62   276   302
   63   229   333
   64   261   497
   65   181   337
   66   348   404
   67   502    40
   68   192   392
   69   328   309
   70   383   345
   71   367   382
   72   196   381
   73   395   380
   74   314   475
   75   517   311
   76   627   614
   77   488   139
   78   178   366
   79   322   470
   80   489    13
   81   277   369
   82   361   554
   83   708   656
   84   723   447
   85   728   691
   86   734   591
   87   302   590
   88   547   429
   89   518    65
   90   187   382
   91   410   357
   92   250   353
   93   534   642
   94   487   143
   95   259   322
   96   397   377
   97   666   718
   98   441   402
   99   372   366
  100   588   403
  101   355   510
  102   263   426
  103   375   407
  104   596   590
  105   188   214
  106   177   379
  107   109   203
  108   584   564
  109   182   373
  110   418   421
  111   285   580
  112   498   718
  113   666   725
  114   473   576
  115   531   427
  116   439   428
  117   424   327
  118   176   359
  119   259   368
  120   261   528

REQUESTS = 300
    1    26     1     6     2     3
    2    37     1     4     6     2
    3    84     1     2     5     3
    4     4     1     5     2     3
    5    18     1     2     6     1
    6    90     2     4     1     3
    7    69     2     3     5     3
    8   101     2     7     3     2
    9    10     2     6     1     2
   10     3     2     4     1     3
   11    76     2     6     2     2
   12    12     3     6     6     1
   13    97     3     5     6     1
   14    96     3     5     2     3
   15    88     3     4     6     1
   16    53     3     6     2     2
   17    32     3     4     4     1
   18    44     3     8     5     3
   19    24     3     7     6     2
   20    78     3     8     6     2
   21     9     3     6     1     3
   22    87     4     9     3     1
   23    87     4     5     6     1
   24    54     4     8     1     1
   25    20     4     6     4     3
   26    11     4     7     1     3
   27    29     4     7     5     2
   28     6     4     6     1     1
   29    59     4     5     3     1
   30    34     4     8     6     1
   31    36     4     6     5     2
   32    73     4     8     2     3
   33    66     5    10     2     1
   34    54     5     8     6     1
   35     2     5     6     3     2
   36    98     5     7     5     1
   37    22     5     6     5     3
   38     5     5     7     4     3
   39   101     5     6     4     3
   40    46     5     7     1     3
   41    72     6    11     2     3
   42    77     6     9     5     2
   43    87     6     9     5     3
   44    75     6     9     3     1
   45    71     6     9     6     1
   46    35     6     9     5     1
   47    13     6     9     3     1
   48    59     6    11     5     3
   49    38     6    11     4     2
   50    15     7    11     3     1
   51    46     7    11     1     3
   52    97     7    10     5     2
   53    83     7     9     4     1
   54    52     7     9     3     1
   55    86     7     8     2     3
   56    72     8    13     5     2
   57    15     8    12     2     1
   58    57     8    12     6     1
   59   100     8    10     6     2
   60    23     8    10     4     2
   61    72     8     9     3     1
   62     9     9    12     2     1
   63    38     9    10     5     2
   64    44     9    10     6     1
   65    81     9    14     4     2
   66    17     9    10     5     3
   67    45     9    11     4     1
   68    83     9    10     2     2
   69    29    10    12     3     2
   70    36    10    14     3     1
   71     6    10    13     6     1
   72    78    10    15     5     1
   73    45    11    14     4     3
   74    78    11    15     4     3
   75    40    11    16     4     2
   76    82    11    12     2     2
   77     6    11    12     3     2
   78    82    12    17     6     2
   79    32    12    13     4     1
   80    90    12    17     6     2
   81    52    12    13     6     2
   82    44    12    14     2     3
   83    94    12    14     4     3
   84    97    12    17     6     2
   85     6    13    15     3     2
   86    17    13    14     2     2
   87    40    13    16     6     2
   88    78    13    17     5     1
   89    58    13    18     3     2
   90    22    14    19     2     3
   91    48    14    17     6     2
   92   101    14    16     2     3
   93    81    14    17     5     3
   94    22    14    17     4     1
   95    10    14    16     1     1
   96    53    14    15     1     1
   97    49    14    16     5     1
   98    94    14    15     4     3
   99    48    14    16     4     2
  100    96    14    16     1     3
  101    78    15    19     6     1
  102    84    15    19     4     1
  103    62    15    19     2     3
  104    52    15    18     4     1
  105    76    15    17     4     3
  106    52    15    17     4     3
  107    92    16    17     2     3
  108    62    16    17     3     1
  109    84    16    20     5     1
  110    76    16    18     2     1
  111    78    16    20     1     2
  112    87    16    19     4     3
  113    78    16    21     3     2
  114    22    16    18     5     1
  115    68    16    19     4     2
  116    77    16    19     3     2
  117    89    16    20     5     1
  118    51    17    20     3     2
  119    38    17    21     3     2
  120    90    17    21     3     2
  121    94    17    21     4     2
  122    57    17    18     3     1
  123     4    17    22     1     1
  124    30    18    20     1     1
  125    46    18    19     3     1
  126    86    18    21     3     2
  127    39    18    23     2     3
  128    31    18    20     2     1
  129    19    18    20     2     1
  130     6    19    21     3     2
  131    17    19    22     1     2
  132    34    19    20     6     2
  133    86    19    21     4     2
  134    78    19    22     2     3
  135     3    19    20     6     1
  136    13    19    23     5     1
  137   101    20    22     2     1
  138    77    20    23     3     1
  139    53    20    24     3     1
  140    27    20    21     6     2
  141    94    20    22     4     2
  142    38    20    24     1     1
  143    88    21    24     5     2
  144    42    21    23     3     2
  145    97    21    25     1     1
  146    88    21    23     3     2
  147    39    21    26     2     1
  148     6    21    25     6     2
  149    48    21    22     6     1
  150    65    21    26     6     2
  151    56    21    23     6     2
  152    88    21    22     4     3
  153    83    22    25     5     2
  154    27    22    27     5     1
  155    38    22    27     5     2
  156    64    22    24     6     2
  157    97    22    24     2     2
  158    68    22    27     1     2
  159    79    22    25     3     1
  160    98    22    26     6     1
  161    57    22    24     4     1
  162    14    22    27     2     2
  163    44    22    25     4     1
  164    97    23    24     2     1
  165    20    23    24     6     1
  166    42    23    25     1     2
  167    76    23    24     4     3
  168    99    23    24     3     1
  169    90    23    27     1     1
  170    38    23    24     1     2
  171    93    23    26     4     2
  172    47    24    28     2     1
  173    25    24    28     5     3
  174    16    24    27     3     2
  175    15    24    25     5     3
  176    99    24    28     6     1
  177    95    24    27     2     1
  178    62    25    26     4     1
  179    89    25    29     4     1
  180    37    25    26     6     1
  181    94    25    29     5     1
  182    29    25    27     5     3
  183    14    25    26     1     2
  184    20    25    29     3     1
  185    90    25    30     2     2
  186    75    25    28     3     1
  187    15    25    28     2     3
  188    32    26    29     6     2
  189    44    26    29     6     1
  190    14    26    27     2     1
  191    44    26    29     6     1
  192    36    26    27     2     3
  193    44    26    31     5     2
  194    16    26    30     3     2
  195    96    27    28     3     2
  196    34    27    29     2     3
  197    78    27    29     6     1
  198    22    27    29     4     3
  199    44    27    32     6     1
  200    54    27    30     3     1
  201    71    27    31     6     2
  202    30    27    28     5     2
  203    33    27    30     2     3
  204    86    28    31     2     3
  205    73    28    32     1     1
  206    57    28    32     2     1
  207    89    28    30     2     2
  208    31    28    29     1     2
  209    62    28    29     5     1
  210    82    28    30     2     2
  211    74    29    33     6     1
  212    45    29    32     3     1
  213    13    29    32     3     2
  214    85    29    33     6     1
  215    69    29    31     2     1
  216    79    29    34     4     1
  217    95    29    30     6     2
  218    78    29    34     1     3
  219    86    30    35     5     3
  220    36    30    31     5     1
  221    93    30    33     4     2
  222    88    30    34     4     3
  223    48    30    35     6     1
  224    85    30    31     5     3
  225    36    30    31     5     3
  226     9    30    33     6     2
  227    63    30    32     4     3
  228    32    30    34     5     3
  229    20    31    32     4     2
  230    61    31    33     6     1
  231    64    31    32     2     2
  232    85    31    32     5     3
  233    73    31    32     1     3
  234     4    31    35     6     1
  235     6    31    34     2     1
  236     2    31    32     6     1
  237     8    31    35     6     2
  238    31    31    33     1     2
  239    21    32    37     2     3
  240    34    32    36     3     2
  241    76    32    37     3     1
  242     6    32    36     5     1
  243    27    32    36     6     2
  244    52    32    36     6     2
  245    46    32    35     1     3
  246    35    33    38     1     3
  247    45    33    34     5     1
  248    46    33    34     1     1
  249    41    33    36     2     1
  250    52    33    36     3     2
  251    37    33    37     1     1
  252    88    34    35     4     3
  253     3    34    37     2     2
  254    30    34    38     3     1
  255    95    34    35     6     2
  256    54    34    35     6     2
  257    87    34    37     2     2
  258    53    34    36     2     1
  259    79    34    37     2     2
  260    50    34    36     1     3
  261    63    34    38     6     2
  262    96    34    36     4     2
  263    24    35    37     1     1
  264    60    35    40     4     3
  265    94    35    38     5     1
  266    15    35    39     4     1
  267    91    35    40     6     1
  268    56    35    40     3     1
  269    32    35    37     4     2
  270    38    35    37     1     3
  271    46    35    40     6     2
  272    69    35    36     3     1
  273    85    36    39     1     3
  274    63    36    39     6     2
  275    83    36    40     5     3
  276    20    36    41     1     1
  277    22    36    41     1     1
  278    26    36    41     3     1
  279    91    36    40     2     3
  280    49    36    38     6     1
  281    31    37    40     4     3
  282    24    37    39     6     2
  283    90    37    39     2     3
  284    55    37    42     5     2
  285    95    38    42     2     2
  286    96    38    41     3     2
  287    59    38    39     3     2
  288    39    38    43     6     1
  289    41    38    39     1     3
  290    22    38    41     5     1
  291    66    38    41     5     3
  292    37    38    40     3     1
