DATASET = ORTEC Early VeRoLog 2019
NAME = Instance 15

DAYS = 55
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1225

TRUCK_DISTANCE_COST = 10000
TRUCK_DAY_COST = 10000
TRUCK_COST = 10
TECHNICIAN_DISTANCE_COST = 1000
TECHNICIAN_DAY_COST = 10000
TECHNICIAN_COST = 100000

MACHINES = 7
    1     4   120
    2     7   720
    3     4   905
    4     4   385
    5     4   325
    6     6   215
    7     8   240

LOCATIONS = 174
    1   645   346
    2   731   588
    3   542    36
    4   258   322
    5   550    24
    6   306   478
    7   343   265
    8   441   352
    9   326   458
   10   205   221
   11   278   371
   12   338   414
   13   357   232
   14   672   529
   15   494   682
   16   212   313
   17   338   336
   18   517   346
   19   671   435
   20    49   238
   21   559   345
   22   681   462
   23   562   344
   24   704   409
   25   265   498
   26   504    51
   27   692   683
   28   214   345
   29   681   532
   30    51   210
   31   674   616
   32   477   666
   33   309   471
   34   416   216
   35   687   542
   36   379   427
   37   358   369
   38   519   308
   39   362   434
   40   538   469
   41   483    24
   42   666   698
   43   537   393
   44   341   392
   45   300   348
   46   230   410
   47   644   345
   48   541   271
   49    61   216
   50   399   379
   51   487   442
   52   490    19
   53   295   237
   54   323   199
   55   335   469
   56   458   715
   57   375   206
   58   486     2
   59   736   433
   60   680   577
   61   523   252
   62   261   306
   63   208   344
   64   591   438
   65   310   424
   66   402   772
   67   464   328
   68   305   594
   69   423   411
   70   308   472
   71   445   726
   72   593   568
   73   184   379
   74   458   672
   75   267   386
   76   310   473
   77   513   350
   78   262   476
   79   552     0
   80   232   318
   81   434   275
   82   458   148
   83   300   380
   84   506   356
   85   532    46
   86   224   225
   87   185   389
   88   556   545
   89   426   210
   90   200   382
   91   558   200
   92   297   619
   93   630   747
   94   521   347
   95   398   291
   96   263   468
   97   508    79
   98   547   499
   99   186   375
  100   569   735
  101   416   433
  102   577   412
  103   765   585
  104   376   429
  105   458   440
  106   585   464
  107   298   341
  108   379   426
  109   389   413
  110   223   400
  111   435   247
  112   442   340
  113   418   409
  114   263   297
  115   393   436
  116   538   186
  117   417   405
  118   323   467
  119   327   376
  120   670   337
  121   192   384
  122   606   580
  123   318   466
  124   199   336
  125   526   557
  126   365   387
  127   530   309
  128   411   371
  129   567   509
  130   374   394
  131   374   415
  132   263   453
  133   399   416
  134   731   588
  135   331   507
  136   258   326
  137   734   425
  138   494   192
  139   447   674
  140   362   395
  141   416   408
  142   627   399
  143   378   426
  144   297   619
  145   518   657
  146   602   327
  147   494   356
  148   497   152
  149   271   304
  150   477   374
  151   358   330
  152   394   178
  153   536   429
  154   314   423
  155   347   365
  156   481   466
  157   436   215
  158    98   188
  159   516   339
  160   423   638
  161   123   164
  162   286   385
  163   520    24
  164   344   422
  165   265   375
  166   602   543
  167   664   359
  168   288   509
  169   266   527
  170    38   201
  171   272   541
  172   389   403
  173   375   371
  174   547   710

REQUESTS = 450
    1    32     1     4     2     1
    2   128     1     6     3     3
    3   133     1     4     6     3
    4   125     1     2     5     1
    5   111     1     6     4     1
    6    61     1     3     5     3
    7   141     2     4     6     1
    8    20     2     3     2     1
    9    24     2     3     3     3
   10   151     2     4     1     1
   11     2     2     3     7     2
   12    98     2     3     5     3
   13    95     2     7     5     2
   14    50     2     4     5     3
   15    94     2     6     6     2
   16    85     2     3     5     1
   17    81     3     8     7     2
   18   119     3     6     6     3
   19     5     3     4     1     3
   20   110     3     7     6     3
   21   129     3     4     5     1
   22    61     3     4     6     3
   23   106     3     6     4     2
   24   149     3     6     6     3
   25   100     3     7     2     2
   26    52     3     7     1     1
   27    79     3     8     2     1
   28   149     3     8     4     3
   29    44     3     8     7     2
   30    22     3     8     3     3
   31    16     4     6     1     2
   32    38     4     7     5     2
   33   135     4     9     7     1
   34   107     4     7     5     3
   35    61     4     6     7     1
   36    17     4     6     4     2
   37    85     4     7     4     3
   38    82     4     5     5     3
   39   139     4     9     4     3
   40    63     4     8     7     2
   41   137     4     5     5     3
   42    83     4     8     3     2
   43   106     5     9     3     1
   44   119     5     9     1     3
   45   121     5     7     5     1
   46   127     5     9     4     3
   47     8     5     7     1     1
   48    68     5     9     4     2
   49    93     5     8     6     2
   50    77     6     8     6     2
   51   111     6     7     6     2
   52    81     6     9     2     1
   53    87     6    11     2     2
   54   139     6    10     6     3
   55    58     6     9     3     2
   56    87     6    11     2     2
   57    87     6    11     1     1
   58    50     6    10     7     2
   59    53     6    10     5     3
   60    63     6     7     3     1
   61   144     7     8     4     2
   62    88     7     9     1     1
   63   142     7     9     3     2
   64     2     7    11     2     2
   65   104     7     9     3     1
   66   117     8    13     3     1
   67   109     8    11     3     3
   68    97     8    13     6     3
   69    61     8     9     7     2
   70     8     8    10     1     3
   71    48     8    10     7     1
   72   112     8    11     7     2
   73    16     9    11     7     1
   74   113     9    12     3     2
   75   142     9    14     6     3
   76    38     9    10     4     2
   77   143     9    10     2     2
   78   109     9    14     1     1
   79    76     9    14     4     2
   80    26     9    14     6     2
   81   112     9    11     5     1
   82    52    10    14     5     2
   83   117    10    13     1     1
   84    78    10    13     6     1
   85    78    10    12     4     1
   86    52    10    11     5     3
   87    51    10    13     7     2
   88    57    10    15     7     2
   89    13    10    11     6     3
   90    31    11    13     3     3
   91    64    11    15     5     3
   92    71    11    14     3     3
   93    42    11    12     1     1
   94    40    11    13     5     3
   95    45    11    14     7     2
   96    90    12    13     2     2
   97    71    12    16     1     1
   98    99    12    17     5     3
   99   147    12    16     2     2
  100    33    12    15     6     2
  101    62    12    16     3     2
  102   142    12    13     4     3
  103    35    12    13     7     1
  104   136    13    15     7     1
  105    14    13    14     4     1
  106   134    13    16     1     3
  107   142    13    16     4     2
  108    21    13    14     7     2
  109    79    13    17     1     2
  110    42    13    17     1     3
  111    39    13    16     2     2
  112    79    13    16     1     3
  113   150    13    18     7     2
  114    91    13    16     2     1
  115    41    14    19     1     3
  116   142    14    16     6     3
  117   107    14    15     4     1
  118    97    14    19     1     2
  119    75    14    18     2     2
  120    38    14    16     4     3
  121   117    14    17     5     1
  122   135    14    17     6     3
  123    69    14    17     5     2
  124   122    14    17     4     3
  125    18    14    17     5     3
  126   104    15    20     6     1
  127    46    15    20     3     2
  128    38    15    16     7     1
  129    52    15    16     2     1
  130     5    15    18     1     2
  131    11    15    20     2     1
