DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 17

DAYS = 25
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 2000

TRUCK_DISTANCE_COST = 100000
TRUCK_DAY_COST = 10000
TRUCK_COST = 100
TECHNICIAN_DISTANCE_COST = 10000
TECHNICIAN_DAY_COST = 100
TECHNICIAN_COST = 100

MACHINES = 4
    1     6   171
    2     7   702
    3     5   600
    4     7   854

LOCATIONS = 260
    1   534   320
    2   695   357
    3   513   710
    4   343   387
    5   156   314
    6   354   357
    7   557   464
    8   668   431
    9   527   363
   10   424   196
   11   258   480
   12   514   360
   13   308   251
   14   454   374
   15   244   329
   16   595   399
   17   347   451
   18   254   333
   19   506   701
   20   581   614
   21   699   357
   22   447   344
   23   389   403
   24   262   374
   25   716   449
   26   478   302
   27   123   164
   28   713   440
   29   523   135
   30   199   381
   31   636   691
   32   356   229
   33   727   680
   34   271   317
   35   472   530
   36   751   635
   37   463   557
   38   202   362
   39   555   769
   40   476   671
   41   559   519
   42   377   469
   43   550   346
   44   451   247
   45   720   698
   46   246   305
   47   226   342
   48   477   353
   49   255   325
   50   469   748
   51   236   414
   52   424   329
   53   256   470
   54   609   353
   55   432   174
   56   555   197
   57   230   337
   58   486   513
   59   522   350
   60   270   307
   61   182   382
   62   748   639
   63   313   468
   64   201   333
   65   237   412
   66   544   144
   67   297   473
   68   313   460
   69   765   699
   70   588   405
   71   456   318
   72   486   206
   73   451   368
   74   224   221
   75   244   351
   76   211   365
   77   230   333
   78   704   755
   79   678   402
   80   225   357
   81   556   744
   82   207   387
   83   301   473
   84   206   366
   85   309   262
   86   313   485
   87   534   259
   88   418   412
   89   533   534
   90   366   380
   91   477   374
   92   311   463
   93   680   761
   94   231   331
   95   387   450
   96   640   572
   97   164   364
   98   246   343
   99   534   298
  100   603   349
  101   299   491
  102   740   430
  103   671   735
  104   604   472
  105   287   512
  106   510    82
  107    73   192
  108   368   391
  109   410   275
  110   294   445
  111   492   703
  112   302   472
  113   483   233
  114   315   422
  115   261   442
  116   319   469
  117   696   475
  118   319   470
  119   273   451
  120   524   721
  121   229   302
  122   492   142
  123   232   406
  124   264   440
  125   439   222
  126   521    32
  127   169   373
  128   630   704
  129   408   376
  130   287   440
  131   666   448
  132   494   165
  133   497   734
  134   298   495
  135   659   564
  136   431   156
  137   401   271
  138   695   788
  139    42   204
  140   697   450
  141   497   349
  142   492   569
  143   299   502
  144   222   342
  145   668   449
  146   135   306
  147   295   310
  148   565   513
  149   424   215
  150   197   375
  151   352   229
  152   282   246
  153   261   488
  154   388   443
  155   244   322
  156   224   338
  157   639   399
  158   518    79
  159   304   559
  160   441   218
  161   231   359
  162   217   332
  163   231   359
  164   229   333
  165   227   326
  166   727   576
  167   217   345
  168   310   476
  169   183   376
  170   304   313
  171   245   339
  172   519   347
  173   548   346
  174   290   437
  175   186   368
  176   204   392
  177   231   437
  178   327   326
  179   356   235
  180   302   385
  181   262   472
  182   491   307
  183   713   436
  184   260   443
  185   507   313
  186   320   481
  187   357   576
  188   514   684
  189   292   441
  190   343   455
  191   613   684
  192   575   711
  193   419   186
  194   403   409
  195   516    86
  196   497   533
  197   627   336
  198   227   379
  199   157   311
  200   232   425
  201   295   266
  202   547   332
  203   420   216
  204   290   560
  205   488   179
  206   248   348
  207   269   419
  208   227   331
  209   481   231
  210   472   369
  211   707   679
  212   505   717
  213   205   320
  214   533   649
  215   316   471
  216   564    32
  217   409   356
  218   303   616
  219   556   686
  220   440   194
  221   684   454
  222   321   468
  223   518   321
  224   293   192
  225   451   249
  226   430   182
  227   212   310
  228   394   447
  229   527   353
  230   669   341
  231   712   649
  232   500   733
  233   720   698
  234   474   663
  235   447   199
  236   266   310
  237   288   509
  238   222   431
  239   396   416
  240   281   375
  241   276   537
  242   218   420
  243   100   305
  244   697   354
  245   163   329
  246   604   353
  247   415   435
  248   218   370
  249   689   577
  250   471   393
  251   300   348
  252   226   329
  253   467   198
  254   366   441
  255   681   485
  256   263   297
  257   350   240
  258   554   407
  259   435   174
  260   764   609

REQUESTS = 750
    1    16     1     4     3     2
    2   137     1     3     1     2
    3    29     1     5     2     2
    4    96     1     4     2     2
    5   216     1     3     2     1
    6   172     1     3     1     2
    7     3     1     4     1     2
    8    37     1     2     4     2
    9    71     1     4     4     1
   10   249     1     6     1     1
   11    38     1     3     4     1
   12    44     1     3     1     2
   13    38     1     5     2     1
   14   175     1     2     3     3
   15   159     1     5     1     1
   16   161     1     4     1     2
   17    18     1     3     3     1
   18   110     1     5     4     2
   19   100     1     3     1     1
   20   121     1     3     1     2
   21    96     1     5     4     2
   22    29     1     3     2     2
   23    97     1     5     2     2
   24   136     1     5     2     1
   25    51     1     5     2     2
   26   171     1     3     2     2
   27    84     1     6     3     3
   28   246     1     4     4     2
   29   131     1     6     2     1
   30   157     1     3     2     1
   31    37     1     4     1     2
   32    36     1     3     3     2
   33    91     1     2     3     2
   34    99     1     3     1     3
   35   203     1     4     3     1
   36   107     1     6     1     3
   37    43     1     6     3     3
   38    65     1     3     3     1
   39   172     1     5     3     2
   40   193     1     3     4     2
   41   248     1     5     4     2
   42    85     1     4     2     1
   43   120     1     5     1     2
   44   144     1     6     3     2
   45    97     1     3     2     2
   46    80     1     3     4     1
   47   131     1     3     3     3
   48    46     1     4     3     2
   49   180     1     3     2     2
   50   135     2     6     3     2
   51   102     2     7     2     2
   52   172     2     6     4     2
   53   115     2     5     2     1
   54    32     2     3     1     2
   55    42     2     7     1     1
   56   178     2     7     3     2
   57    21     2     3     3     2
   58    29     2     3     4     2
   59    80     2     7     3     2
   60    25     2     6     2     1
   61   206     2     4     4     2
   62   185     2     4     3     3
   63   237     2     7     4     1
   64   197     2     5     1     2
   65    86     2     3     3     3
   66   154     2     3     3     3
   67   136     2     5     1     3
   68   195     2     6     3     1
   69    82     2     7     4     1
   70    60     2     4     3     1
   71   203     2     4     3     1
   72    18     2     3     4     2
   73   162     2     3     1     2
   74    11     2     3     1     3
   75   224     2     6     2     2
   76   217     2     4     3     1
   77    53     2     4     3     3
   78    49     2     5     4     1
   79   228     2     7     4     1
   80    58     2     3     4     2
   81   209     2     6     3     1
   82    78     2     6     4     2
   83    41     2     5     1     2
   84    48     2     6     1     1
   85   116     3     6     3     1
   86     8     3     4     4     2
   87    93     3     5     3     1
   88   112     3     5     1     3
   89    91     3     8     2     1
   90     5     3     6     1     3
   91     8     3     8     1     1
   92   240     3     8     2     2
   93   221     3     8     2     1
   94   193     3     7     4     1
   95   161     3     7     1     1
   96   182     3     6     2     2
   97    13     3     7     2     2
   98   235     3     5     2     1
   99   239     3     4     4     2
  100    10     3     8     1     2
  101   248     3     7     4     1
  102   168     3     6     2     2
  103    90     3     8     2     2
  104    36     3     5     2     2
  105    41     3     6     1     2
  106   105     3     7     3     2
  107   213     3     5     1     1
  108    71     3     4     4     2
  109   237     3     7     2     1
  110   225     3     5     4     1
  111    13     3     7     4     1
  112   249     3     6     4     1
  113   150     3     4     4     1
  114    30     3     6     1     3
  115   225     3     6     2     2
  116   215     3     6     4     2
  117    82     3     4     3     3
  118   200     3     7     1     1
  119    93     3     8     2     2
  120    10     3     4     2     2
  121   204     3     5     2     1
  122   144     3     8     3     3
  123   140     3     5     2     2
  124   232     3     4     1     2
  125   224     3     6     2     1
  126   214     3     4     1     2
  127   137     4     8     4     2
  128    91     4     7     4     2
  129   137     4     9     3     2
  130   215     4     7     2     2
  131     7     4     8     4     1
  132   238     4     6     3     2
  133   119     4     8     4     1
  134   146     4     9     1     2
  135    91     4     6     4     1
  136    15     4     8     2     2
  137   218     4     9     1     1
  138    44     4     9     3     1
  139   182     4     6     2     1
  140   172     4     7     4     2
  141    29     4     6     2     2
  142     7     4     6     2     2
  143   223     4     8     2     1
  144   236     4     9     3     3
  145   244     4     7     3     3
  146   196     4     6     2     1
  147   121     4     6     4     2
  148    23     4     8     4     2
  149   162     4     7     3     1
  150    34     4     5     3     3
  151    18     4     7     2     2
  152   104     4     5     4     1
  153   225     4     8     1     1
  154   141     4     6     3     3
  155   147     5     6     2     2
  156   129     5     9     1     2
  157   130     5     9     3     1
  158   194     5     7     2     1
  159    63     5     7     1     2
  160   178     5     7     4     2
  161    72     5     9     4     2
  162   202     5     8     4     1
  163     5     5     8     1     1
  164   139     5     9     1     3
  165     9     5     9     1     3
  166   205     5    10     1     3
  167   133     5    10     1     3
  168     7     5     7     2     2
  169   223     5     8     2     2
  170    41     5     9     4     2
  171   229     5     6     2     1
  172   162     5     6     3     2
  173    41     5     7     1     1
  174   137     5     7     2     2
  175    83     5     6     4     1
  176    50     5     6     1     2
  177    59     5    10     2     1
  178   184     5     9     3     2
  179   182     5     7     3     2
  180    15     5     9     2     1
  181   131     5    10     1     2
  182   178     5     7     2     2
  183    22     5     8     2     2
  184    49     5     8     4     1
  185    31     5     6     4     2
  186   235     5     9     3     3
  187    96     5     6     3     3
  188    91     5     9     3     3
  189    43     5     9     1     3
  190    36     5    10     1     3
  191   149     5     6     1     2
  192    93     5     9     1     2
  193    53     5     8     3     2
  194   133     5    10     3     3
  195   202     5     6     3     1
  196    94     5    10     2     1
  197   177     5     8     3     2
  198   133     5     8     3     2
  199    90     5     8     3     3
  200   128     5     9     2     2
  201     2     5     7     3     1
  202    79     5     6     1     1
  203   119     6     7     3     2
  204   181     6    11     1     2
  205   193     6     7     4     2
  206    89     6     7     3     1
  207   217     6     7     4     1
  208    70     6     7     1     2
  209    94     6     7     1     3
  210    81     6     7     4     2
  211    79     6    11     1     1
  212   243     6     8     4     1
  213    82     6     7     4     1
  214    35     6     7     3     2
  215    30     6     8     3     1
  216   224     6    11     3     2
  217   204     6     8     3     2
  218   225     6    10     2     2
  219   161     6    11     2     2
  220   216     6    11     1     1
  221   181     6    10     4     1
  222   104     6     8     4     2
  223   232     6     7     1     2
  224    85     6     9     3     2
  225    48     6     8     4     2
  226   220     6    11     2     1
  227    61     6    10     2     1
  228   120     6    11     3     2
  229   176     6     9     2     2
  230    11     6     8     1     2
  231   100     6     7     2     2
  232    86     6     8     2     2
  233    98     6     8     3     3
  234   174     6     8     2     2
  235    68     6     9     1     1
  236   142     6     7     1     2
  237    51     6     7     3     2
  238    42     6    10     1     2
  239   118     6     7     4     2
  240   132     6     8     1     3
  241    70     6     8     3     2
  242    95     6    11     2     2
  243    16     6     7     1     1
  244   247     6     8     4     1
  245   166     7    10     1     1
  246   114     7     8     1     3
  247   213     7     8     1     2
  248    78     7    11     4     1
  249     5     7    11     2     2
  250   147     7    12     1     3
  251   223     7     8     1     1
  252   103     7     8     2     1
  253    54     7    10     1     3
  254   123     7     8     4     1
  255   151     7    12     1     3
  256    51     7     8     4     2
  257   234     7     8     3     3
  258   166     7     8     1     3
  259   202     7    11     1     1
  260     9     7    10     4     1
  261   198     7     8     2     1
  262   108     7     8     3     1
  263   163     7     9     4     2
  264    64     7     9     2     2
  265    26     7    12     3     3
  266    60     7    12     3     3
  267    55     7    11     2     2
  268    30     7     8     4     1
  269     2     7    10     3     3
  270    79     7    12     1     3
  271    45     7    10     4     2
  272    30     7     8     2     2
  273   162     7    10     3     1
  274    34     7    10     2     2
  275   141     7    10     4     2
  276   201     7    12     3     1
  277   188     7    11     1     2
  278   225     7    10     4     1
  279   208     7    12     2     1
  280    83     7     8     4     1
  281   143     7    10     1     3
  282     6     8    13     3     3
  283    76     8    10     4     2
  284    99     8     9     4     2
  285   163     8    13     1     3
  286     3     8    13     4     2
  287   251     8    10     3     2
  288   167     8    13     4     2
  289   225     8    13     2     1
  290   218     8    13     1     3
  291    74     8    13     1     2
  292    26     8    11     3     2
  293   226     8    10     2     1
  294    16     8     9     3     1
  295   120     8    12     4     2
  296    94     8     9     1     1
  297   243     8    12     3     3
  298   141     8    10     3     2
  299    72     8    12     1     1
  300   226     8    10     1     1
  301   173     8    10     1     2
  302    42     8    13     4     1
  303   183     8    13     3     1
  304    20     8    12     1     2
  305   239     8     9     2     2
  306   247     8    12     1     2
  307   204     8    10     2     2
  308   229     8    12     4     1
  309   160     8    11     1     2
  310    84     8    12     4     1
  311   229     8    12     3     1
  312    16     8     9     2     2
  313    79     8    13     3     2
  314   243     8    12     4     1
  315   190     8    13     1     3
  316   114     8     9     2     1
  317    54     8    12     4     2
  318   119     9    14     1     1
  319   188     9    12     2     2
  320   158     9    14     2     1
  321   232     9    12     1     1
