DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 8

DAYS = 35
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1030

TRUCK_DISTANCE_COST = 10000
TRUCK_DAY_COST = 100
TRUCK_COST = 100000
TECHNICIAN_DISTANCE_COST = 1000
TECHNICIAN_DAY_COST = 100
TECHNICIAN_COST = 1000

MACHINES = 5
    1     3   420
    2     5   705
    3     3   385
    4     8   255
    5     6   740

LOCATIONS = 116
    1   398   369
    2   230   339
    3   595   404
    4   384   346
    5   521   285
    6   404   151
    7   271   455
    8   198   381
    9   298   469
   10   109   259
   11   478   353
   12   389   472
   13   274   531
   14   492   142
   15   637   359
   16   415   410
   17   341   546
   18   591   552
   19   315   470
   20   486   182
   21   197   366
   22   331   316
   23   369   392
   24   348   366
   25   230   334
   26   312   591
   27    31   186
   28   478   371
   29   508   312
   30   422   412
   31   539   342
   32   399   416
   33   388   766
   34   608   557
   35   580   436
   36   655   572
   37   569   754
   38   209   345
   39   676   339
   40   485   519
   41   359   394
   42   307   386
   43   213   335
   44   233   381
   45   619   355
   46   204   390
   47   161   311
   48   664   381
   49   470   375
   50   597   326
   51   664   715
   52   213   379
   53   473   266
   54   560    37
   55   655   451
   56   265   470
   57   437   508
   58   725   425
   59   318   474
   60   520   638
   61   539   431
   62   491   307
   63   305   558
   64   464   680
   65   493   299
   66   261   490
   67   466   197
   68   621   386
   69   402   410
   70   363   554
   71   261   422
   72   352   370
   73   192   374
   74   773   689
   75   231   339
   76   348   233
   77   576   751
   78   582   173
   79   434   171
   80   205   365
   81   348   404
   82   329   314
   83   357   231
   84   641   477
   85   129   220
   86   645   541
   87   337   478
   88   292   241
   89   262   474
   90   352   374
   91   480   275
   92   460   405
   93   686   602
   94   264   311
   95   355   389
   96    49   214
   97   524   329
   98   452   683
   99   378   367
  100   257   353
  101   362   377
  102   679   698
  103   569   320
  104   416   436
  105   493   700
  106   514   317
  107   161   314
  108   306   453
  109   193   389
  110   662   685
  111   399   261
  112   633   410
  113   359   234
  114   497   719
  115   217   338
  116   400   417

REQUESTS = 300
    1    49     1     5     1     3
    2    95     1     6     1     3
    3    35     1     3     3     2
    4    54     1     2     3     2
    5   101     1     2     5     2
    6    28     1     4     3     3
    7    37     1     3     1     3
    8    40     1     2     3     3
    9    74     1     4     4     2
   10    73     1     5     1     2
   11    97     1     2     2     1
   12    67     1     2     2     2
   13    90     1     3     4     1
   14    13     2     3     3     2
   15    30     2     3     4     2
   16    91     2     5     3     2
   17    31     2     7     1     1
   18    86     2     4     1     3
   19    70     2     6     3     3
   20    74     2     4     2     1
   21    54     2     4     3     2
   22    50     2     5     5     1
   23    65     2     4     3     3
   24    72     2     3     4     2
   25    90     3     8     5     3
   26    44     3     7     5     3
   27     5     3     7     3     1
   28    72     3     6     5     2
   29     7     3     5     1     1
   30    21     3     5     4     1
   31    93     3     6     2     2
   32    21     3     4     1     2
   33    68     3     8     4     2
   34    43     3     5     4     1
   35    67     4     6     2     3
   36    97     4     5     2     2
   37     6     4     6     3     1
   38    94     4     6     5     3
   39    16     4     7     4     1
   40    86     4     8     1     2
   41    99     4     6     4     2
   42    77     4     7     3     1
   43     8     4     6     2     2
   44     3     4     9     2     3
   45     3     4     9     3     3
   46    81     4     5     5     1
   47    48     4     6     5     1
