DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 4

DAYS = 45
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1040

TRUCK_DISTANCE_COST = 10
TRUCK_DAY_COST = 10000
TRUCK_COST = 100
TECHNICIAN_DISTANCE_COST = 10
TECHNICIAN_DAY_COST = 10000
TECHNICIAN_COST = 10000

MACHINES = 6
    1     3   625
    2     4   520
    3     4   125
    4     7   345
    5     8   215
    6     7   710

LOCATIONS = 217
    1   320   489
    2   480   363
    3   293   467
    4   696   357
    5   293   593
    6   700   354
    7   278   419
    8   549   425
    9   180   381
   10   521    99
   11   205   367
   12   490   310
   13   699   596
   14   577   396
   15   601   351
   16   268   398
   17   251   367
   18   301   420
   19   713   440
   20   263   473
   21   281   375
   22   457   145
   23   578   170
   24   286   251
   25   537   639
   26   288   438
   27   200   375
   28   413   382
   29   467   716
   30   540   648
   31   476    28
   32   398   424
   33   288   454
   34   216   308
   35   473   356
   36   530   353
   37   645   576
   38   216   338
   39   306   446
   40   550    24
   41   328   454
   42   629   606
   43   221   397
   44   258   444
   45   473   356
   46   668   342
   47   343   222
   48   372   566
   49   386   580
   50   215   424
   51   364   373
   52   306   328
   53   343   484
   54   653   636
   55   516   339
   56   534   359
   57    48   216
   58   608   654
   59   391   567
   60   300   492
   61   188   387
   62   276   372
   63   507   710
   64   233   352
   65   475   375
   66   542    35
   67   286   249
   68   480   133
   69   466   265
   70   557   515
   71   579   620
   72   517   357
   73   623   771
   74   217   345
   75   315   470
   76   414   279
   77   270   358
   78   199   363
   79   661   513
   80   245   318
   81   485   498
   82   527   766
   83   482    20
   84   552   150
   85   483   360
   86   378   329
   87   728   424
   88   305   491
   89   421   189
   90   276   321
   91   255   470
   92   676   726
   93   397   377
   94   246   339
   95   206   367
   96   681   581
   97   305   500
   98   467   198
   99   667   670
  100   259   468
  101   388   766
  102   485     1
  103   312   467
  104   354   222
  105   716   697
  106   620   694
  107   318   470
  108   329   454
  109   371   371
  110   303   550
  111   187   383
  112   340   427
  113   492    36
  114   243   327
  115   587   442
  116   229   377
  117   271   329
  118   417   407
  119   651   499
  120   740   467
  121   391   568
  122   259   354
  123   391   175
  124   424   397
  125   266   451
  126   204   314
  127   447   246
  128   520   255
  129   504   298
  130   273   484
  131   735   750
  132   344   403
  133   643   764
  134   225   327
  135   508   201
  136   479   376
  137   324   507
  138   460   313
  139   282   527
  140   257   461
  141   238   326
  142   372   238
  143   744   455
  144   549   743
  145   524   721
  146   548   120
  147   233   350
  148   367   443
  149   676   727
  150   236   378
  151   442   295
  152    97   166
  153   443   669
  154   510   307
  155   294   342
  156   231   416
  157    37   184
  158   565   775
  159   314   487
  160   273   330
  161   265   371
  162   232   329
  163   330   315
  164   322   466
  165   440   217
  166   548    40
  167   258   351
  168   174   224
  169   735   589
  170   507   306
  171   407   278
  172   375   445
  173   309   468
  174   708   345
  175   380   463
  176   256   342
  177   234   327
  178   341   404
  179   498   713
  180   523   282
  181   311   275
  182   200   307
  183   608   358
  184   590   399
  185   661   346
  186   659   490
  187   324   198
  188   415   262
  189   471   342
  190   485   739
  191   265   371
  192   576   441
  193   389   399
  194   466   201
  195   277   489
  196   312   470
  197   556   194
  198   232   340
  199   299   444
  200   557   117
  201   260   476
  202   403   346
  203   377   398
  204   521    32
  205   720   446
  206   203   380
  207   547   109
  208   381   585
  209   376   397
  210   693   593
  211   363   255
  212   221   224
  213   386   386
  214   559   137
  215   326   460
  216   610   353
  217   607   352

REQUESTS = 600
    1   163     1     3     6     2
    2   198     1     2     5     2
    3   173     1     4     1     3
    4   193     1     3     1     2
    5    35     1     3     5     2
    6   125     1     5     5     1
    7    87     1     5     5     1
    8   150     1     6     6     1
    9    51     2     5     2     1
   10    16     2     6     5     1
   11   154     2     6     5     2
   12   194     2     6     5     2
   13   181     2     7     5     2
   14     5     2     4     6     2
   15   196     2     5     2     1
   16    35     2     6     5     1
   17    42     2     4     4     2
   18    43     2     3     5     1
   19    44     2     5     1     2
   20   103     2     4     4     1
   21   168     2     3     4     1
   22    79     2     4     1     1
   23    20     2     6     4     1
   24   173     2     3     5     2
   25   108     3     6     4     2
   26    26     3     5     2     1
   27    41     3     5     6     2
   28   113     3     7     3     3
   29   128     3     4     5     2
   30   107     3     6     5     1
   31   171     3     4     4     1
   32   140     3     5     6     2
   33    31     3     4     6     2
   34   102     3     4     4     1
   35   178     3     7     6     2
   36    15     3     8     3     2
   37   160     3     4     4     1
   38    30     3     7     4     1
   39    12     3     8     3     1
   40    16     3     7     4     1
   41    90     4     7     5     1
   42     9     4     6     3     2
   43   182     4     7     3     3
   44    12     4     8     1     3
   45   124     4     5     2     3
   46   101     4     5     2     1
   47    43     4     5     6     2
   48   193     4     5     1     1
   49    67     4     7     1     2
   50   150     4     8     1     2
   51   197     4     8     5     1
   52   201     4     6     4     2
   53   178     4     6     3     2
   54    42     4     6     2     3
   55    35     4     9     6     1
   56    91     4     7     3     2
   57   198     4     6     3     1
   58   194     4     7     2     1
   59   147     5     6     3     1
   60   160     5     9     6     2
   61   172     5    10     5     1
   62   184     5     6     1     1
   63    29     5     6     3     2
   64    51     5     8     6     1
   65    79     5     7     4     2
   66   160     5     9     2     2
   67   173     5     7     6     1
   68    27     5     7     2     2
   69   180     6     8     3     3
   70    89     6     7     3     3
   71    89     6    10     2     2
   72    13     6    11     5     1
   73    41     6    11     6     2
   74    47     6     7     2     2
   75   119     6     7     2     2
   76    65     6     8     5     1
   77   171     6    10     6     2
   78   147     6     7     4     1
   79    54     6    11     4     1
   80    67     6     7     4     1
   81   159     6    11     2     1
   82   101     6     7     2     2
   83   198     6     8     5     2
   84    36     6     8     5     2
   85   140     7    11     3     2
   86    40     7    12     5     1
   87   133     7    10     3     2
   88    24     7    10     3     3
   89   133     7    11     1     1
   90   113     7     9     5     1
   91    72     7    10     3     3
   92    57     7    10     4     1
   93   145     7    11     3     2
   94   110     7    10     1     3
   95    79     7    12     3     3
