DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 16

DAYS = 15
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1170

TRUCK_DISTANCE_COST = 100
TRUCK_DAY_COST = 100000
TRUCK_COST = 100
TECHNICIAN_DISTANCE_COST = 1000
TECHNICIAN_DAY_COST = 10000
TECHNICIAN_COST = 10

MACHINES = 3
    1     5   635
    2     3   445
    3     6    90

LOCATIONS = 205
    1   357   553
    2   322   476
    3   507     0
    4   764   699
    5   642   476
    6   192   211
    7   471   666
    8   379   271
    9   524    14
   10   333   455
   11   317   389
   12   160   164
   13   314   476
   14   256   308
   15   203   323
   16   368   399
   17   299   618
   18   518   761
   19   179   335
   20   591   406
   21   181   355
   22    51   201
   23   436   261
   24   642   691
   25   613   571
   26   240   328
   27   286   492
   28   361   379
   29   198   387
   30   622   339
   31   264   472
   32   417   407
   33   436   205
   34   275   462
   35   655   755
   36   537   431
   37   657   396
   38   447   629
   39   307   422
   40   550     2
   41   618   338
   42   426   328
   43   393   582
   44   209   388
   45   575   416
   46   347   454
   47   356   392
   48   646   696
   49   220   337
   50   367   442
   51   365   387
   52   508   313
   53   604   444
   54   288   509
   55   724   572
   56   645   467
   57   271   450
   58   367   382
   59   328   461
   60   501   716
   61   258   326
   62   309   463
   63   119   278
   64   643   475
   65   284   546
   66   293   595
   67   322   295
   68   471   202
   69   519   239
   70   466   376
   71   304   313
   72   618   612
   73   513   327
   74   243   418
   75   442   466
   76   270   299
   77   619   364
   78   286   366
   79   308   475
   80   517   318
   81   592   352
   82   610   711
   83   290   354
   84   185   389
   85   180   341
   86   200   386
   87   641   677
   88   563   693
   89   384   346
   90   326   270
   91   182   383
   92   227   379
   93   281   366
   94   579   173
   95   379   551
   96   543   463
   97   422   218
   98   325   461
   99   207   256
  100   618   612
  101   239   411
  102   497   349
  103   703   394
  104    93   167
  105   250   364
  106   205   288
  107    49   215
  108   182   380
  109   326   466
  110   486   227
  111   470   206
  112   440   203
  113   207   365
  114   231   363
  115   254   400
  116   492   302
  117   577   739
  118   514    17
  119   668   522
  120   473   376
  121   672   661
  122   287   641
  123   730   584
  124   493    57
  125   119   278
  126   357   240
  127   507   713
  128   242   365
  129   696   500
  130   604   400
  131   197   376
  132   420   267
  133   268   398
  134   611   352
  135   577   434
  136   578   444
  137   263   235
  138   544   125
  139   701   557
  140   224   417
  141   208   339
  142   374   393
  143   321   524
  144   221   354
  145   742   450
  146   268   384
  147   312   623
  148   304   490
  149    55   212
  150   276   560
  151   267   490
  152   359   392
  153   488   746
  154   147   334
  155   572   321
  156   439   465
  157   735   424
  158   212   335
  159   478   296
  160   226   416
  161   399   405
  162   536   357
  163   455   197
  164   304   468
  165   267   479
  166   573   166
  167   333   458
  168   501    76
  169   558    38
  170   263   507
  171   734   596
  172   658   723
  173   618   722
  174   335   513
  175   602   514
  176   471   205
  177   544   464
  178   464   439
  179   623   643
  180   638   517
  181   720   446
  182   273   538
  183   226   326
  184   192   394
  185   301   241
  186   612   383
  187   548   501
  188   275   365
  189   232   339
  190   337   601
  191   462   454
  192   392   303
  193   398   369
  194   287   476
  195   488     2
  196   237   329
  197   575   361
  198   280   448
  199   232   318
  200   447   370
  201   362   404
  202   397   412
  203   677   500
  204   314   474
  205   421   282

REQUESTS = 600
