DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 2

DAYS = 25
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1350

TRUCK_DISTANCE_COST = 10
TRUCK_DAY_COST = 100000
TRUCK_COST = 1000
TECHNICIAN_DISTANCE_COST = 100000
TECHNICIAN_DAY_COST = 1000
TECHNICIAN_COST = 100

MACHINES = 4
    1     8   815
    2     4   945
    3     5   695
    4     3    35

LOCATIONS = 112
    1   273   306
    2   602   353
    3   676   532
    4   320   270
    5   353   253
    6   198   378
    7   493   151
    8   418   279
    9   319   450
   10   352   507
   11   370   448
   12   368   391
   13   499   715
   14   305   492
   15   729   685
   16   316   464
   17   401   423
   18   335   450
   19   340   282
   20   354   576
   21   392   386
   22   604   355
   23   416   402
   24   311   456
   25   718   641
   26   193   387
   27   260   403
   28   334   449
   29   435   363
   30   379   400
   31   316   473
   32   534   291
   33   522   360
   34   296   495
   35   276   450
   36   502   692
   37   466   416
   38   231   324
   39   320   467
   40   489   610
   41   674   616
   42   346   365
   43   468   453
   44   183   310
   45   423   331
   46   545   425
   47   246   339
   48   547   638
   49   536   644
   50   229   226
   51   239   340
   52   227   351
   53   620   345
   54   297   464
   55   536   363
   56   427   331
   57   265   456
   58   247   336
   59   473   205
   60   772   619
   61   517   340
   62   477   669
   63   569   480
   64   548   713
   65    26   219
   66   312   492
   67   299   502
   68   305   560
   69   566   213
   70   224   342
   71   457   369
   72   358   570
   73   752   706
   74   377   432
   75   519    64
   76   216   343
   77   372   359
   78   395   448
   79   466   197
   80   266   210
   81   709   439
   82   501    76
   83   583   353
   84   277   489
   85   368   451
   86   207   365
   87   577   384
   88   547   121
   89   594   404
   90   671   711
   91   499   319
   92   310   452
   93   468   198
   94   304   470
   95   212   323
   96   547    29
   97   251   374
   98   208   363
   99   264   308
  100   530   523
  101   376   409
  102   314   319
  103   541   759
  104   573   593
  105   330   515
  106   258   324
  107   307   313
  108   236   414
  109   239   411
  110   754   600
  111   502   357
  112   163   364

REQUESTS = 300
    1    48     1     4     3     2
    2    89     1     2     3     3
    3    59     1     5     2     3
    4     3     1     3     3     1
    5     3     1     2     2     3
    6    92     1     6     4     2
    7     2     1     6     1     2
    8     7     1     5     2     1
    9     5     1     6     3     3
   10    83     1     2     4     2
   11    47     1     2     1     1
   12    41     1     2     4     2
   13     2     1     5     4     2
   14    38     1     4     2     2
   15    18     1     2     1     1
   16    33     2     5     3     1
   17    30     2     3     1     2
   18     9     2     6     1     2
   19    81     2     3     4     1
   20    76     2     5     2     3
   21    54     2     6     3     2
   22    61     2     3     4     1
   23    45     2     7     1     1
   24    96     2     4     4     2
   25    77     2     3     1     1
   26    51     2     7     1     2
   27    29     2     3     1     2
   28    48     2     5     1     1
   29    62     2     6     1     2
   30    28     2     4     2     2
   31    69     2     6     4     3
   32    80     2     3     3     1
   33    88     2     3     2     3
   34    78     2     4     2     2
   35    57     2     6     2     1
   36    95     2     6     4     2
   37    99     2     5     2     2
   38    43     2     7     2     3
   39    23     3     7     3     1
   40    31     3     7     4     1
   41    25     3     6     2     3
   42    36     3     8     2     1
   43    88     3     8     2     3
   44    74     3     4     2     2
   45    55     3     5     2     1
   46    90     3     7     4     2
   47    94     3     7     2     2
   48    72     3     4     4     1
   49    74     3     8     1     1
   50    36     3     6     3     3
   51    39     4     6     3     3
   52     6     4     8     2     1
   53    49     4     6     4     3
   54    95     4     9     3     3
   55    75     4     9     3     1
   56    34     4     5     1     2
   57    56     4     7     1     1
   58    77     4     7     2     1
   59    87     4     9     3     3
   60    55     4     8     1     2
   61     6     4     8     1     2
   62    87     4     8     1     1
   63    48     4     5     3     2
   64    83     4     5     3     2
   65    42     4     8     4     2
   66    56     4     5     3     1
   67    21     5     6     2     3
   68    90     5     9     2     2
   69    79     5     9     3     3
   70    63     5     7     4     2
   71    64     5     6     1     1
   72     5     5     7     1     2
   73     4     5     7     2     1
   74    93     5     7     3     3
   75    85     5    10     3     1
   76    35     5     8     3     3
   77    75     5     9     4     1
   78    91     5     7     1     2
   79    70     5    10     3     2
   80    22     5    10     2     3
   81    52     5     7     2     2
   82    68     5    10     2     3
   83    64     5    10     1     2
   84    59     5     7     1     1
   85    28     5     7     1     2
   86    17     5     8     1     1
   87    11     5     6     4     3
   88    39     5    10     3     2
   89    43     5     6     3     2
   90    77     6     7     4     1
   91    66     6     9     2     3
   92    14     6    10     4     1
   93    35     6     9     3     1
   94    54     6     9     3     1
   95    29     6     7     2     3
   96    58     6    10     4     3
   97    61     6     8     1     1
   98    27     6    11     4     2
   99    77     6     8     1     2
  100    16     6     9     1     2
  101    81     6     7     4     3
  102    53     6     9     1     1
  103    33     6    10     2     3
  104    86     6     9     2     3
  105    66     6     8     4     1
  106    75     6    11     1     2
  107     7     7    11     4     1
  108    80     7    12     1     2
  109     3     7    12     3     2
  110    43     7     9     4     3
  111    99     7    10     2     2
  112    48     7    11     4     3
  113    85     7     9     4     2
  114    25     7     9     2     2
  115    57     7     8     4     1
  116    42     7     9     4     3
  117    39     7    11     3     1
  118    57     7    11     3     1
  119    94     7    11     4     2
  120    76     7    10     1     1
  121    18     7     8     4     3
  122    32     7     8     4     2
  123    17     7    12     3     3
  124     9     7     9     2     3
  125    25     7    12     1     2
  126    25     7    10     2     1
  127    56     8    10     3     2
  128    65     8    10     2     2
  129    79     8     9     4     3
  130    44     8    10     3     1
  131    83     8     9     2     1
  132    94     8    11     2     2
  133    85     8    12     3     3
  134    74     8    11     2     2
  135    29     8    11     4     3
  136    92     8    10     1     2
  137    16     8    13     2     3
  138    24     8     9     2     2
  139     4     8    13     2     2
  140    54     8    13     4     2
