DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 10

DAYS = 55
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 950

TRUCK_DISTANCE_COST = 10
TRUCK_DAY_COST = 10000
TRUCK_COST = 100000
TECHNICIAN_DISTANCE_COST = 1000
TECHNICIAN_DAY_COST = 10000
TECHNICIAN_COST = 100000

MACHINES = 7
    1     3   880
    2     6   535
    3     8   950
    4     6    90
    5     4   450
    6     7   145
    7     7   565

LOCATIONS = 220
    1   396   413
    2   282   496
    3   495   572
    4   263   484
    5   387   347
    6   370   432
    7   536   236
    8   681   421
    9   340   282
   10   239   411
   11   319   489
   12   582   686
   13   335   239
   14   563   386
   15   493   216
   16   352   512
   17   288   643
   18    40   198
   19   705   650
   20   675   653
   21   459   372
   22   310   460
   23   514   711
   24   596   405
   25   279   367
   26   113   259
   27   205   221
   28   512   685
   29   550    37
   30   313   386
   31   197   374
   32   360   399
   33   372   449
   34   190   382
   35   521   346
   36   437   195
   37   231   428
   38    97   139
   39   279   571
   40   445   432
   41   391   568
   42   352   325
   43   376   373
   44   309   580
   45   254   457
   46   426   194
   47   308   274
   48   209   340
   49   343   613
   50   441   191
   51   287   609
   52   414   410
   53   211   380
   54   497   319
   55   391   398
   56   531   299
   57   308   455
   58   192   384
   59   159   356
   60   276   302
   61   229   333
   62   261   497
   63   181   337
   64   348   404
   65   502    40
   66   192   392
   67   328   309
   68   383   345
   69   367   382
   70   196   381
   71   395   380
   72   314   475
   73   517   311
   74   627   614
   75   488   139
   76   178   366
   77   322   470
   78   489    13
   79   277   369
   80   361   554
   81   708   656
   82   723   447
   83   728   691
   84   734   591
   85   302   590
   86   547   429
   87   518    65
   88   187   382
   89   410   357
   90   250   353
   91   534   642
   92   487   143
   93   259   322
   94   397   377
   95   666   718
   96   441   402
   97   372   366
   98   588   403
   99   355   510
  100   477   662
  101   535   262
  102   275   516
  103   307   313
  104   639   702
  105   764   700
  106   330   517
  107   525   304
  108   207   321
  109   365   382
  110   393   378
  111   392   470
  112   759   661
  113   437   428
  114   343   550
  115   547   726
  116   441   358
  117   389   443
  118   233   378
  119   300   326
  120   528   364
  121   200   388
  122   263   426
  123   266   403
  124   231   404
  125   550     2
  126   521   347
  127   414   276
  128   553   438
  129   694   356
  130   458   182
  131   289   441
  132   394   569
  133   309   458
  134   385   565
  135   306   348
  136   376   182
  137   212   362
  138   193   387
  139   431   403
  140   665   495
  141   456   365
  142   269   399
  143   249   375
  144   261   473
  145   698   773
  146   267   367
  147   344   368
  148   217   319
  149   355   610
  150   769   620
  151   364   458
  152   607   653
  153   297   467
  154   526   557
  155   252   228
  156   321   490
  157   374   374
  158   201   356
  159   473   216
  160   515   141
  161   556    40
  162   341   320
  163   375   407
  164   334   455
  165   594   400
  166   187   393
  167   678   474
  168   210   337
  169   355   299
  170   449   369
  171   224   338
  172   677   770
  173   524    42
  174   569   511
  175   317   467
  176   447   197
  177   535   646
  178   693   769
  179   496   185
  180   596   590
  181   426   402
  182   546   715
  183   435   205
  184   428   506
  185   456   355
  186   325   466
  187   353   230
  188   247   338
  189   494   192
  190   275   512
  191   242   339
  192   640   573
  193   458   148
  194   323   467
  195   529   324
  196   329   460
  197   333   465
  198   675   746
  199   727   752
  200   451   372
  201   617   593
  202   186   373
  203   701   709
  204   177   379
  205   109   203
  206   264   472
  207   239   412
  208   206   290
  209   533   356
  210   666   725
  211   473   576
  212   301   246
  213   266   476
  214   234   328
  215   751   635
  216   348   438
  217   697   354
  218   187   279
  219   594   404
  220   261   473

REQUESTS = 600
    1    40     1     2     7     2
    2    73     1     4     6     2
    3   163     1     2     6     2
    4   134     1     6     2     3
    5    33     1     3     6     1
    6    48     1     6     1     2
    7   150     1     5     3     2
    8   103     1     4     2     2
    9   136     2     3     5     3
   10   109     2     6     4     3
   11   117     2     7     7     2
   12    28     2     7     4     2
   13    32     2     6     7     2
   14    18     2     6     1     2
   15   128     2     3     1     2
   16    86     2     7     3     1
   17   139     2     4     6     1
   18   113     2     4     6     1
   19   200     2     3     1     2
   20   198     2     4     6     1
   21    36     2     6     5     3
   22   186     2     3     5     1
   23   199     2     3     3     2
   24   133     2     7     7     2
   25   131     2     4     4     2
   26   133     3     6     3     2
   27    63     3     4     4     1
   28    81     3     8     4     2
   29    87     3     8     5     3
   30    47     3     7     6     2
   31   127     3     5     1     2
   32    83     3     7     6     1
   33    24     3     7     1     2
   34    62     3     8     4     2
   35   186     3     4     3     1
   36     8     3     6     5     1
   37    80     3     8     7     2
   38    19     3     5     2     1
   39    74     3     7     3     1
   40   178     3     6     5     2
   41   172     4     5     7     1
   42   102     4     9     1     2
   43    57     4     7     5     2
   44    18     4     8     4     3
   45    37     4     8     5     2
   46   102     4     7     2     2
   47   145     4     6     3     1
   48    52     4     9     4     3
   49   131     5    10     2     1
   50   139     5     7     3     1
   51    91     5     7     1     3
   52   122     5    10     6     2
   53   145     5    10     4     2
   54    63     5     6     7     2
   55    86     5     7     2     2
   56   174     5     6     7     1
   57    76     5     8     3     2
   58   147     5     8     6     1
   59    73     5     8     1     2
   60   158     5     7     2     2
   61    47     5     8     7     2
   62    45     5    10     1     3
   63    77     5     7     6     2
   64    51     5    10     2     2
   65   146     5     6     2     2
   66   192     6     9     5     3
   67   120     6     7     2     1
   68    73     6     8     5     2
   69   160     6    10     3     2
   70    32     6    10     3     2
   71    70     6     7     5     1
   72    95     6    10     1     3
   73   119     7    10     3     1
   74     8     7     9     2     1
   75   174     7     9     3     2
   76    59     7     8     4     1
   77   176     7     9     4     1
   78    73     7    12     1     2
   79   198     7    12     2     1
   80   103     7     9     3     1
   81    11     7     9     4     1
   82    81     7     9     2     1
   83    40     7     8     6     2
   84    37     7    11     3     1
   85    58     7     9     5     2
   86   113     8    12     6     1
   87    39     8     9     2     1
   88    19     8    11     2     1
   89   109     8     9     3     1
   90    30     8    12     6     2
   91    67     8    10     1     3
   92    94     8    10     2     1
   93    69     8     9     3     2
   94   133     8    12     3     2
   95   120     8    13     7     2
   96   163     8    11     1     2
   97    74     8    13     4     3
   98   118     8    13     7     1
   99   105     8     9     1     2
  100    45     8    13     4     2
  101    67     8    12     2     1
  102    86     9    11     1     1
  103    60     9    13     5     1
  104   171     9    14     1     3
  105   158     9    12     3     2
  106    67     9    11     3     1
  107   125     9    14     4     2
  108   104     9    14     3     1
  109    32     9    13     3     1
  110   170    10    12     6     2
  111   148    10    15     4     1
  112    35    10    11     2     2
  113    71    10    14     3     1
  114    50    10    15     5     1
  115   170    10    11     7     2
  116   182    10    14     7     2
  117    10    10    15     4     3
  118   118    10    11     3     2
  119    32    10    11     3     2
  120    58    10    13     4     1
  121   178    10    11     3     1
  122    67    10    12     6     1
  123   103    10    15     4     3
  124    94    10    11     2     1
  125   197    10    13     4     3
  126    52    10    14     5     3
  127   176    10    15     1     1
  128    98    10    14     7     2
  129   154    11    15     4     3
  130   188    11    15     3     2
  131   187    11    15     6     1
  132    99    11    16     7     2
  133   135    11    13     3     2
  134   124    11    16     5     1
  135    78    11    16     4     2
  136   140    11    15     4     2
  137   170    11    15     6     2
  138    26    11    16     1     1
  139   149    11    12     7     2
  140    47    11    13     3     1
  141    56    11    12     2     2
  142   200    11    13     5     1
  143   168    11    13     5     2
  144    75    12    14     4     3
  145    53    12    17     5     3
  146   128    12    17     2     2
  147   122    12    16     3     2
  148    88    12    17     1     2
  149   180    12    15     6     1
  150   131    12    16     5     1
  151   145    12    15     1     1
  152   170    12    15     2     2
  153    58    12    15     7     2
  154    68    12    15     1     2
  155   141    12    14     2     2
  156   182    12    14     1     1
  157   125    12    16     5     3
  158   164    13    16     5     1
  159   141    13    18     7     1
  160   106    13    17     4     3
  161    67    13    17     7     2
  162     8    13    16     7     2
  163    88    13    14     6     2
  164    94    14    17     6     2
  165   132    14    19     6     1
  166   160    14    17     5     3
  167   189    14    19     5     2
  168    95    14    16     4     2
  169    64    14    18     4     3
  170    27    14    18     5     3
  171    69    14    19     1     2
  172    88    14    17     1     1
  173    66    14    15     5     3
  174   134    14    19     7     1
  175   106    14    17     2     2
  176   187    14    18     4     3
  177   133    14    18     1     1
  178   148    14    19     7     2
  179   201    14    19     2     3
  180   176    15    19     6     1
  181   146    15    16     2     3
  182    53    15    16     4     1
  183    15    15    20     3     1
