DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 23

DAYS = 35
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1100

TRUCK_DISTANCE_COST = 100000
TRUCK_DAY_COST = 1000
TRUCK_COST = 100000
TECHNICIAN_DISTANCE_COST = 100
TECHNICIAN_DAY_COST = 10000
TECHNICIAN_COST = 1000

MACHINES = 5
    1     6   655
    2     5   950
    3     6    55
    4     3   930
    5     4   360

LOCATIONS = 266
    1   271   515
    2   311   474
    3   517   315
    4   536   260
    5   534   359
    6   274   531
    7   235   443
    8   565   743
    9   262   329
   10   513    60
   11   231   362
   12   557   207
   13   244   298
   14   366   392
   15   268   384
   16   136   148
   17   279   560
   18   272   477
   19   496   189
   20   385   463
   21   481   707
   22   310   471
   23   325   467
   24   393   437
   25   526   356
   26   358   309
   27   546   743
   28   676   727
   29   453   260
   30   260   473
   31   594   400
   32   181   334
   33   310   460
   34   532   343
   35   291   465
   36   359   240
   37   215   311
   38   550   426
   39   394   425
   40   731   433
   41   543   431
   42   523   485
   43   460   441
   44   712   657
   45   353   369
   46   203   364
   47   531   352
   48   257   351
   49   735   598
   50   670   337
   51   518   286
   52   393   385
   53   522   362
   54   496   568
   55   534   525
   56   226   361
   57   678   484
   58   509   359
   59   664   663
   60   204   338
   61   623   334
   62   263   401
   63   434   364
   64   494   572
   65   241   319
   66   357   396
   67   440   202
   68   358   570
   69   589   435
   70   199   387
   71   398   417
   72   715   673
   73   267   513
   74   477    20
   75   651   469
   76   194   391
   77   456   352
   78   277   594
   79   163   314
   80   286   365
   81   471   790
   82   559   244
   83   280   518
   84   758   703
   85   322   484
   86   547   418
   87   668   715
   88   514   313
   89   206   324
   90   540   424
   91   313   469
   92   479   365
   93   399   261
   94   575   363
   95   298   494
   96   571   513
   97   421   282
   98   506   316
   99   292   243
  100   305   527
  101   764   697
  102   399   380
  103   540   419
  104   545   727
  105   197   374
  106   285   625
  107   185   382
  108   318   466
  109   625   608
  110   727   418
  111   238   337
  112   286   312
  113   549   364
  114   507   710
  115   381   349
  116   346   352
  117   443   192
  118   251   374
  119   458   672
  120   508   267
  121   226   416
  122   694   352
  123   362   377
  124   428   408
  125   460   177
  126   314   588
  127   542   358
  128   577   366
  129   546   716
  130   434   275
  131   330   459
  132   429   706
  133   371   273
  134   173   354
  135   672   470
  136   524    27
  137   691   582
  138   186   368
  139   677   483
  140   274   609
  141   269   297
  142   204   358
  143   662   698
  144   192   382
  145   495   571
  146   539    38
  147   739   584
  148   585   207
  149   593   397
  150   643   387
  151   219   345
  152   208   344
  153   560   369
  154   195   390
  155   289   454
  156   262   438
  157   419   186
  158   196   321
  159   765   667
  160   760   698
  161   198   378
  162   551   429
  163   687   471
  164   548   501
  165   497   734
  166   347   557
  167   391   443
  168   567   720
  169   386   377
  170   627   328
  171   233   339
  172   337   336
  173   487   510
  174   741   698
  175   163   331
  176   254   327
  177   219   433
  178   360   297
  179   338   413
  180   370   327
  181   456   212
  182   189   386
  183   569   319
  184   566   372
  185   386   568
  186   319   524
  187   353   486
  188   514   317
  189   144   295
  190   431   307
  191   326   478
  192   555   330
  193   592   373
  194   287   257
  195   664   651
  196   207   365
  197   311   478
  198   448   464
  199   580   342
  200   528   352
  201   757   442
  202   480   629
  203   285   574
  204   314   467
  205   497   348
  206   554   212
  207   508   296
  208   549   516
  209   351   271
  210   314   310
  211   231   359
  212   323   441
  213   161   311
  214   302   473
  215   575   711
  216   192   213
  217   220   305
  218   571   425
  219   277   369
  220   526   494
  221   598   374
  222   351   238
  223   439   203
  224   199   360
  225   680   523
  226   637   336
  227   292   461
  228   189   383
  229   222   366
  230   417   404
  231   515   314
  232   327   464
  233   361   394
  234   530   346
  235   296   467
  236   241   340
  237   375   209
  238   583   724
  239   636   696
  240   275   572
  241   490   517
  242   255   315
  243   346   403
  244   198   380
  245   482   689
  246   313   468
  247   739   652
  248   379   241
  249   705   451
  250   304   491
  251   471   342
  252   318   307
  253   324   253
  254   424   215
  255   379   475
  256   751   649
  257   207   365
  258   228   341
  259   526   359
  260   513   360
  261   259   368
  262   291   511
  263   325   454
  264   231   325
  265   362   383
  266   283   551

REQUESTS = 750
    1    96     1     6     4     3
    2   148     1     4     1     3
    3    99     1     3     4     3
    4    39     1     6     4     3
    5    57     1     5     4     3
    6    32     1     2     5     3
    7   137     1     2     4     2
    8   205     1     2     5     3
    9    18     1     4     5     2
   10   230     1     2     5     1
   11   182     1     6     4     3
   12   226     1     2     4     1
   13   163     1     3     4     3
   14     9     1     4     3     3
   15   143     1     6     4     2
   16     3     1     2     2     3
   17   234     1     2     5     2
   18   240     1     6     1     3
   19   182     1     6     4     3
   20   213     1     5     2     3
   21   102     1     4     3     1
   22    10     1     5     2     3
   23     9     1     3     2     3
   24    83     1     3     4     2
   25   221     1     2     2     3
   26   101     1     4     5     3
   27    79     1     6     1     3
   28   130     1     3     3     1
   29   143     1     5     5     3
   30   126     1     6     1     3
   31    33     2     5     1     3
   32    52     2     7     3     3
   33   108     2     5     3     2
   34    63     2     5     5     3
   35   179     2     6     3     1
   36    89     2     3     4     3
   37    96     2     3     2     2
   38   205     2     4     2     2
   39    40     2     4     2     3
   40   144     2     5     4     1
   41   142     2     7     5     1
   42    93     2     4     2     1
   43   136     2     3     3     1
   44   207     2     5     3     2
   45   102     2     7     3     3
   46   217     2     4     3     1
   47    36     2     5     1     3
   48     2     2     4     5     2
   49   191     2     4     4     3
   50    64     2     6     2     1
   51    35     2     7     1     3
   52    49     2     7     1     1
   53   140     2     3     5     3
   54   215     2     4     5     3
   55   171     2     4     3     1
   56   156     3     6     2     1
   57    44     3     6     5     3
   58   184     3     8     4     3
   59    28     3     4     2     2
   60   104     3     5     1     3
   61    23     3     5     1     3
   62    67     3     6     2     2
   63    93     3     6     1     3
   64   119     3     8     5     3
   65     9     3     4     1     1
   66   109     3     6     5     2
   67    99     3     4     5     3
   68   209     3     7     4     3
   69   203     3     8     1     3
   70   198     3     5     4     1
