DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 22

DAYS = 25
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1500

TRUCK_DISTANCE_COST = 10
TRUCK_DAY_COST = 10
TRUCK_COST = 10000
TECHNICIAN_DISTANCE_COST = 100
TECHNICIAN_DAY_COST = 1000
TECHNICIAN_COST = 100

MACHINES = 4
    1     8   655
    2     5   350
    3     6   455
    4     8    85

LOCATIONS = 206
    1   491    38
    2   428   174
    3   215   321
    4   721   422
    5   383   244
    6   247   336
    7   294   445
    8   541   362
    9   357   240
   10   315   471
   11   390   389
   12   631   408
   13   241   340
   14   175   224
   15   285   555
   16   261   477
   17   398   328
   18   109   219
   19   276   453
   20   536   422
   21   742   731
   22   533   363
   23   389   442
   24   217   309
   25   707   683
   26   111   259
   27   314   253
   28   473   374
   29   584   177
   30   371   388
   31   232   334
   32   663   358
   33   426   402
   34   396   572
   35   527   364
   36   557   515
   37   505   715
   38   190   383
   39   434   362
   40   491   305
   41   547   162
   42   181   339
   43   334   454
   44   190   369
   45   698   699
   46   221   354
   47   418   422
   48   669   341
   49   264   502
   50   285   554
   51   255   340
   52   489   645
   53   751   649
   54   427   708
   55   677   498
   56   500   719
   57   254   338
   58   286   443
   59   372   446
   60   264   316
   61   354   330
   62   526   314
   63   303   242
   64   534    12
   65   295   433
   66   549   255
   67   571   513
   68   433   710
   69   381   382
   70   202   338
   71   130   177
   72   228   413
   73   200   391
   74   533   296
   75   371   577
   76   384   583
   77   348   261
   78   332   444
   79   519   317
   80   283   550
   81   266   472
   82   681   421
   83   285   549
   84   306   465
   85   739   652
   86   450   291
   87   446   328
   88   507   292
   89   353   513
   90   370   371
   91   677   483
   92   290   437
   93   545   341
   94   453   655
   95   300   464
   96   641   755
   97   232   360
   98   318   468
   99   628   554
  100   309   387
  101   687   682
  102   274   396
  103   187   376
  104   656   727
  105   271   385
  106   235   341
  107   551   344
  108    74   272
  109   433   238
  110   468   227
  111   323   489
  112   232   406
  113   301   468
  114   678   402
  115   330   510
  116   109   211
  117   670   756
  118   552   363
  119   567   720
  120   656   614
  121   545    19
  122   399   410
  123   396   566
  124   316   305
  125   268   321
  126   317   482
  127   585   369
  128   493   707
  129   303   489
  130   642   678
  131   539   755
  132   619   363
  133   548   164
  134   303   616
  135   173   369
  136   193   373
  137   380   401
  138   207   361
  139   342   401
  140    60   235
  141   442   204
  142   115   306
  143   202   364
  144   289   445
  145   499   400
  146   181   382
  147   470   264
  148   386   477
  149   333   237
  150   266   322
  151   334   508
  152   402   374
  153   356   370
  154   348   366
  155   300   428
  156   569   460
  157   291   509
  158   183   386
  159   665   657
  160   228   232
  161   100   290
  162   285   646
  163   480   275
  164   537   638
  165   272   524
  166   317   472
  167   528    59
  168   434   415
  169   502   204
  170   458   148
  171   609   350
  172   258   474
  173   772   688
  174   270   524
  175   299   423
  176   220   283
  177   402   772
  178   457   351
  179   242   471
  180    55   212
  181   180   333
  182   550     2
  183   299   491
  184   552   347
  185   157   355
  186   300   563
  187   223   288
  188   254   508
  189   495    45
  190   274   370
  191   181   342
  192   613   735
  193   235   414
  194   577   739
  195   486   206
  196   361   499
  197   322   477
  198   292   241
  199   264   385
  200   201   366
  201   442   358
  202    35   184
  203   268   404
  204    60   235
  205   430   691
  206   361   423

REQUESTS = 600
    1   129     1     6     4     2
    2    63     1     3     1     1
    3    55     1     6     1     2
    4   162     1     6     1     2
    5   113     1     3     2     2
    6    73     1     3     1     2
    7    96     1     2     4     1
    8    33     1     2     1     1
    9    33     1     5     4     2
   10    65     1     5     3     1
   11    42     1     3     1     1
   12   193     1     4     4     1
   13   118     1     2     3     2
   14    49     1     6     3     1
   15    69     1     4     2     2
   16   121     1     5     3     3
   17    80     1     2     1     1
   18    17     1     6     3     2
   19    12     1     5     4     2
   20   192     1     2     4     2
   21    41     1     6     2     3
   22   103     1     6     1     1
   23    93     1     6     3     2
   24   178     1     2     3     1
   25   158     1     3     1     1
   26   126     1     3     2     1
   27   116     1     3     2     3
   28    27     1     5     1     1
   29    97     1     4     4     2
   30    50     1     3     2     1
   31   118     1     4     1     1
   32    53     1     3     2     2
   33   115     1     4     4     2
   34   173     1     3     3     1
   35   105     2     6     4     1
   36   167     2     3     1     2
   37   162     2     5     4     1
   38    67     2     7     1     1
   39    91     2     5     3     3
   40    16     2     6     3     2
   41   125     2     5     2     2
   42   119     2     3     1     1
