DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 15

DAYS = 55
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1350

TRUCK_DISTANCE_COST = 1000
TRUCK_DAY_COST = 100
TRUCK_COST = 10
TECHNICIAN_DISTANCE_COST = 10
TECHNICIAN_DAY_COST = 10
TECHNICIAN_COST = 100000

MACHINES = 7
    1     6   390
    2     5   855
    3     7    50
    4     6   630
    5     5   490
    6     6   910
    7     8   235

LOCATIONS = 173
    1   217   323
    2   322   424
    3   713   634
    4   308   310
    5   613   320
    6   242   346
    7   259   368
    8   295   237
    9   480   245
   10   309   463
   11   231   294
   12   267   549
   13   203   367
   14    49   215
   15   529    46
   16   263   312
   17   228   232
   18   242   474
   19   314   310
   20   269   305
   21   270   508
   22   274   315
   23   534   294
   24   608   557
   25   411   373
   26   308   562
   27   570   192
   28   258   352
   29   314   588
   30   191   383
   31    87   134
   32   456   253
   33   547   426
   34   494   333
   35   426   315
   36   205   389
   37   585   404
   38   348   232
   39   171   359
   40   238   241
   41   272   297
   42   676   599
   43   646   366
   44   560    28
   45   481   466
   46   624   419
   47   557   322
   48   687   678
   49   197   311
   50   570   462
   51   245   348
   52   194   391
   53   456   253
   54   568   379
   55   240   473
   56   413   256
   57   426   328
   58   261   481
   59   260   545
   60   384   436
   61   726   647
   62   554   400
   63   397   322
   64   283   440
   65   294   338
   66   285   553
   67   283   366
   68   359   418
   69   213   308
   70   513   360
   71   262   481
   72   359   361
   73   161   353
   74   243   471
   75   224   242
   76   323   467
   77   635   444
   78   533   534
   79   447   294
   80   521   352
   81   431   400
   82    40   199
   83   769   620
   84   435   194
   85   659   656
   86   282   246
   87   641   714
   88   266   306
   89   513   327
   90   464   449
   91   397   320
   92   516    39
   93   398   417
   94   215   424
   95   506    50
   96   289   549
   97   703   411
   98   533    34
   99   286   364
  100   220   344
  101   277   300
  102   606   436
  103   422   406
  104   383   348
  105   302   447
  106   301   433
  107   258   324
  108   304   473
  109   263   311
  110   728   750
  111   554   731
  112   304   490
  113   574   178
  114   634   446
  115   354   223
  116   561   342
  117   196   336
  118    37   184
  119   252   432
  120   517    34
  121   276   246
  122   227   337
  123   536   421
  124   332   433
  125    26   219
  126   317   465
  127   476   665
  128   239   340
  129   345   262
  130   495   589
  131   381   470
  132   368   395
  133   350   240
  134   399   271
  135   608   557
  136   485   498
  137   449   675
  138   417   218
  139   555   405
  140   294   236
  141   654   612
  142   299   423
  143   596   347
  144   532   711
  145   546   741
  146   407   304
  147   737   482
  148   149   288
  149   531    44
  150   324   533
  151   216   320
  152   466   437
  153   484   683
  154   171   369
  155   322   466
  156   527   347
  157   378   345
  158   125   205
  159   597   490
  160   535    62
  161   229   302
  162   204   382
  163   192   389
  164   272   300
  165   340   282
  166   310   465
  167   535   363
  168   477   354
  169   501   312
  170   698   390
  171   415   435
  172   364   386
  173   287   257

REQUESTS = 450
    1     7     1     3     7     1
    2     6     1     2     1     3
    3    89     1     3     3     1
    4   108     1     3     2     1
    5   109     1     3     6     1
    6    84     1     3     5     2
    7     7     1     2     6     1
    8    97     1     5     2     3
    9    28     1     5     7     2
   10     8     1     5     4     2
   11     4     2     6     6     1
   12   122     2     5     7     1
   13    74     2     3     1     1
   14    45     2     6     7     2
   15    69     2     6     3     1
   16    54     2     5     4     1
   17   145     2     6     6     2
   18    43     2     7     3     2
   19     3     2     4     3     2
   20    25     3     8     3     2
   21     3     3     5     6     3
   22    26     3     7     1     2
   23   105     3     8     5     1
   24    62     3     7     2     2
   25   112     3     4     6     1
   26    10     3     5     4     1
   27    92     3     6     6     1
   28    71     3     6     2     1
   29   112     4     5     1     2
   30    20     4     9     2     3
   31   150     4     7     2     1
   32    84     4     5     1     2
   33   133     4     7     3     2
   34    78     4     9     7     2
   35    67     4     7     2     3
   36   129     4     6     7     2
   37    64     4     7     7     1
   38   134     4     7     7     2
   39   121     4     8     5     1
   40   107     4     6     6     2
   41    67     4     5     1     2
   42    44     4     9     3     1
   43    52     5     9     2     1
   44   124     5     7     3     2
   45    53     5     6     5     3
   46    93     5     8     4     2
   47    13     5     8     6     2
   48    80     5     8     7     1
   49     9     5     9     6     3
   50   145     5    10     5     3
   51   149     5     7     3     1
   52   133     5     6     2     2
   53    76     5     9     4     3
   54    71     6     8     6     3
   55     8     6    10     1     3
   56    80     6    10     6     2
   57    99     6     7     4     2
   58    17     6    10     6     3
   59    61     6    10     1     1
   60    38     6    11     4     2
   61     3     6    10     1     2
   62    35     7     9     1     2
   63   127     7    10     3     1
   64    50     7    10     6     3
   65     5     7    12     1     3
   66    25     7    11     3     2
   67    54     7    12     3     2
   68   125     7     9     5     3
   69    46     7    12     7     2
   70    96     7    12     7     2
   71    53     7    12     6     1
   72   105     7     8     3     1
   73    73     7    12     7     2
   74    67     8    11     7     2
   75    62     8    11     4     3
   76    72     8    12     2     3
   77   137     8     9     7     2
   78    83     8    12     1     3
   79   124     8    10     6     2
   80    64     8     9     1     2
   81    23     8    10     1     3
   82    65     8    11     5     3
   83   105     9    11     3     2
   84    39     9    13     6     1
   85    63     9    11     2     1
   86   127     9    13     6     3
   87    87     9    11     7     2
   88   140     9    14     5     3
   89    86     9    12     3     2
   90   133     9    12     7     2
   91    84     9    11     5     2
   92    29    10    15     4     2
   93   134    10    13     2     2
   94    56    10    11     4     3
   95    13    10    11     6     3
   96    26    10    12     3     2
   97   111    10    11     5     3
   98    89    10    12     2     2
   99   113    10    14     2     3
  100     9    10    15     3     1
  101    24    10    14     1     3
  102    49    10    14     1     3
  103    55    10    14     4     1
  104   150    11    12     2     3
  105    95    11    13     5     1
  106    20    11    16     2     3
