DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 21

DAYS = 15
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1230

TRUCK_DISTANCE_COST = 100
TRUCK_DAY_COST = 1000
TRUCK_COST = 10000
TECHNICIAN_DISTANCE_COST = 1000
TECHNICIAN_DAY_COST = 100
TECHNICIAN_COST = 10

MACHINES = 3
    1     7   455
    2     5   950
    3     8   215

LOCATIONS = 154
    1   577   435
    2   515   141
    3   523   527
    4   668   719
    5   373   426
    6   346   403
    7   185   381
    8   120   211
    9   531   350
   10   544    21
   11   412   256
   12   235   317
   13   302   444
   14   430   329
   15   232   326
   16   416   417
   17   605   461
   18   341   395
   19   541   352
   20   449   613
   21   430   250
   22   272   306
   23   397   284
   24   387   300
   25   470   224
   26   549   255
   27   203   362
   28   204   318
   29   554   760
   30   299   473
   31   349   265
   32   287   505
   33   316   469
   34   292   513
   35   704   576
   36   332   451
   37   523   261
   38   258   498
   39   535   425
   40   298   608
   41   332   451
   42   513   332
   43   278   244
   44   229   333
   45   278   541
   46   253   400
   47   566   151
   48   738   565
   49   245   342
   50   466   448
   51   364   549
   52   353   232
   53   399   423
   54   314   319
   55   347   266
   56   215   345
   57   402   171
   58   291   550
   59   263   352
   60   795   704
   61   366   396
   62   342   402
   63   302   564
   64   535   420
   65   306   453
   66   493    57
   67   150   158
   68   492   188
   69   187   385
   70   581   666
   71   397   375
   72   376   427
   73   315   471
   74    36   209
   75   306   348
   76   226   255
   77   198   242
   78   291   579
   79   583   193
   80   337   414
   81   412   256
   82   219   400
   83   223   327
   84   204   338
   85   437   199
   86   337   502
   87   306   472
   88   501   641
   89   258   471
   90   164   315
   91   571   689
   92   459   372
   93   242   380
   94   735   595
   95   392   452
   96   226   259
   97   201   357
   98   390   475
   99   374   175
  100   547   714
  101   185   392
  102   173   186
  103   319   554
  104   382   309
  105   598   399
  106   467   432
  107   498   321
  108   707   618
  109   611   395
  110   187   370
  111   447   423
  112   266   470
  113   319   489
  114   406   242
  115   354   382
  116   496   310
  117   246   299
  118   390   303
  119   277   366
  120   297   444
  121   702   668
  122   423   662
  123   251   239
  124   479   355
  125   434   189
  126   356   388
  127   247   305
  128   466   387
  129   186   379
  130   686   776
  131   219   311
  132   573   364
  133   312   460
  134   267   503
  135   548   652
  136   302   492
  137   358   588
  138   693   593
  139   193   378
  140   545   727
  141   414   279
  142   325   453
  143   727   752
  144   477   245
  145   632   729
  146   580   436
  147   262   414
  148   525   381
  149   231   416
  150   386   435
  151   268   241
  152   575   494
  153   201   345
  154   225   224

REQUESTS = 450
    1   130     1     5     2     2
    2    93     1     6     3     1
    3    81     1     6     2     2
    4   106     1     6     2     3
    5    52     1     3     1     2
    6    65     1     6     3     2
    7   111     1     2     3     2
    8    17     1     3     2     3
    9    23     1     6     1     2
   10   123     1     6     3     2
   11    35     1     2     1     2
   12    11     1     4     2     1
   13    88     1     2     1     1
   14    72     1     6     1     1
   15   109     1     2     1     2
   16    72     1     2     3     2
   17    84     1     5     2     2
   18    66     1     6     3     1
   19   115     1     3     3     2
   20    40     1     3     3     2
   21    35     1     2     3     2
   22    39     1     6     3     2
   23    10     1     6     1     2
   24     8     1     2     3     1
   25    20     1     2     3     1
   26   148     1     2     1     2
   27   128     1     4     3     2
   28    95     1     4     2     1
   29    69     1     3     3     1
   30   111     1     6     3     2
   31    54     1     2     3     2
   32   131     1     2     3     1
   33    23     1     3     2     2
   34    94     1     5     1     2
   35   145     1     3     3     1
   36    28     1     6     1     2
   37    76     1     5     2     1
   38   120     1     3     1     2
   39    28     1     3     1     1
   40    84     1     5     1     2
   41   137     1     6     1     1
   42    54     1     4     3     1
   43    85     1     6     2     2
   44   140     1     4     1     1
   45    70     1     3     3     1
   46    91     1     4     2     1
   47    12     1     2     3     1
   48    81     1     3     2     2
   49    33     1     5     1     2
   50    40     1     3     1     2
   51    33     1     4     1     1
   52   139     1     4     2     1
   53   141     1     5     1     2
   54    26     1     5     3     2
   55    68     1     2     2     1
   56    65     1     6     2     3
   57    37     1     3     2     2
   58    31     2     5     3     2
   59   144     2     4     3     1
   60    17     2     5     3     2
   61   111     2     6     2     2
   62   130     2     7     2     2
   63    18     2     7     1     2
   64   143     2     7     1     2
   65   102     2     5     2     3
   66    30     2     5     2     3
   67    47     2     6     3     1
   68   118     2     4     2     2
   69   127     2     6     1     2
   70   117     2     6     3     1
   71    93     2     4     3     2
   72    26     2     5     3     1
   73    57     2     3     1     2
   74    94     2     6     2     1
   75    56     2     7     1     1
   76    23     2     5     1     2
   77   119     2     3     2     3
   78    74     2     5     1     1
   79    31     2     4     1     1
   80    14     2     5     2     1
   81    79     2     7     3     1
   82    22     2     4     2     2
   83    33     2     6     1     1
   84    66     2     7     1     2
   85   119     2     3     2     1
   86   122     2     5     2     3
   87    13     2     4     3     1
   88   136     2     3     3     2
   89    17     2     4     2     2
   90     7     2     3     1     1
   91    78     2     3     2     1
   92     9     2     7     3     2
   93    71     2     7     2     2
   94    37     2     6     3     1
   95    60     2     5     1     2
   96    50     2     6     2     3
   97    34     2     5     3     2
   98    60     2     4     2     1
   99    36     2     4     3     1
  100   118     2     7     2     1
  101    54     2     5     1     2
  102   113     2     6     3     2
  103   103     3     8     3     1
  104    19     3     8     2     2
  105    70     3     7     2     2
  106    60     3     6     2     2
  107   125     3     8     2     3
  108   139     3     4     1     1
  109    65     3     7     2     3
  110   130     3     6     2     1
  111    87     3     8     2     3
  112   101     3     4     1     2
  113    76     3     5     2     3
  114   146     3     4     3     1
  115    11     3     7     1     2
  116    33     3     5     2     2
  117    57     3     8     1     1
  118    83     3     5     1     2
  119    88     3     8     2     2
  120   117     3     6     2     2
  121    90     3     7     2     1
  122   123     3     7     2     1
  123    39     3     5     2     3
  124   128     3     7     3     1
  125    51     3     6     2     2
  126    92     3     6     2     3
  127    18     3     6     2     3
  128     6     3     5     3     1
  129    54     3     6     1     1
  130    39     3     6     3     2
  131    66     3     5     1     1
  132   107     3     5     2     3
  133   133     3     5     3     1
  134   135     3     6     1     2
  135     5     3     8     2     1
  136    38     3     6     1     2
  137    69     3     7     2     1
  138   126     3     8     3     1
  139    45     3     8     2     1
  140    86     3     7     1     1
  141    39     3     7     2     2
  142    29     3     5     1     1
  143     6     3     8     3     1
  144     8     3     4     2     2
  145     4     3     6     1     1
  146    10     3     4     2     3
  147   141     3     8     1     2
  148    47     3     4     3     2
  149    39     3     7     1     2
  150    82     3     8     1     2
  151    58     3     8     3     1
  152    26     3     8     2     1
  153    80     3     7     3     2
  154    76     3     7     3     1
  155    96     4     5     2     2
  156    55     4     5     3     1
  157   131     4     5     3     2
  158    60     4     6     1     2
  159     2     4     5     1     2
  160    89     4     5     2     1
  161   144     4     8     1     2
  162    39     4     7     3     1
  163    31     4     8     2     2
  164    96     4     8     3     2
  165    47     4     9     1     2
  166   135     4     7     3     2
  167    13     4     5     3     1
  168   125     4     5     3     2
  169    28     4     9     2     2
  170    30     4     9     1     1
  171    70     4     9     3     2
  172   131     4     7     2     2
  173   124     4     5     2     2
  174    83     4     6     1     2
  175   122     4     9     1     2
  176     4     4     5     1     2
  177   118     4     9     3     1
  178    53     4     6     1     2
  179    49     4     8     3     1
  180    10     4     9     2     3
  181    47     4     9     3     1
  182   122     4     8     2     3
  183   149     4     9     1     1
  184    45     4     9     1     2
  185    64     4     6     1     2
  186   141     4     8     3     2
  187    16     4     6     3     2
  188   102     4     5     2     2
  189    32     4     7     3     1
  190     2     4     6     2     2
  191    26     4     8     3     1
  192    63     4     5     2     2
  193    37     4     5     2     3
  194   115     4     7     2     1
  195    47     4     6     3     1
  196    27     4     8     2     2
  197    23     4     8     1     1
  198   132     4     8     3     1
