DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 11

DAYS = 15
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 2000

TRUCK_DISTANCE_COST = 10000
TRUCK_DAY_COST = 10000
TRUCK_COST = 10
TECHNICIAN_DISTANCE_COST = 100000
TECHNICIAN_DAY_COST = 100
TECHNICIAN_COST = 10

MACHINES = 3
    1     3    35
    2     8   555
    3     8   277

LOCATIONS = 254
    1   355   373
    2   162   357
    3   209   338
    4   246   305
    5   450   295
    6   743   598
    7   184   380
    8   384   583
    9   515   494
   10   225   340
   11   242   409
   12   322   238
   13   730   687
   14   245   318
   15   551   347
   16   659   564
   17   314   310
   18   740   659
   19   585   404
   20   272   314
   21   510    82
   22   534   424
   23   238   242
   24   552   330
   25    97   244
   26   252   495
   27   482    31
   28   265   476
   29   620   341
   30   317   486
   31   236   326
   32   312   472
   33   452   364
   34   598   399
   35   414   220
   36   184   382
   37   636   695
   38   383   348
   39   375   395
   40   484   660
   41    42   205
   42   229   375
   43   548   724
   44   389   472
   45   142   267
   46   186   383
   47   263   315
   48   146   320
   49   670   620
   50   519   239
   51   307   580
   52   263   292
   53   231   380
   54   376   238
   55   451   205
   56   713   651
   57   327   464
   58   679   698
   59   508   201
   60   523   289
   61   522    45
   62   434   285
   63   259   544
   64   311   463
   65   325   511
   66   576   711
   67   182   376
   68   302   559
   69   661   513
   70   390   443
   71   583   179
   72   216   338
   73   310   446
   74   614   394
   75   237   412
   76   262   493
   77   698   408
   78   532   224
   79   229   382
   80   443   196
   81   373   372
   82   769   707
   83   297   672
   84   665   723
   85   476   209
   86   631   732
   87   413   256
   88   363   382
   89   518   271
   90   204   324
   91   471   342
   92   394   569
   93   523   164
   94   251   400
   95   538   186
   96   663   547
   97   186   222
   98   367   395
   99   480   745
  100   565   343
  101   183   380
  102   674   376
  103   477   666
  104   367   274
  105   550    30
  106   313   466
  107   533    34
  108   337   313
  109   495   576
  110   260   439
  111   389   347
  112   436   512
  113   522   350
  114   352   512
  115   267   476
  116   282   548
  117   540   418
  118   324   469
  119   313   460
  120   375   431
  121   361   589
  122   544   144
  123   436   169
  124   190   383
  125   265   469
  126   429   368
  127    46   207
  128   298   453
  129   622   392
  130   203   323
  131   345   301
  132   546   715
  133   356   559
  134   358   387
  135   426   400
  136   665   497
  137   538   591
  138   270   358
  139   535   263
  140   388   445
  141   270   524
  142   200   361
  143   673   343
  144   462   402
  145   563   693
  146   418   410
  147   500   392
  148   625   328
  149   265   454
  150   545    36
  151   229   372
  152   560   720
  153   159   314
  154   242   342
  155   202   315
  156   509    36
  157   579   730
  158   662   657
  159   697   353
  160   583   177
  161   555   405
  162   250   340
  163   349   580
  164   302   248
  165   240   324
  166   268   524
  167   378   271
  168   388   389
  169   158   355
  170   272   539
  171   288   237
  172   382   401
  173   196   321
  174   448   371
  175   434   415
  176   274   396
  177   338   339
  178   268   533
  179   219   308
  180   448   371
  181   271   526
  182   390   475
  183   581   711
  184   374   434
  185   730   689
  186   524   752
  187   594   411
  188   312   331
  189   318   468
  190   586   334
  191   329   315
  192   397   258
  193   658   716
  194   485   203
  195   363   387
  196   408   274
  197   511   359
  198   413   405
  199   595   385
  200   187   223
  201   665   727
  202   523   735
  203   540   325
  204   680   761
  205   260   437
  206   459   350
  207   521    99
  208   198   310
  209   241   473
  210   566   377
  211   600   680
  212   466   262
  213   256   308
  214   406   269
  215   686   683
  216   169   312
  217   230   330
  218   231   351
  219   289   510
  220   515   341
  221   534   291
  222   323   478
  223   487   307
  224   667   448
  225   350   509
  226   299   523
  227   224   431
  228   538   431
  229   396   572
  230   395   571
  231   181   371
  232   596   589
  233   401   274
  234   653   657
  235   232   329
  236   562   490
  237   344   241
  238   561    30
  239   709   442
  240   386   474
  241   291   309
  242   374   430
  243   432   651
  244   184   373
  245   391   305
  246   718   446
  247   689   690
  248   455   291
  249   253   498
  250   256   308
  251   655   657
  252   365   396
  253   214   346
  254   329   252

REQUESTS = 750
    1    80     1     3     3     2
    2   105     1     3     3     2
    3    66     1     4     1     2
    4    80     1     5     1     1
    5    22     1     4     2     1
    6    36     1     5     1     2
    7    50     1     5     1     1
    8   203     1     4     2     2
    9    67     1     4     1     1
   10    75     1     5     2     1
   11    24     1     6     1     2
   12   152     1     5     3     1
   13    33     1     6     1     3
   14   186     1     6     3     1
   15   251     1     3     1     2
   16   185     1     6     3     2
   17   202     1     5     3     2
   18   246     1     3     3     2
   19   245     1     5     1     3
   20    77     1     4     2     1
   21   240     1     6     1     1
   22   165     1     3     3     1
   23   225     1     6     1     1
   24    96     1     5     1     3
   25    45     1     4     2     2
   26   114     1     2     2     2
   27    92     1     5     3     1
   28    63     1     4     1     2
   29    59     1     2     1     2
   30   157     1     2     1     2
   31    55     1     4     2     1
   32   170     1     4     3     2
   33   187     1     3     1     1
   34   187     1     5     3     2
   35   134     1     5     3     1
   36    71     1     4     1     2
   37    24     1     4     2     2
   38   116     1     3     3     1
   39   229     1     2     2     1
   40    41     1     3     2     1
   41   187     1     5     2     2
   42   220     1     2     1     3
   43   163     1     4     3     1
   44   166     1     3     2     1
   45   243     1     4     3     2
   46   150     1     2     1     2
   47   233     1     2     3     2
   48    87     1     2     1     3
   49    91     1     5     2     2
   50   119     1     4     1     1
   51   160     1     3     2     2
   52   213     1     5     3     1
   53   138     1     4     3     2
   54   122     1     2     3     2
   55    28     1     6     2     1
   56   198     1     2     1     2
   57   130     1     2     3     1
   58    28     1     4     3     2
   59    25     1     3     2     2
   60   244     1     5     2     1
   61   173     1     5     2     1
   62    20     1     6     1     2
   63   209     1     3     1     2
   64   239     1     5     2     1
   65    81     1     5     1     2
   66   158     1     5     1     3
   67   116     1     4     1     2
   68    33     1     3     1     2
   69   116     1     2     1     2
   70   138     1     4     2     1
   71    10     1     4     2     1
   72   139     1     3     3     2
   73    35     1     3     1     3
   74   220     1     5     3     2
   75   203     1     5     3     2
   76    82     1     4     1     3
   77   140     1     5     3     1
   78   199     1     4     3     1
   79    55     1     6     2     1
   80   182     1     5     1     3
   81    78     1     6     1     1
   82   197     1     4     1     2
   83   139     1     3     1     1
   84    56     2     3     2     1
   85    30     2     6     2     1
   86    47     2     3     1     1
   87    61     2     7     3     1
   88    72     2     7     2     1
   89   115     2     4     3     2
   90   166     2     5     3     1
   91   104     2     5     3     2
   92    83     2     5     2     1
   93   194     2     4     2     2
   94   133     2     6     2     1
   95   238     2     6     3     1
   96   133     2     5     3     1
   97   136     2     3     1     1
   98   188     2     3     3     1
   99    33     2     6     2     1
  100   120     2     6     2     1
  101    26     2     7     1     2
  102   236     2     5     3     1
  103    44     2     7     1     1
  104   186     2     7     3     2
  105   144     2     7     2     1
  106    46     2     5     3     1
  107   143     2     7     1     3
  108    68     2     4     3     1
  109    55     2     5     1     3
  110    73     2     6     3     2
  111   245     2     7     3     1
  112    63     2     4     2     1
  113   211     2     6     1     1
  114   227     2     6     2     1
  115    68     2     6     1     2
  116   146     2     4     2     2
  117   229     2     5     1     3
  118   103     2     7     1     1
  119   207     2     3     3     2
  120   242     2     3     2     2
  121   133     2     3     3     2
  122    70     2     6     3     1
  123   128     2     6     2     1
  124   179     2     3     2     1
  125     9     2     6     3     2
  126   182     2     5     1     1
  127   111     2     7     2     2
  128   117     2     3     1     2
  129   204     2     7     1     1
  130   120     2     7     1     3
  131   148     2     4     1     1
  132   205     2     7     2     1
  133   181     2     3     1     1
  134    41     2     7     2     2
  135    22     2     7     1     1
  136    78     2     5     2     2
  137   144     2     6     1     2
  138   157     2     6     2     2
  139   198     2     6     3     1
  140    78     2     6     1     1
  141   243     2     3     1     3
  142    28     2     5     1     1
  143   160     2     6     2     1
  144   105     2     5     1     2
  145   136     2     6     1     3
  146    33     2     5     2     1
  147    92     2     5     2     1
  148   240     2     3     3     1
  149   212     2     5     1     3
  150    31     2     5     1     2
  151    37     2     7     2     1
  152   155     3     6     2     1
  153    14     3     8     3     2
  154   233     3     5     1     3
  155   240     3     4     1     3
  156   122     3     8     1     3
  157    93     3     8     1     2
  158   139     3     6     3     1
  159    93     3     7     1     3
  160   146     3     8     3     1
  161    45     3     5     2     1
  162    73     3     5     3     2
  163   187     3     6     3     2
  164    80     3     5     3     2
  165   114     3     5     3     1
  166   133     3     6     1     2
  167   179     3     4     2     2
  168   240     3     7     2     2
  169   237     3     7     2     1
  170   216     3     6     2     1
  171   163     3     4     2     2
  172   109     3     8     1     1
  173   208     3     7     3     1
  174   117     3     6     3     2
  175    28     3     8     2     2
  176   147     3     8     2     2
  177   231     3     7     1     2
  178    90     3     5     1     3
  179    23     3     4     2     1
  180    14     3     8     1     2
  181    81     3     4     2     1
  182   107     3     8     2     1
  183    50     3     4     3     2
  184   200     3     8     1     2
  185   243     3     6     3     1
  186   156     3     5     2     2
  187   206     3     7     1     3
  188   172     3     6     3     2
  189    71     3     5     1     3
  190   124     3     4     1     3
  191    79     3     6     3     1
  192   213     3     5     1     2
  193   129     3     8     2     2
  194    40     3     8     3     1
  195    98     3     4     2     1
  196   233     3     7     3     2
  197   226     3     7     3     1
  198    61     3     6     1     2
  199   227     3     7     3     2
  200     6     3     5     2     2
  201   111     3     6     2     1
  202   188     3     7     1     2
  203    30     3     8     3     2
  204   218     3     7     1     1
  205   130     3     8     1     2
  206   193     3     8     2     2
  207    90     3     4     3     1
  208   245     3     5     3     2
  209   210     3     4     2     1
  210    71     3     5     3     1
  211   128     3     6     2     1
  212   237     3     5     1     2
  213    75     3     5     1     3
  214   249     3     4     1     2
  215   104     3     8     1     1
  216   127     3     8     2     1
  217    39     3     8     2     2
  218   237     3     5     3     1
  219    42     3     8     2     2
  220    74     3     4     2     2
  221   118     3     6     1     2
  222   188     3     8     3     2
  223    61     3     4     3     1
  224   241     3     8     1     2
  225   171     3     6     3     1
  226    58     3     8     2     2
  227   218     3     8     3     2
  228    39     3     6     1     2
  229   118     3     5     3     1
  230    16     3     5     1     1
  231   142     3     8     3     2
  232   186     3     6     2     2
  233    42     3     5     3     1
  234    17     3     5     1     1
  235   115     3     6     2     1
  236    79     3     5     3     2
  237   115     3     5     1     3
  238   109     3     4     2     1
  239   241     3     8     2     2
  240   145     3     6     2     1
  241    36     3     7     3     2
  242   148     3     7     1     2
  243   112     3     5     1     1
  244   160     3     7     3     2
  245   192     3     5     2     1
  246   103     4     8     1     2
  247    32     4     9     3     1
  248   199     4     8     3     2
  249     2     4     9     1     3
  250   120     4     6     1     3
  251   171     4     5     1     2
  252    73     4     7     3     2
  253    65     4     8     3     1
  254    47     4     8     1     3
  255    82     4     8     2     2
  256   188     4     7     3     2
  257    20     4     7     3     1
  258   210     4     5     3     1
  259    31     4     7     2     1
  260    81     4     5     2     1
  261   212     4     7     1     3
  262   210     4     9     2     2
  263   195     4     6     3     1
  264   219     4     9     1     1
  265   165     4     9     1     2
  266    18     4     9     1     2
  267   248     4     5     2     2
  268   107     4     9     1     2
  269   142     4     9     1     3
  270   206     4     9     1     3
  271    69     4     6     2     1
  272     8     4     8     1     2
  273   247     4     6     3     1
  274   223     4     5     2     1
  275   190     4     7     3     1
  276   147     4     5     1     1
  277   156     4     9     1     3
  278    23     4     5     1     1
  279   241     4     7     2     2
  280   215     4     6     2     2
  281     8     4     8     2     2
  282   226     4     7     1     2
  283   212     4     9     2     2
  284   143     4     5     3     2
  285    29     4     9     1     2
  286    74     4     9     1     3
  287   125     4     9     2     2
  288    35     4     9     2     2
  289   179     4     9     2     1
  290    77     4     6     2     2
  291    65     4     8     2     1
  292   100     4     7     2     2
  293   115     4     6     3     2
  294    86     4     6     2     1
  295   152     4     6     1     2
  296   141     4     6     3     1
  297   237     4     5     2     1
  298    11     4     7     3     1
  299    72     4     5     1     2
  300   111     4     5     2     2
  301    31     4     9     1     1
  302    89     4     6     2     1
  303    30     4     6     1     2
  304    28     4     9     3     2
  305   250     4     6     2     1
  306   221     4     7     2     2
  307   180     4     6     2     2
  308   180     4     8     3     1
  309   119     4     6     2     1
  310   249     4     6     1     3
  311   162     4     6     1     3
  312   108     4     6     3     1
  313   182     4     9     1     2
  314   107     4     8     1     2
  315   139     4     9     2     1
  316    79     4     9     2     2
  317   160     4     5     2     2
  318    35     4     9     3     1
  319    19     4     9     1     3
  320    74     4     7     2     1
  321   215     4     6     1     2
  322   129     4     8     2     1
  323   117     4     8     1     1
  324   222     4     5     1     3
  325    28     4     5     1     3
