DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 24

DAYS = 45
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1290

TRUCK_DISTANCE_COST = 100000
TRUCK_DAY_COST = 10
TRUCK_COST = 10
TECHNICIAN_DISTANCE_COST = 10
TECHNICIAN_DAY_COST = 10
TECHNICIAN_COST = 10000

MACHINES = 6
    1     6   480
    2     8   320
    3     8   455
    4     5   635
    5     4    45
    6     5   335

LOCATIONS = 317
    1   243   375
    2   488   304
    3   534   417
    4    90   214
    5   535   721
    6   737   485
    7   373   373
    8   275   516
    9   596   364
   10   487     2
   11   358   397
   12   411   407
   13   330   449
   14   516   318
   15   540   305
   16   562   493
   17   297   246
   18   482    28
   19    75   273
   20   522   283
   21   422   326
   22   496   568
   23   670   468
   24   747   647
   25   110   193
   26   665   499
   27   296   236
   28   571   717
   29   508   710
   30   561   340
   31   378   238
   32   520    25
   33   664   714
   34   467   461
   35   293   467
   36   201   360
   37   460   296
   38   517   494
   39   514   313
   40   274   560
   41   645   467
   42   618   338
   43   316   483
   44   232   408
   45   460   627
   46   587   442
   47   388   443
   48   298   464
   49   566   372
   50   446   327
   51   666   715
   52   357   309
   53   406   354
   54   497   736
   55    71   160
   56   714   443
   57   316   471
   58   359   365
   59   515   327
   60   268   504
   61   672   746
   62   572   689
   63   241   319
   64   181   334
   65   253   228
   66   653   454
   67   361   389
   68   539   412
   69   568   519
   70   375   445
   71   183   339
   72   348   370
   73   299   436
   74   351   559
   75   601   349
   76   356   374
   77   338   306
   78   636   699
   79   535   359
   80   304   448
   81   587   439
   82   537   123
   83   436   209
   84   620   533
   85   371   371
   86   223   288
   87   436   186
   88   232   339
   89   357   232
   90   514   489
   91   316   471
   92   541   271
   93   227   344
   94   334   455
   95   645   328
   96   548   501
   97   504   356
   98   539   362
   99   285   584
  100   291   646
  101   265   407
  102   488    24
  103   475   667
  104   563   512
  105   668   680
  106   189   383
  107   378   383
  108   299   473
  109   377   566
  110   240   303
  111   674   623
  112   673   745
  113   249   337
  114   430   191
  115   532   645
  116   329   250
  117   516   495
  118   532   529
  119   298   593
  120   240   351
  121   419   414
  122   384   462
  123   758   474
  124   227   348
  125   429   337
  126   640   573
  127   666   341
  128   497   270
  129   425   385
  130   376   426
  131   160   290
  132   360   296
  133   188   369
  134   271   385
  135   513    60
  136   261   329
  137   490    21
  138   212   422
  139   706   472
  140   251   335
  141   561   502
  142   321   463
  143   250   366
