DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 12

DAYS = 25
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1405

TRUCK_DISTANCE_COST = 10000
TRUCK_DAY_COST = 100
TRUCK_COST = 10000
TECHNICIAN_DISTANCE_COST = 1000
TECHNICIAN_DAY_COST = 100000
TECHNICIAN_COST = 100

MACHINES = 4
    1     3    35
    2     8   555
    3     8   275
    4     3   935

LOCATIONS = 310
    1   162   357
    2   209   338
    3   246   305
    4   450   295
    5   743   598
    6   184   380
    7   384   583
    8   515   494
    9   225   340
   10   242   409
   11   322   238
   12   730   687
   13   245   318
   14   551   347
   15   659   564
   16   314   310
   17   740   659
   18   585   404
   19   272   314
   20   510    82
   21   534   424
   22   238   242
   23   552   330
   24    97   244
   25   252   495
   26   482    31
   27   265   476
   28   620   341
   29   317   486
   30   236   326
   31   312   472
   32   452   364
   33   598   399
   34   414   220
   35   184   382
   36   636   695
   37   383   348
   38   375   395
   39   484   660
   40    42   205
   41   229   375
   42   548   724
   43   389   472
   44   142   267
   45   186   383
   46   263   315
   47   146   320
   48   670   620
   49   519   239
   50   307   580
   51   263   292
   52   231   380
   53   376   238
   54   451   205
   55   713   651
   56   327   464
   57   679   698
   58   508   201
   59   523   289
   60   522    45
   61   434   285
   62   259   544
   63   311   463
   64   325   511
   65   576   711
   66   182   376
   67   302   559
   68   661   513
   69   390   443
   70   583   179
   71   216   338
   72   310   446
   73   614   394
   74   237   412
   75   262   493
   76   698   408
   77   532   224
   78   229   382
   79   443   196
   80   373   372
   81   769   707
   82   297   672
   83   665   723
   84   476   209
   85   631   732
   86   413   256
   87   363   382
   88   518   271
   89   204   324
   90   471   342
   91   394   569
   92   523   164
   93   251   400
   94   538   186
   95   663   547
   96   186   222
   97   367   395
   98   480   745
   99   565   343
  100   183   380
  101   674   376
  102   477   666
  103   367   274
  104   550    30
  105   313   466
  106   533    34
  107   337   313
  108   495   576
  109   260   439
  110   389   347
  111   436   512
  112   522   350
  113   352   512
  114   267   476
  115   282   548
  116   540   418
  117   324   469
  118   313   460
  119   375   431
  120   361   589
  121   544   144
  122   436   169
  123   190   383
  124   265   469
  125   429   368
  126    46   207
  127   298   453
  128   622   392
  129   203   323
  130   345   301
  131   546   715
  132   356   559
  133   358   387
  134   426   400
  135   665   497
  136   538   591
  137   270   358
  138   535   263
  139   388   445
  140   270   524
  141   200   361
  142   673   343
  143   462   402
  144   563   693
  145   418   410
  146   500   392
  147   625   328
  148   265   454
  149   545    36
  150   229   372
  151   560   720
  152   159   314
  153   242   342
  154   202   315
  155   509    36
  156   579   730
  157   662   657
  158   697   353
  159   583   177
  160   555   405
  161   250   340
  162   349   580
  163   302   248
  164   240   324
  165   268   524
  166   378   271
  167   388   389
  168   158   355
  169   272   539
  170   288   237
  171   382   401
  172   196   321
  173   448   371
  174   434   415
  175   274   396
  176   338   339
  177   268   533
  178   219   308
  179   448   371
  180   271   526
  181   390   475
  182   581   711
  183   374   434
  184   730   689
  185   524   752
  186   594   411
  187   312   331
  188   318   468
  189   586   334
  190   329   315
  191   397   258
  192   658   716
  193   485   203
  194   363   387
  195   408   274
  196   511   359
  197   413   405
  198   595   385
  199   187   223
  200   665   727
  201   523   735
  202   540   325
  203   680   761
  204   260   437
  205   459   350
  206   521    99
  207   198   310
  208   241   473
  209   566   377
  210   600   680
  211   466   262
  212   256   308
  213   406   269
  214   686   683
  215   169   312
  216   230   330
  217   231   351
  218   289   510
  219   515   341
  220   534   291
  221   323   478
  222   487   307
  223   667   448
  224   350   509
  225   299   523
  226   224   431
  227   538   431
  228   396   572
  229   395   571
  230   181   371
  231   596   589
  232   401   274
  233   653   657
  234   232   329
  235   562   490
  236   344   241
  237   561    30
  238   709   442
  239   386   474
  240   291   309
  241   374   430
  242   432   651
  243   184   373
  244   391   305
  245   718   446
  246   689   690
  247   455   291
  248   253   498
  249   256   308
  250   655   657
  251   450   369
  252   228   339
  253   179   341
  254   393   438
  255   533   637
  256   301   465
  257   570   686
  258   470   157
  259   464   403
  260   456   191
  261   175   361
  262   315   486
  263   418   409
  264   547   419
  265   571   620
  266   309   425
  267   295   473
  268   401   303
  269   655   356
  270   167   366
  271   410   375
  272   228   335
  273   430   197
  274   199   362
  275   405   243
  276   647   470
  277   336   513
  278   501   312
  279   213   383
  280   722   752
  281   627   404
  282   195   240
  283   566   229
  284   542   350
  285   332   449
  286   325   363
  287   263   442
  288   357   332
  289   453   260
  290   178   360
  291   427   337
  292   670   468
  293   215   345
  294   619   355
  295   452   683
  296   232   334
  297   306   476
  298   546   221
  299   269   507
  300   199   362
  301   336   530
  302   270   524
  303   668   379
  304   323   470
  305   446   192
  306   288   465
  307   157   355
  308   291   583
  309   360   587
  310   227   417

REQUESTS = 900
    1   150     1     6     4     3
    2    47     1     6     2     2
    3    15     1     3     1     3
    4   183     1     5     4     1
    5    55     1     6     1     3
    6   121     1     4     3     2
    7   154     1     6     2     1
    8   133     1     3     1     2
    9    40     1     2     1     3
   10    74     1     6     3     2
   11   117     1     3     4     1
   12   112     1     3     2     2
   13   226     1     2     3     2
   14   182     1     5     2     2
   15    28     1     5     4     2
   16   138     1     6     2     1
   17    39     1     4     2     2
   18   204     1     4     1     2
   19    47     1     4     4     2
   20   231     1     3     1     3
   21   103     1     5     1     3
   22   164     1     2     3     2
   23    66     1     4     1     2
   24    17     1     5     3     2
   25   117     1     4     3     2
   26   224     1     4     1     3
   27   281     1     3     2     1
   28   126     1     2     1     2
   29   236     1     4     3     2
   30    86     1     6     1     1
   31    13     1     3     3     1
   32   281     1     2     1     3
   33    68     1     3     2     1
   34   283     1     4     2     2
   35   195     1     3     4     1
   36    63     1     5     2     2
   37   190     1     6     4     3
   38    63     1     3     4     2
   39    17     1     6     3     2
   40   231     1     2     3     2
   41    23     1     4     2     1
   42    54     1     2     4     3
   43   289     1     2     3     1
   44   114     1     4     2     1
   45   112     1     4     1     2
   46   121     1     3     1     1
   47    97     1     3     1     1
   48    58     1     3     1     3
   49    93     1     5     2     1
   50    83     1     3     1     3
   51   261     1     2     1     1
   52   220     1     4     1     1
   53   260     1     2     4     3
   54   111     1     6     3     2
   55    43     1     6     3     2
   56   151     1     4     3     1
   57   156     2     4     2     2
   58   293     2     7     2     2
   59    39     2     4     3     1
   60   197     2     5     3     2
   61    89     2     4     2     2
   62   188     2     3     4     2
   63    89     2     5     3     2
   64    21     2     6     4     2
   65   267     2     3     4     2
   66   128     2     5     4     1
   67   123     2     7     2     1
   68    22     2     7     3     2
   69     6     2     5     3     2
   70   104     2     3     1     2
   71   231     2     3     3     1
   72   279     2     4     3     1
   73   220     2     6     2     2
   74   231     2     5     2     2
   75   136     2     3     3     2
   76    48     2     7     2     1
   77    92     2     4     2     1
   78   293     2     7     4     1
   79   169     2     7     4     3
   80   228     2     5     1     3
   81   113     2     4     3     2
   82    57     2     6     1     2
   83    89     2     4     4     3
   84    30     2     5     1     1
   85   191     2     5     2     2
   86    57     2     3     1     2
   87   109     2     6     4     2
   88   186     2     5     3     2
   89   212     2     7     3     1
   90   107     2     4     1     1
   91    76     2     3     4     2
   92   170     3     7     3     2
   93   148     3     7     4     2
   94   133     3     5     1     2
   95   270     3     4     1     1
   96   238     3     7     4     1
   97    61     3     8     2     1
   98   135     3     5     2     1
   99   214     3     6     4     1
  100   244     3     7     3     2
  101    61     3     7     2     1
  102    49     3     7     3     2
  103   129     3     4     4     3
  104   264     3     4     3     2
  105   247     3     6     2     1
  106   134     3     5     2     1
  107   268     3     5     1     2
  108    90     3     5     1     1
  109   238     3     5     1     1
  110   114     3     8     4     1
  111    62     3     7     4     2
  112   300     3     8     1     1
  113    89     3     5     4     1
  114   288     3     8     1     3
  115    90     3     4     3     2
  116    20     3     6     4     1
  117   210     3     7     1     1
  118    67     3     4     2     1
  119   261     3     8     1     3
  120   234     3     7     3     2
  121    92     3     5     1     1
