DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 6

DAYS = 15
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1205

TRUCK_DISTANCE_COST = 100
TRUCK_DAY_COST = 10
TRUCK_COST = 10
TECHNICIAN_DISTANCE_COST = 10
TECHNICIAN_DAY_COST = 10
TECHNICIAN_COST = 10

MACHINES = 3
    1     6   260
    2     7   470
    3     7   905

LOCATIONS = 306
    1   570   433
    2   298   236
    3   318   470
    4   295   507
    5   148   287
    6   427   708
    7    50   228
    8   539   362
    9   511    68
   10   377   366
   11   226   353
   12   410   299
   13   581   229
   14   565   734
   15   477   352
   16   254   333
   17   528   358
   18   567   339
   19   362   436
   20   542    35
   21   429   252
   22   297   674
   23   382   308
   24   729   730
   25   364   395
   26   757   431
   27   279   370
   28   222   399
   29   559   519
   30   730   717
   31   635   517
   32   498   320
   33   270   524
   34    24   234
   35   312   439
   36   555   477
   37   683   543
   38   388   581
   39   722   665
   40   467   261
   41   379   424
   42   519   312
   43   331   505
   44   342   452
   45   507   292
   46   173   274
   47   424   198
   48   335   316
   49   740   592
   50   376   369
   51   436   236
   52   243   329
   53   278   558
   54   386   437
   55   298   229
   56   532    46
   57   530   360
   58   308   203
   59   445   726
   60   257   339
   61   391   565
   62   452   295
   63   431   331
   64   265   456
   65   549   735
   66   293   468
   67   287   238
   68   662   657
   69   488    28
   70   195   336
   71   591   396
   72   506   645
   73   408   241
   74   223   337
   75   504   314
   76   362   568
   77   426   510
   78   668   342
   79   175   241
   80   186   383
   81   267   206
   82   318   486
   83   307   345
   84   195   392
   85   604   444
   86   703   348
   87   514   717
   88   224   339
   89   227   362
   90   606   349
   91   468   197
   92   362   433
   93   530   524
   94   400   417
   95   629   606
   96   269   407
   97   271   317
   98   568   538
   99   436   215
  100   683   465
  101   171   358
  102   305   527
  103   185   343
  104   578   191
  105   492   309
  106   319   477
  107   608   572
  108   490   448
  109   255   307
  110   258   440
  111   312   475
  112   431   331
  113   552   348
  114   329   410
  115   381   381
  116   330   463
  117   199   378
  118   206   357
  119   539   430
  120   189   366
  121   522   743
  122   541   326
  123   182   380
  124   531   329
  125   567   381
  126   453   711
  127   166   335
  128   370   579
  129   181   381
  130   555   769
  131   520   638
  132   531   359
  133   560   656
  134   356   333
  135   221   424
  136   425   418
  137   185   374
  138   637   697
  139   336   358
  140   581   211
  141   375   428
  142   754   576
  143   581   614
  144   555   248
  145   456   191
  146   571   158
