DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 14

DAYS = 45
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1430

TRUCK_DISTANCE_COST = 10000
TRUCK_DAY_COST = 1000
TRUCK_COST = 100000
TECHNICIAN_DISTANCE_COST = 100
TECHNICIAN_DAY_COST = 100000
TECHNICIAN_COST = 10000

MACHINES = 6
    1     5   525
    2     5   335
    3     4   910
    4     8   890
    5     6    90
    6     4   745

LOCATIONS = 117
    1   590   591
    2   255   338
    3   369   447
    4   298   469
    5   465   417
    6   352   229
    7   659   438
    8   540   350
    9   254   324
   10    99   291
   11   271   369
   12    42   205
   13   478   361
   14   229   335
   15   713   444
   16   504   714
   17   478   406
   18   740   634
   19   460   627
   20   243   326
   21   506   721
   22   547   419
   23   359   234
   24   550   520
   25   682   712
   26   121   208
   27   728   750
   28   404   178
   29   156   313
   30   144   324
   31   503   353
   32   257   469
   33   153   289
   34   280   549
   35   351   559
   36   581   798
   37   491   301
   38    45   203
   39   187   388
   40   265   401
   41   180   381
   42   277   301
   43   446   676
   44   578   444
   45   366   214
   46   436   236
   47   307   347
   48   428   173
   49   633   713
   50   297   568
   51   176   382
   52   195   393
   53   236   340
   54   374   470
   55   261   294
   56   329   462
   57   622   520
   58   268   524
   59   580   799
   60   420   324
   61   466   439
   62   284   626
   63   476   207
   64   369   446
   65   188   370
   66   499   320
   67   268   450
   68   178   377
   69   178   376
   70   581   229
   71   440   194
   72    14   168
   73   380   558
   74   269   318
   75   738   484
   76   389   388
   77   257   267
   78   477   363
   79   497   320
   80   460   150
   81   333   558
   82   465   668
   83   553   743
   84   321   464
   85   191   380
   86   636   757
   87   488    24
   88   256   402
   89   611   695
   90   180   377
   91   456   370
   92   261   545
   93   260   333
   94   544    33
   95   640   724
   96   276   453
   97   693   516
   98   323   471
   99   534   130
  100   600   351
  101   100   290
  102   291   546
  103   634   409
  104   366   394
  105   512   359
  106   748   652
  107   213   376
  108   458   351
  109   307   468
  110   432   232
  111   496   310
  112   542   419
  113   748   424
  114   543   431
  115   494   358
  116   512   336
  117   270   321

REQUESTS = 300
    1    59     1     6     3     3
    2    65     1     5     1     1
    3    34     1     6     2     2
    4     9     1     4     3     3
    5    87     1     5     5     2
    6    23     1     4     4     2
    7     4     1     5     6     1
    8    25     1     3     3     1
    9    30     2     3     3     3
   10    63     2     6     5     1
   11    51     2     5     4     1
   12    19     2     4     1     3
   13    33     2     3     3     2
   14    74     2     4     5     1
   15    39     2     5     6     2
   16    69     2     4     4     1
   17    85     2     6     5     3
   18    41     3     8     3     2
   19    63     3     7     6     2
   20    21     3     8     6     3
   21     4     3     5     1     3
   22    99     3     5     6     3
   23    46     4     6     5     2
   24    49     4     5     4     2
   25    70     4     6     2     1
   26    11     5     8     4     2
   27    53     5    10     1     2
   28    35     5     6     6     2
   29    61     5     6     4     2
   30    19     5    10     1     1
   31    81     5     9     1     1
   32    78     5     9     1     1
   33    85     5     6     3     2
   34    58     5    10     2     2
   35    22     6     9     4     1
   36    71     6    11     1     3
   37    67     6     7     5     3
   38    18     6    11     1     2
   39    93     6     8     2     2
   40    69     6    11     1     1
   41    32     6     8     4     1
   42    24     6     7     6     3
   43    47     7     8     2     3
   44    84     7     9     4     2
   45     8     7    10     6     2
   46    92     7    11     6     1
   47    91     7     9     5     3
   48    68     8    12     4     2
   49    73     8    12     3     2
   50    46     8    13     4     2
   51    81     8    11     6     2
   52    61     8    12     3     1
   53    26     8    11     6     1
   54    76     8    10     3     1
   55   101     9    12     5     1
   56    60     9    10     2     3
   57    93     9    13     4     1
   58    67     9    13     2     3
   59    69     9    13     1     1
   60    17     9    10     4     2
   61    59     9    14     3     1
   62    62     9    12     6     1
   63    64     9    13     4     2
   64    43     9    12     3     1
   65    74     9    11     3     2
   66     4    10    12     6     2
   67    75    10    12     2     3
   68    35    10    14     4     1
   69    13    10    13     1     2
   70     5    10    14     4     2
   71    45    10    13     5     2
   72    84    10    12     3     2
   73    38    11    13     4     1
   74    40    11    13     2     2
   75    36    11    12     3     2
   76    59    11    14     2     3
   77    46    11    15     4     2
   78    81    11    15     3     2
   79    12    11    13     2     1
   80    27    12    17     5     3
   81    73    12    15     3     2
   82    80    12    16     1     1
   83    73    12    14     5     2
   84    27    12    16     1     2
   85    82    12    17     6     1
   86    94    12    16     5     1
   87     8    12    17     4     2
   88    61    12    14     1     3
   89    85    12    13     5     3
   90    56    12    15     2     1
   91    28    13    14     6     2
   92    64    13    16     1     2
   93    97    13    16     5     3
   94    11    13    17     5     2
   95    76    13    14     6     3
   96    79    13    14     1     3
   97    71    13    17     3     3
   98    21    13    14     6     1
   99    33    13    14     3     1
  100    19    13    16     5     3
  101    45    13    14     6     3
  102    28    14    16     4     1
  103    88    14    17     1     3
  104    83    14    19     1     3
  105    76    14    18     1     1
  106    77    14    17     2     1
  107    11    14    16     4     2
  108    14    14    18     3     2
  109    28    14    16     4     2
  110    30    14    18     3     3
  111    85    14    16     5     3
  112    69    15    17     5     2
  113    57    15    16     4     2
  114    47    15    16     2     1
  115    35    15    16     1     3
  116    15    15    20     5     2
  117    15    15    18     2     2
  118    38    15    20     4     2
  119    41    15    20     3     2
  120    50    15    18     1     1
  121     8    16    21     2     2
  122    81    16    20     5     1
  123    57    16    19     1     1
  124    74    16    20     3     1
  125    24    16    17     5     2
  126    47    17    22     3     2
  127    32    17    22     6     1
  128    48    17    19     2     3
  129    83    17    20     6     1
