DATASET = ORTEC Hidden VeRoLog 2019
NAME = Instance 20

DAYS = 55
TRUCK_CAPACITY = 18
TRUCK_MAX_DISTANCE = 1205

TRUCK_DISTANCE_COST = 10
TRUCK_DAY_COST = 10
TRUCK_COST = 100
TECHNICIAN_DISTANCE_COST = 10000
TECHNICIAN_DAY_COST = 1000
TECHNICIAN_COST = 100000

MACHINES = 7
    1     3   370
    2     3   850
    3     4    65
    4     3   885
    5     4   560
    6     3   740
    7     3   660

LOCATIONS = 125
    1   266   378
    2   651   546
    3   159   310
    4   394   573
    5   404   216
    6   746   482
    7   346   453
    8   466   648
    9   206   344
   10   470   466
   11   523   289
   12   581   204
   13   508   313
   14   233   439
   15   268   321
   16   466   204
   17   703   411
   18   416   431
   19   599   325
   20   230   363
   21   657   403
   22   361   327
   23   388   386
   24   423   191
   25   109   137
   26   431   181
   27   516   300
   28   490   355
   29   702   557
   30   548   538
   31   621   386
   32   110   215
   33   673   724
   34   306   275
   35   472   301
   36   710   757
   37   558    38
   38   727   608
   39   299   311
   40   337   531
   41   186   370
   42   613   625
   43   368   394
   44   400   426
   45   292   588
   46   199   183
   47   469   450
   48   547   426
   49   481   397
   50   306   474
   51   447   674
   52   548   562
   53   537   258
   54   535   358
   55   104   216
   56   546   738
   57   467   440
   58   300   474
   59   262   319
   60   506   356
   61   366   239
   62   567   163
   63   345   566
   64   287   466
   65   398   281
   66   500   699
   67   505   310
   68   568   407
   69   338   600
   70   423   320
   71   251   330
   72   355   365
   73   310   423
   74   666   657
   75   488   695
   76   259   353
   77   506   649
   78   560   368
   79   292   467
   80   163   369
   81   173   376
   82   205   390
   83   348   512
   84   225   227
   85   572   508
   86   251   278
   87   764   699
   88   157   360
   89   526   364
   90   522   361
   91   455   191
   92   285   473
   93   268   300
   94   184   372
   95   198   380
   96    90   274
   97   267   588
   98   389   473
   99   356   555
  100   342   537
  101   454   369
  102   569   514
  103   456   212
  104   346   330
  105   203   340
  106   247   452
  107   753   570
  108   217   339
  109   262   440
  110   528   364
  111   434   427
  112   402   171
  113   462   137
  114   503   716
  115   259   323
  116   233   337
  117   502   358
  118   140   145
  119   655   659
  120   477    26
  121   266   303
  122   626   756
  123   477   245
  124   540   431
  125   466   411

REQUESTS = 300
    1    31     1     4     5     1
    2    98     1     6     2     2
    3    25     1     5     4     3
    4    53     1     2     7     3
    5    53     1     6     1     2
    6    96     1     3     1     3
    7    80     2     3     5     3
    8    84     2     4     3     1
